filename,doi,title,authors,year
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry.pdf,,,Abdel-Mawgoud,2010
006_Alabdulla_2019_Effect of foliar application of humic ac.pdf,,,Alabdulla,2019
009_Ali_2019_Biostimulatory activities of Ascophyllum nodosum e.pdf,,,Ali,2019
027_Chen_2021_Effects of Seaweed Extracts on the Growt.pdf,,,Chen,2021
029_Ciepiela_2019_The effect of biostimulants derived from.pdf,,,Ciepiela,2019
058_Fichhof_2018_Management of Biostimulant and Silicon i.pdf,,,Fichhof,2018
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi.pdf,,,G,2018
064_Godlewska_2016_The effect of growth regulator on dry ma.pdf,,,Godlewska,2016
065_Godlewska_2018_Assessment of the effect of various bios.pdf,,,Godlewska,2018
067_Grabowska_2012_The Effect of Cultivar and Biostimulant.pdf,,,Grabowska,2012
086_Knapowski_2019_Crop stimulants as a factor determining.pdf,,,Knapowski,2019
088_Kocira_2019_Effect of amino acid biostimulant on the.pdf,,,Kocira,2019
090_Kocira_2020_Biochemical and economical effect of app.pdf,,,Kocira,2020
"091_Kocira_2018_Modeling biometric traits, yield and nut.pdf",,,Kocira,2018
094_Kowalska_2021_Effect of Different Forms of Silicon on.pdf,,,Kowalska,2021
095_Kuisma_1989_The effect of foliar application of seaw.pdf,,,Kuisma,1989
1-s2.0-S0304423819306703-main.pdf,,,,0304
1-s2.0-S0304423820302417-main.pdf,,,,0304
1-s2.0-S1878818119307637-main.pdf,,,,1878
1-s2.0-S1878818119309879-main.pdf,,,,1878
"100_Lola-Luz_2014_Effect on yield, total phenolic, total f.pdf",,,Lola-Luz,2014
105_Mattner_2018_Increased growth response of strawberry.pdf,,,Mattner,2018
106_Matysiak_2018_Herbicides with natural and synthetic bi.pdf,,,Matysiak,2018
110_Michalak_2016_Evaluation of supercritical extracts of.pdf,,,Michalak,2016
111_Mondal_2013_Foliar application of chitosan improves.pdf,,,Mondal,2013
116_Nurdiawati_2019_Liquid feather protein hydrolysate as a.pdf,,,Nurdiawati,2019
120_Pohl_2019_The Eggplant Yield and Fruit Composition.pdf,,,Pohl,2019
"121_Popescu_2018_Yield, berry quality and physiological r.pdf",,,Popescu,2018
124_Pramanick_2016_Effect of seaweed saps derived from two.pdf,,,Pramanick,2016
125_Procházka_2015_The possibilities of increasing the prod.pdf,,,Proch,2015
126_Prokkola_2007_Effect of biological sprays on the incid.pdf,,,Prokkola,2007
127_Radkowski_2018_Influence of foliar fertilization with a.pdf,,,Radkowski,2018
131_Rahman_2018_Chitosan biopolymer promotes yield and s.pdf,,,Rahman,2018
153_Soppelsa_2018_Use of Biostimulants for Organic Apple P.pdf,,,Soppelsa,2018
1542-1558-15(3)2018 BR-18-165.pdf,,,,1542
158_Sulakhudin_2019_Application of Coastal Sediments and Fol.pdf,,,Sulakhudin,2019
175_Wilczewski_2018_Response of sugar beet to humic substanc.pdf,,,Wilczewski,2018
2014-ascophyllum-extract-application-can-promote-plant-growth-and-root-yield-in-carrot-associated-with-increased-root.pdf,,,,2014
604-615-14(3)2017BR-1503.pdf,,,,2017
agriculture-10-00618-v2.pdf,,,agriculture-,0061
al-tawaha-et-al-2011-foliar-application-of-elicitors-alters-isoflavone-concentrations-and-other-seed-characteristics-of.pdf,,,al-tawaha-et-al-,2011
ali.pdf,,,ali,
AlrubaieeAlsulaiman2023FullManuscript.pdf,,,AlrubaieeAlsulaiman,2023
article1400838000_Azarpour et al.pdf,,,article,1400
Effect_of_Different_Seaweed_Extracts_and.pdf,,,Effect of,
L3638.pdf,,,L,3638
plants-09-01633.pdf,,,plants-,0163
strawberryandchitosan.pdf,,,strawberryandchitosan,
sustainability-11-02171.pdf,,,sustainability-,0217
