filename,doi,title,authors,year,loladze_reference,species,study_type,country
001_Ma_2007.pdf,,CO2 effects on wheat grain mineral concentrations (FACE),Fernando et al,2012,Fernando et al 2012a,Triticum aestivum 'Yitpi',FACE,Australia
002_Ziska_1997.pdf,,CO2 effects on rice grain mineral concentrations (OTC),Ziska et al,1997,Ziska et al 1997,Oryza sativa 'IR 72',OTC,Philippines
003_Baslam_2012.pdf,,CO2 effects on lettuce foliar mineral concentrations (greenhouse),Baslam et al,2012,Baslam et al 2012,Lactuca sativa 'BRM',greenhouse,
004_Finzi_2001.pdf,,CO2 effects on red maple tree foliar mineral concentrations (FACE),Finzi et al,2001,Finzi et al 2001,Acer rubrum,FACE,USA
005_Niinemets_1999.pdf,,CO2 effects on cork oak tree foliar mineral concentrations (greenhouse),Niinemets et al,1999,Niinemets et al 1999,Quercus suber,greenhouse,
006_Azam_2013.pdf,,CO2 effects on turnip tuber mineral concentrations (greenhouse),Azam et al,2013,Azam et al 2013,Brassica rapa 'Grabe',greenhouse,
007_Woodin_1992.pdf,,CO2 effects on heather shrub foliar mineral concentrations (chamber),Woodin et al,1992,Woodin et al 1992,Calluna vulgaris,chamber,
008_Campbell_2002.pdf,,CO2 effects on white lupin foliar mineral concentrations (chamber),Cambell & Sage,2002,Cambell & Sage 2002,Lupinus albus,chamber,
009_Barnes_1992.pdf,,CO2 effects on radish foliar mineral concentrations (chamber),Barnes & Pffirrman,1992,Barnes & Pffirrman 1992,Raphanus sativus 'Cherry Belle',chamber,
010_Li_2010.pdf,,CO2 effects on wheat grain mineral concentrations (FACE),Hogy et al,2009,Hogy et al 2009,Triticum aestivum 'Triso',FACE,Germany
011_Huluka_1994.pdf,,CO2 effects on cotton foliar mineral concentrations (FACE),Huluka et al,1994,Huluka et al 1994,Gossypium hirsutum 'Deltapine 77',FACE,USA
012_Wu_2004.pdf,,CO2 effects on wheat grain mineral concentrations (chamber),Wu et al,2004,Wu et al 2004,Triticum aestivum 'Turbo',chamber,
013_Keutgen_2001.pdf,,CO2 effects on citrus tree foliar mineral concentrations (chamber),Keutgen & Chen,2001,Keutgen & Chen 2001,Citrus madurensis,chamber,
014_Lieffering_2004.pdf,,CO2 effects on rice grain mineral concentrations (FACE),Lieffering et al,2004,Lieffering et al 2004,Oryza sativa 'Akitakomachi',FACE,Japan
015_Pleijel_2009.pdf,,CO2 effects on wheat grain mineral concentrations (OTC),Pleijel & Danielsson,2009,Pleijel & Danielsson 2009,Triticum aestivum 'Dragon',OTC,Sweden
016_Fernando_2012a.pdf,,CO2 effects on wheat grain mineral concentrations (FACE),Fernando et al,2012,Fernando et al 2012b,Triticum aestivum 'Yitpi',FACE,Australia
017_Fangmeier_2002.pdf,,CO2 effects on potato above ground mineral concentrations (OTC),Fangmeier et al,2002,Fangmeier et al  2002,Solanum tuberosum 'Bintje',OTC,UK
018_Al-Rawahy_2013.pdf,,CO2 effects on alfalfa foliar mineral concentrations (OTC),Al-Rawahy et al,2013,Al-Rawahy et al 2013,Medicago sativa 'Victor',OTC,UK
019_Baxter_1994.pdf,,CO2 effects on grass foliar mineral concentrations (OTC),Baxter et al,1994,Baxter et al 1994,Agrostis capillaris,OTC,UK
020_Overdieck_1993.pdf,,CO2 effects on maple tree above ground mineral concentrations (glasshouse),Overdieck,1993,Overdieck 1993,Acer pseudoplatanus,glasshouse,
021_Wilsey_1994.pdf,,CO2 effects on grass foliar mineral concentrations (chamber),Wilsey et al,1994,Wilsey et al 1994,Sporobolus kentrophyllus,chamber,
022_Blank_2011.pdf,,CO2 effects on cheatgrass above ground mineral concentrations (chamber),Blank et al,2011,Blank et al 2011,Bromus tectorum,chamber,
024_Nowak_2002.pdf,,CO2 effects on fern foliar mineral concentrations (chamber),Nowak et al,2002,Nowak et al 2002,Nephrolepis exaltata,chamber,
025_Guo_2011.pdf,,CO2 effects on rice grain mineral concentrations (FACE),Guo et al,2013,Guo et al 2013,Oryza sativa 'Wu Xiang jing',FACE,China
026_Seneweera_1997.pdf,,CO2 effects on rice blades mineral concentrations (chamber),Seneweera & Conroy,1997,Seneweera & Conroy 1997,Oryza sativa 'Jarrah',chamber,
027_Peet_1986.pdf,,CO2 effects on cucumber foliar mineral concentrations (chamber),Peet et al,1986,Peet et al 1986,Cucumis sativus,chamber,
028_Mishra_2011.pdf,,CO2 effects on geranium foliar mineral concentrations (chamber),Mishra et al,2011,Mishra et al 2011,Pelargonium x hortorum 'Maverick White',chamber,
029_Kuehny_1991.pdf,,CO2 effects on chrysanth foliar mineral concentrations (greenhouse),Kuehny et al,1991,Kuehny et al 1991,Chrysanthemum morifolium,greenhouse,
030_Wroblewitz_2013.pdf,,CO2 effects on barley grain mineral concentrations (FACE),Wroblewitz et al,2013,Wroblewitz et al 2013,Hordeum vulgare 'Theresa',FACE,Germany
031_Pal_2003.pdf,,CO2 effects on berseem clover foliar mineral concentrations (OTC),Pal et al,2004,Pal et al 2004,Trifolium alexandrinum 'Pusa Jayant',OTC,India
032_Kanowski_2001.pdf,,CO2 effects on rainforest tree seedlings mineral concentrations (chamber),Kanowski,2001,Kanowski 2001,Alphitonia petriei,chamber,
033_Johnson_2003.pdf,,CO2 effects on oak tree foliar mineral concentrations (OTC),Johnson et al,2003,Johnson et al 2003,Quercus geminata,OTC,USA
034_Johnson_1997.pdf,,CO2 effects on oak tree foliar mineral concentrations (OTC),Johnson et al,2003,Johnson et al 2003,Quercus geminata,OTC,USA
035_Oksanen_2005.pdf,,CO2 effects on birch tree foliar mineral concentrations (OTC),Oksanen et al,2005,Oksanen et al 2005,Betula pendula 'Roth',OTC,Finland
036_Schenk_1997.pdf,,CO2 effects on grass above ground mineral concentrations (OTC),Schenk et al,1997,Schenk et al 1997,Lolium perenne,OTC,Germany
037_de_2000.pdf,,CO2 effects on barley shoots mineral concentrations (chamber),Haase et al,2008,Haase et al 2008,Hordeum vulgare 'Europa',chamber,
038_Newbery_1995.pdf,,CO2 effects on grass above ground mineral concentrations (chamber),Newbery,1995,Newbery 1995,Agrostis capillaris,chamber,
039_Heagle_1993.pdf,,CO2 effects on white clover foliar mineral concentrations (greenhouse),Heagle et al,1993,Heagle et al 1993,Trifolium repens 'Regal',greenhouse,
040_Pfirrmann_1996.pdf,,CO2 effects on spruce tree needles mineral concentrations (chamber),Pfirrmann et al,1996,Pfirrmann et al 1996,Picea abies 'Karst.',chamber,
041_Mjwara_1996.pdf,,CO2 effects on bean foliar mineral concentrations (chamber),Mjwara et al,1996,Mjwara et al 1996,Phaseolus vulgaris 'Contender',chamber,
042_Luomala_2005.pdf,,CO2 effects on pine tree needles mineral concentrations (chamber),Luomala et al,2005,Luomala et al 2005,Pinus sylvestris,chamber,
043_Natali_2009.pdf,,CO2 effects on sweetgum tree foliar mineral concentrations (FACE),Natali et al,2009,Natali et al 2009,Liquidambar styraciflua,FACE,USA
044_Housman_2012.pdf,,CO2 effects on shrub foliar mineral concentrations (FACE),Housman et al,2012,Housman et al 2012,Ambrosia dumosa,FACE,USA
046_Porter_1984.pdf,,CO2 effects on bean foliar mineral concentrations (chamber),Porter & Grodzinski,1984,Porter & Grodzinski 1984,Phaseolus vulgaris 'Seafarer',chamber,
047_Rodenkirchen_2009.pdf,,CO2 effects on beech tree foliar mineral concentrations (greenhouse),Rodenkirchen et al,2009,Rodenkirchen et al 2009,Fagus sylvatica,greenhouse,
048_Khan_2013.pdf,,CO2 effects on tomato fruit mineral concentrations (greenhouse),Khan et al,2012,Khan et al 2012,Lycopersicon esculentum 'Astra',greenhouse,
049_Singh_2013.pdf,,CO2 effects on mustard seed mineral concentrations (OTC),Singh et al,2013,Singh et al 2013,Brassica juncea 'Czern',OTC,India
050_Polley_2011.pdf,,CO2 effects on grass tillers mineral concentrations (tunnel-chamber),Polley et al,2011,Polley et al 2011,Bouteloua curtipendula,tunnel-chamber,
051_Niu_2013.pdf,,CO2 effects on thale cress shoots mineral concentrations (chamber),Niu et al,2013,Niu et al 2013,Arabidopsis thaliana,chamber,
058_ONeill_1987.pdf,,CO2 effects on tulip tree foliar mineral concentrations (chamber),O'Neill et al,1987,O'Neill et al 1987,Liriodendron tulipifera,chamber,
