outcome_variable,treatment_description,control_description,treatment_mean,control_mean,treatment_n,control_n,data_source,notes,control_se,effect_pct,element,mod_AMF_status,mod_Cd_added_mg_kg,mod_Cu_added_mg_kg,mod_DAG,mod_K_supply_mg_per_l,mod_N_rate,mod_N_supply_mg_per_l,mod_P_level_mg_per_kg,mod_P_supply_mg_per_l,mod_TOS,mod_average_across,mod_boron_category,mod_boron_level,mod_category,mod_clipping,mod_clone,mod_co2_control,mod_co2_elevated,mod_co2_level,mod_co2_ppm,mod_co2_treatment,mod_cohort,mod_crop,mod_cultivar,mod_culture_system,mod_days_from_seeding,mod_duration_days,mod_ecotype,mod_experiment,mod_fe_supply,mod_fungal_species,mod_genotype,mod_growth_form,mod_growth_stage,mod_harvest,mod_harvest_day,mod_harvest_time,mod_irrigation,mod_leaf_age,mod_leaf_position,mod_maturity,mod_measurement,mod_method,mod_mixture,mod_n_amendment,mod_n_form,mod_needle_age,mod_needle_year,mod_nitrogen_concentration,mod_nitrogen_level,mod_note,mod_nutrient_treatment,mod_o3,mod_o3_treatment,mod_ozone,mod_p_status,mod_p_treatment,mod_p_value,mod_photosynthetic_pathway,mod_rainfall_year,mod_sampling_date,mod_season,mod_significance,mod_soil,mod_soil_fertility,mod_soil_k,mod_soil_moisture,mod_sowing,mod_species,mod_tissue,mod_variety,mod_year,mod_years,n,paper_id,se_control,se_treatment,site,species,tissue,treatment_se,unit
Fe,Elevated CO2 550 ppm,Ambient CO2 384 ppm,25.75,27.5,4,4,Table 2,,,-6.36,Fe,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,mg/kg
Zn,Elevated CO2 550 ppm,Ambient CO2 384 ppm,21.5,27.25,4,4,Table 2,,,-21.1,Zn,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,mg/kg
S,Elevated CO2 550 ppm,Ambient CO2 384 ppm,1.49,1.52,4,4,Table 2,,,-1.97,S,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,g/kg
Ca,Elevated CO2 550 ppm,Ambient CO2 384 ppm,0.26,0.29,4,4,Table 2,,,-10.34,Ca,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,g/kg
Fe,Elevated CO2 550 ppm,Ambient CO2 384 ppm,37.25,42.5,4,4,Table 2,,,-12.35,Fe,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,mg/kg
Zn,Elevated CO2 550 ppm,Ambient CO2 384 ppm,27.0,35.0,4,4,Table 2,,,-22.86,Zn,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,mg/kg
S,Elevated CO2 550 ppm,Ambient CO2 384 ppm,1.84,1.97,4,4,Table 2,,,-6.6,S,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,g/kg
Ca,Elevated CO2 550 ppm,Ambient CO2 384 ppm,0.32,0.38,4,4,Table 2,,,-15.79,Ca,,,,,,,,,,TOS2,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,001_Ma_2007,,,,,grain,,g/kg
Fe,Elevated CO2 550 ppm,Ambient CO2 384 ppm,37.75,40.0,4,4,Table 2,,,-5.63,Fe,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,mg/kg
Zn,Elevated CO2 550 ppm,Ambient CO2 384 ppm,21.25,22.75,4,4,Table 2,,,-6.59,Zn,,,,,,,,,,TOS1,,,,,,,,,,,,,,Yitpi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,001_Ma_2007,,,,,grain,,mg/kg
