element,tissue,treatment_mean,control_mean,treatment_variance,control_variance,variance_type,n,unit,data_source,treatment_description,control_description,moderators,confidence,notes,effect_pct,ln_rr,grim_valid,cv_reasonable,direction_expected,paper_id
grain yield at different Zn rates,grain,1.17,1.1,0.43,0.43,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""1"", ""location"": ""Tuckey, EP""}",low,"Fresh Zn experiment, NS significance [single-model fallback: Claude only]",6.363636363636349,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,2.18,1.82,0.36,0.36,SED,6,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""2"", ""location"": ""Cummins, EP""}",low,"Fresh Zn experiment, ** significance [single-model fallback: Claude only]",19.780219780219785,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,2.12,1.76,0.28,0.28,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""3"", ""location"": ""Wunkar, MM""}",low,"Fresh Zn experiment, ** significance [single-model fallback: Claude only]",20.45454545454546,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,3.93,3.52,0.23,0.23,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""4"", ""location"": ""Parilla, MM""}",low,"Fresh Zn experiment, NS significance [single-model fallback: Claude only]",11.647727272727277,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,2.19,1.51,0.25,0.25,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""5"", ""location"": ""Lameroo, site1 MM""}",low,"Fresh Zn experiment, *** significance [single-model fallback: Claude only]",45.033112582781456,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,2.38,1.2,0.21,0.21,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""6"", ""location"": ""Lameroo, site2 MM""}",low,"Fresh Zn experiment, *** significance [single-model fallback: Claude only]",98.33333333333333,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,2.37,2.1,0.31,0.31,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""7"", ""location"": ""Ungarra, EP""}",low,"Fresh Zn experiment, NS significance [single-model fallback: Claude only]",12.85714285714286,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,4.88,5.21,3.04,3.04,SED,4,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""9"", ""location"": ""Ungarra, EP""}",low,"Fresh Zn experiment, NS significance [single-model fallback: Claude only]",-6.333973128598849,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,2.64,2.38,0.12,0.12,SED,6,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""10"", ""location"": ""Yeelanna, EP""}",low,"Fresh Zn experiment, * significance [single-model fallback: Claude only]",10.924369747899169,,,,,65_Oliver_1994
grain yield at different Zn rates,grain,4.48,3.6,0.48,0.48,SED,6,t/ha,Table 4,5 kg Zn ha-1,0 kg Zn ha-1,"{""experiment_no"": ""12"", ""location"": ""Yeelanna, EP""}",low,"Fresh Zn experiment, NS significance [single-model fallback: Claude only]",24.444444444444454,,,,,65_Oliver_1994
