paper_id,gt_pair,crop,product,category,method,gt_dose,gt_n,gt_ctrl,gt_treat,gt_effect_pct,is_dose_response,match_status,ext_ctrl,ext_treat,ext_effect_pct,scale,scale_error,n_match,dose_match,element,unit,ext_n,ext_dose,effect_diff_pp
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,655,strawberry,Chito-care,Chi,Foliar,0.25,3,2.9259,3.3704,15.1919,True,unmatched,,,,,,,,,,,,
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,656,strawberry,Chito-care,Chi,Foliar,0.5,3,2.9259,5.2963,81.0144,True,unmatched,,,,,,,,,,,,
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,657,strawberry,Chito-care,Chi,Foliar,0.75,3,2.9259,4.0741000000000005,39.2426,True,unmatched,,,,,,,,,,,,
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,658,strawberry,Chito-care,Chi,Foliar,1.0,3,2.9259,3.5556,21.5216,True,matched,24.0,25.5,6.25,0.1,0.2313,True,False,Number of grains per spike,count,3,5.0,15.2716
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,659,strawberry,Chito-care,Chi,Foliar,1.0,3,4.8519,5.5926,15.2662,False,matched,5.3,5.5,3.7736,1,0.0545,True,False,Grain yield per plant (g),g,3,5.0,11.4926
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,660,strawberry,Chito-care,Chi,Foliar,1.0,3,4.8519,8.7778,80.9147,False,matched,46.0,49.0,6.5217,0.1,0.2468,True,False,1000 grain weight (g),g,3,5.0,74.393
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,661,strawberry,Chito-care,Chi,Foliar,1.0,3,4.8519,6.8148,40.4563,False,matched,46.0,51.0,10.8696,0.1,0.1518,True,False,1000 grain weight (g),g,3,10.0,29.5868
002_Abdel-Mawgoud_2010_Growth and yield responses of strawberry,662,strawberry,Chito-care,Chi,Foliar,1.0,3,4.8519,5.9259,22.1357,False,matched,5.3,5.7,7.5472,1,0.0652,True,False,Grain yield per plant (g),g,3,10.0,14.5885
006_Alabdulla_2019_Effect of foliar application of humic ac,241,oat,,HFA,Foliar,0.33,3,0.3117,0.5115000000000001,64.1001,True,unmatched,,,,,,,,,,,,
006_Alabdulla_2019_Effect of foliar application of humic ac,242,oat,,HFA,Foliar,0.67,3,0.3117,0.6194,98.7167,True,matched,2.739,7.942,189.9598,0.1,0.2017,True,False,Grain Yield (ton h-1),ton ha-1,3,,91.2431
006_Alabdulla_2019_Effect of foliar application of humic ac,243,oat,,HFA,Foliar,1.0,3,0.3117,0.5952,90.9528,True,unmatched,,,,,,,,,,,,
006_Alabdulla_2019_Effect of foliar application of humic ac,244,oat,,HFA,Foliar,0.33,3,0.2459,0.4199,70.7605,True,unmatched,,,,,,,,,,,,
006_Alabdulla_2019_Effect of foliar application of humic ac,245,oat,,HFA,Foliar,0.67,3,0.2459,0.5967,142.6596,True,unmatched,,,,,,,,,,,,
006_Alabdulla_2019_Effect of foliar application of humic ac,246,oat,,HFA,Foliar,1.0,3,0.2459,0.5871999999999999,138.7963,True,unmatched,,,,,,,,,,,,
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1021,sugarcane,,SWE,Foliar,1.0,4,106.3,107.69,1.3076,False,matched,106.3,107.69,1.3076,1,0.0,True,False,2017 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1022,sugarcane,,SWE,Foliar,1.0,4,106.3,115.19,8.3631,False,matched,106.3,115.19,8.3631,1,0.0,True,False,2017 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1023,sugarcane,,SWE,Foliar,1.0,4,106.3,115.7,8.8429,False,matched,106.3,115.7,8.8429,1,0.0,True,False,2017 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1024,sugarcane,,SWE,Foliar,1.0,4,106.3,107.21,0.8561,False,matched,106.3,107.21,0.8561,1,0.0,True,False,2017 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1025,sugarcane,,SWE,Foliar,1.0,4,103.88,107.97,3.9372,False,matched,103.88,107.97,3.9372,1,0.0,True,False,2018 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1026,sugarcane,,SWE,Foliar,1.0,4,103.88,113.45,9.2126,False,matched,103.88,113.45,9.2126,1,0.0,True,False,2018 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1027,sugarcane,,SWE,Foliar,1.0,4,103.88,111.19,7.037,False,matched,103.88,111.9,7.7204,1,0.0032,True,False,2018 (t.hm-2),t/ha,4,,0.6835
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1028,sugarcane,,SWE,Foliar,1.0,4,103.88,104.73,0.8183,False,matched,103.88,104.73,0.8183,1,0.0,True,False,2018 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1029,sugarcane,,SWE,Foliar,1.0,4,89.44,91.96,2.8175,False,matched,89.44,91.96,2.8175,1,0.0,True,False,2019 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1030,sugarcane,,SWE,Foliar,1.0,4,89.44,98.46,10.085,False,matched,89.44,98.46,10.085,1,0.0,True,False,2019 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1031,sugarcane,,SWE,Foliar,1.0,4,89.44,98.84,10.5098,False,matched,89.44,98.84,10.5098,1,0.0,True,False,2019 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1032,sugarcane,,SWE,Foliar,1.0,4,89.44,90.19,0.8386,False,matched,89.44,90.19,0.8386,1,0.0,True,False,2019 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1033,sugarcane,,SWE,Foliar,1.0,4,95.6,98.84,3.3891,False,matched,95.6,98.84,3.3891,1,0.0,True,False,2017 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1034,sugarcane,,SWE,Foliar,1.0,4,95.6,104.45,9.2573,False,matched,95.6,103.29,8.0439,1,0.0056,True,False,2017 (t.hm-2),t/ha,4,,1.2134
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1035,sugarcane,,SWE,Foliar,1.0,4,95.6,105.29,10.136,False,matched,95.6,105.29,10.136,1,0.0,True,False,2017 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1036,sugarcane,,SWE,Foliar,1.0,4,95.6,99.07,3.6297,False,matched,93.92,97.71,4.0353,1,0.0157,True,False,Average (t.hm-2),t/ha,4,,0.4056
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1037,sugarcane,,SWE,Foliar,1.0,4,100.62,106.86,6.2016,False,matched,100.62,106.86,6.2016,1,0.0,True,False,2018 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1038,sugarcane,,SWE,Foliar,1.0,4,100.62,111.94,11.2502,False,matched,100.62,111.12,10.4353,1,0.0037,True,False,2018 (t.hm-2),t/ha,4,,0.8149
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1039,sugarcane,,SWE,Foliar,1.0,4,100.62,112.36,11.6677,False,matched,100.62,112.36,11.6677,1,0.0,True,False,2018 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1040,sugarcane,,SWE,Foliar,1.0,4,100.62,102.82,2.1864,False,matched,99.87,102.54,2.6735,1,0.0051,True,False,Average (t.hm-2),t/ha,4,,0.487
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1041,sugarcane,,SWE,Foliar,1.0,4,85.54,87.44,2.2212,False,matched,85.54,87.44,2.2212,1,0.0,True,False,2019 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1042,sugarcane,,SWE,Foliar,1.0,4,85.54,90.24,5.4945,False,matched,85.54,89.81,4.9918,1,0.0024,True,False,2019 (t.hm-2),t/ha,4,,0.5027
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1043,sugarcane,,SWE,Foliar,1.0,4,85.54,90.97,6.3479,False,matched,85.54,90.97,6.3479,1,0.0,True,False,2019 (t.hm-2),t/ha,4,,0.0
027_Chen_2021_Effects of Seaweed Extracts on the Growt,1044,sugarcane,,SWE,Foliar,1.0,4,85.54,86.54,1.169,False,matched,93.92,101.41,7.9749,1,0.1349,True,False,Average (t.hm-2),t/ha,4,,6.8058
029_Ciepiela_2019_The effect of biostimulants derived from,408,ryegrass,Algex,SWE,Foliar,1.0,3,1.26,1.77,40.4762,False,matched,12.6,17.7,40.4762,0.1,0.0,True,False,dry matter yield (t ha-1) - sum of three cuts,t ha-1,3,,0.0
029_Ciepiela_2019_The effect of biostimulants derived from,409,ryegrass,Algex,SWE,Foliar,1.0,3,0.5599999999999999,1.08,92.8571,False,matched,5.6,10.8,92.8571,0.1,0.0,True,False,dry matter yield (t ha-1) - sum of three cuts,t ha-1,3,,0.0
058_Fichhof_2018_Management of Biostimulant and Silicon i,1100,cotton,,Si,Foliar,1.0,3,0.596175,0.59885,0.4487,False,no_yield_obs,,,,,,,,,,,,
058_Fichhof_2018_Management of Biostimulant and Silicon i,1101,cotton,,Si,Foliar,1.0,3,0.596175,0.592237,-0.6605,False,no_yield_obs,,,,,,,,,,,,
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,484,potato,Bio-Algeen S-90,SWE,Foliar,1.0,3,2.5379,2.7651999999999997,8.9562,False,matched,24617.0,25939.0,5.3703,0.0001,0.046,True,False,potato yield,kg/ha,3,,3.586
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,485,potato,Kelpak,SWE,Foliar,1.0,3,2.5379,2.9924,17.9085,False,matched,24617.0,25247.0,2.5592,0.0001,0.0932,True,False,potato yield,kg/ha,3,,15.3493
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,486,potato,Bio-Algeen S-90,SWE,Foliar,1.0,3,1.25,1.3258,6.064,False,matched,8561.0,10830.0,26.5039,0.0001,0.2491,True,False,potato yield,kg/ha,3,,20.4399
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,487,potato,Kelpak,SWE,Foliar,1.0,3,1.25,1.4772999999999998,18.184,False,matched,8561.0,9965.0,16.4,0.0001,0.3203,True,False,potato yield,kg/ha,3,,1.784
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,488,potato,Bio-Algeen S-90,SWE,Foliar,1.0,3,1.7803,1.5909,-10.6387,False,matched,16111.0,15407.0,-4.3697,0.0001,0.0633,True,False,potato yield,kg/ha,3,,6.269
062_Głosek-Sobieraj_2018_The Effect of Growth Regulators and a Bi,489,potato,Kelpak,SWE,Foliar,1.0,3,1.7803,1.7045,-4.2577,False,matched,19053.0,16849.0,-11.5677,0.0001,0.0409,True,False,potato yield,kg/ha,3,,7.31
064_Godlewska_2016_The effect of growth regulator on dry ma,514,grass mixure,Kelpak,SWE,Foliar,1.0,3,1.33,1.42,6.7669,False,matched,13.4,14.0,4.4776,0.1,0.0108,True,False,dry matter yield (t ha⁻¹),t ha⁻¹,3,,2.2893
064_Godlewska_2016_The effect of growth regulator on dry ma,515,grass mixure,Kelpak,SWE,Foliar,1.0,3,1.06,1.17,10.3774,False,matched,9.5,10.0,5.2632,0.1,0.1245,True,False,dry matter yield (t ha⁻¹),t ha⁻¹,3,,5.1142
064_Godlewska_2016_The effect of growth regulator on dry ma,516,grass mixure,Kelpak,SWE,Foliar,1.0,3,0.83,0.89,7.2289,False,matched,8.7,9.1,4.5977,0.1,0.0353,True,False,dry matter yield (t ha⁻¹),t ha⁻¹,3,,2.6312
067_Grabowska_2012_The Effect of Cultivar and Biostimulant,573,carrot,Aminoplant,PHs,Foliar,0.5,3,1.55,1.72,10.9677,True,matched,13.64,13.99,2.566,0.1,0.1533,True,False,Leaf mass (t∙ha⁻¹),t/ha,3,,8.4018
067_Grabowska_2012_The Effect of Cultivar and Biostimulant,574,carrot,Aminoplant,PHs,Foliar,1.0,3,1.55,1.53,-1.2903,True,matched,13.64,13.15,-3.5924,0.1,0.1303,True,False,Leaf mass (t∙ha⁻¹),t/ha,3,,2.3021
067_Grabowska_2012_The Effect of Cultivar and Biostimulant,575,carrot,Aminoplant,PHs,Foliar,0.5,3,3.05,2.97,-2.623,True,matched,30.5,29.7,-2.623,0.1,0.0,True,False,Marketable yield (t∙ha⁻¹),t/ha,3,,0.0
067_Grabowska_2012_The Effect of Cultivar and Biostimulant,576,carrot,Aminoplant,PHs,Foliar,1.0,3,3.05,3.13,2.623,True,matched,30.5,31.3,2.623,0.1,0.0,True,False,Marketable yield (t∙ha⁻¹),t/ha,3,,0.0
067_Grabowska_2012_The Effect of Cultivar and Biostimulant,577,carrot,Aminoplant,PHs,Foliar,0.5,3,4.22,5.02,18.9573,True,matched,42.2,50.2,18.9573,0.1,0.0,True,False,Marketable yield (t∙ha⁻¹),t/ha,3,,0.0
067_Grabowska_2012_The Effect of Cultivar and Biostimulant,578,carrot,Aminoplant,PHs,Foliar,1.0,3,4.22,5.07,20.1422,False,matched,42.2,50.7,20.1422,0.1,0.0,True,False,Marketable yield (t∙ha⁻¹),t/ha,3,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,51,soybean,Kelpak ,SWE,Foliar,0.7,4,0.3267,0.3677,12.5497,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,52,soybean,Kelpak ,SWE,Foliar,0.7,4,0.3267,0.3805,16.4677,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,53,soybean,Kelpak ,SWE,Foliar,1.0,4,0.3267,0.3758,15.0291,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,54,soybean,Kelpak ,SWE,Foliar,1.0,4,0.3267,0.4137,26.6299,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,55,soybean,Kelpak ,SWE,Foliar,0.7,4,0.2664,0.3636,36.4865,True,matched,1793.0,2019.0,12.6046,0.0001,0.3858,True,False,"Number of seeds, Nr m-2",Nr m-2,4,,23.8819
088_Kocira_2019_Effect of amino acid biostimulant on the,56,soybean,Kelpak ,SWE,Foliar,0.7,4,0.2664,0.3876,45.4955,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,57,soybean,Kelpak ,SWE,Foliar,1.0,4,0.2664,0.3874,45.4204,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,58,soybean,Kelpak ,SWE,Foliar,1.0,4,0.2664,0.4171,56.5691,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,59,soybean,Kelpak ,SWE,Foliar,0.7,4,0.3262,0.3767,15.4813,True,matched,3.267,3.78,15.7025,0.1,0.0025,True,False,"Seed yield, t ha-1",t ha-1,4,,0.2212
088_Kocira_2019_Effect of amino acid biostimulant on the,60,soybean,Kelpak ,SWE,Foliar,0.7,4,0.3262,0.3852,18.0871,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,61,soybean,Kelpak ,SWE,Foliar,1.0,4,0.3262,0.3907,19.7731,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,62,soybean,Kelpak ,SWE,Foliar,1.0,4,0.3262,0.4198,28.6941,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,63,soybean,Kelpak,SWE,Foliar,0.6,4,0.3267,0.3415,4.5301,True,matched,3.267,3.415,4.5301,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,64,soybean,Kelpak,SWE,Foliar,0.6,4,0.3267,0.3523,7.8359,True,matched,3.267,3.523,7.8359,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,65,soybean,Kelpak,SWE,Foliar,1.0,4,0.3267,0.3178,-2.7242,True,unmatched,,,,,,,,,,,,
088_Kocira_2019_Effect of amino acid biostimulant on the,66,soybean,Kelpak,SWE,Foliar,1.0,4,0.3267,0.3923,20.0796,True,matched,3.267,3.923,20.0796,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,67,soybean,Kelpak,SWE,Foliar,0.6,4,0.2664,0.3705,39.0766,True,matched,2.664,3.705,39.0766,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,68,soybean,Kelpak,SWE,Foliar,0.6,4,0.2664,0.3703,39.0015,True,matched,2.664,3.703,39.0015,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,69,soybean,Kelpak,SWE,Foliar,1.0,4,0.2664,0.365,37.012,True,matched,2.664,3.65,37.012,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,70,soybean,Kelpak,SWE,Foliar,1.0,4,0.2664,0.3929,47.485,True,matched,2.664,3.929,47.485,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,71,soybean,Kelpak,SWE,Foliar,0.6,4,0.3262,0.3865,18.4856,True,matched,3.262,3.865,18.4856,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,72,soybean,Kelpak,SWE,Foliar,0.6,4,0.3262,0.3919,20.141,True,matched,3.262,3.919,20.141,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,73,soybean,Kelpak,SWE,Foliar,1.0,4,0.3262,0.3987,22.2256,True,matched,3.262,3.987,22.2256,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
088_Kocira_2019_Effect of amino acid biostimulant on the,74,soybean,Kelpak,SWE,Foliar,1.0,4,0.3262,0.4084,25.1993,True,matched,3.262,4.084,25.1993,0.1,0.0,True,False,"Seed yield, t ha-1",t ha-1,4,,0.0
090_Kocira_2020_Biochemical and economical effect of app,124,bean,Kelpak SL,SWE,Foliar,0.7,3,0.248493975903614,0.322289156626506,29.697,True,unmatched,,,,,,,,,,,,
090_Kocira_2020_Biochemical and economical effect of app,125,bean,Kelpak SL,SWE,Foliar,1.0,3,0.248493975903614,0.32379518072289104,30.303,True,unmatched,,,,,,,,,,,,
090_Kocira_2020_Biochemical and economical effect of app,126,bean,Kelpak SL,SWE,Foliar,0.7,3,0.248493975903614,0.329819277108433,32.7273,True,unmatched,,,,,,,,,,,,
