Dataset,Paper,Total Obs,Has n,Has Variance,Both,SE,SD,LSD,CI,None
Loladze,001_Ma_2007,23,23,0,0,0,0,23,0,0
Loladze,002_Ziska_1997,16,16,8,8,8,0,0,0,8
Loladze,003_Baslam_2012,68,68,63,63,68,0,0,0,0
Loladze,004_Finzi_2001,53,53,53,53,53,0,0,0,0
Loladze,005_Niinemets_1999,29,20,29,20,29,0,0,0,0
Loladze,006_Azam_2013,25,25,24,24,0,25,0,0,0
Loladze,007_Woodin_1992,12,12,12,12,0,0,0,12,0
Loladze,008_Campbell_2002,1,1,1,1,1,0,0,0,0
Loladze,009_Barnes_1992,43,43,0,0,0,0,0,0,43
Loladze,010_Li_2010,15,15,15,15,15,0,0,0,0
Loladze,011_Huluka_1994,10,10,10,10,10,0,0,0,0
Loladze,012_Wu_2004,4,4,4,4,0,4,0,0,0
Loladze,013_Keutgen_2001,52,52,52,52,0,52,0,0,0
Loladze,014_Lieffering_2004,6,6,6,6,6,0,0,0,0
Loladze,015_Pleijel_2009,8,8,0,0,0,0,0,0,8
Loladze,016_Fernando_2012a,4,4,4,4,4,0,0,0,0
Loladze,017_Fangmeier_2002,134,31,80,31,0,103,0,0,31
Loladze,018_Al-Rawahy_2013,21,21,21,21,21,0,0,0,0
Loladze,019_Baxter_1994,15,15,15,15,15,0,0,0,0
Loladze,020_Overdieck_1993,41,41,0,0,0,0,0,0,41
Loladze,021_Wilsey_1994,40,40,40,40,40,0,0,0,0
Loladze,022_Blank_2011,0,0,0,0,0,0,0,0,0
Loladze,024_Nowak_2002,5,5,0,0,0,0,0,0,5
Loladze,025_Guo_2011,27,27,27,27,0,27,0,0,0
Loladze,026_Seneweera_1997,36,36,12,12,0,0,12,0,24
Loladze,027_Peet_1986,16,16,8,8,8,0,0,0,8
Loladze,028_Mishra_2011,3,3,3,3,0,3,0,0,0
Loladze,029_Kuehny_1991,20,20,20,20,20,0,0,0,0
Loladze,030_Wroblewitz_2013,39,39,39,39,39,0,0,0,0
Loladze,031_Pal_2003,22,22,22,22,0,22,0,0,0
Loladze,032_Kanowski_2001,16,16,16,16,16,0,0,0,0
Loladze,033_Johnson_2003,60,60,60,60,60,0,0,0,0
Loladze,034_Johnson_1997,160,160,87,87,116,0,0,0,44
Loladze,035_Oksanen_2005,59,59,59,59,0,59,0,0,0
Loladze,036_Schenk_1997,36,36,36,36,36,0,0,0,0
Loladze,037_de_2000,3,3,3,3,3,0,0,0,0
Loladze,038_Newbery_1995,30,30,30,30,30,0,0,0,0
Loladze,039_Heagle_1993,75,75,0,0,0,0,0,0,75
Loladze,040_Pfirrmann_1996,41,41,0,0,0,0,0,0,41
Loladze,041_Mjwara_1996,44,44,44,44,44,0,0,0,0
Loladze,042_Luomala_2005,121,121,121,121,121,0,0,0,0
Loladze,043_Natali_2009,72,72,72,72,72,0,0,0,0
Loladze,044_Housman_2012,52,52,52,52,52,0,0,0,0
Loladze,046_Porter_1984,10,10,0,0,0,0,0,0,10
Loladze,047_Rodenkirchen_2009,0,0,0,0,0,0,0,0,0
Loladze,048_Khan_2013,19,19,17,17,0,19,0,0,0
Loladze,049_Singh_2013,10,10,10,10,10,0,0,0,0
Loladze,050_Polley_2011,36,26,26,26,26,0,0,0,10
Loladze,051_Niu_2013,4,4,4,4,0,4,0,0,0
Loladze,058_ONeill_1987,16,16,0,0,0,0,0,0,16
Hui 2023,41598_2018_Article_25247,6,6,6,6,2,0,4,0,0
Hui 2023,agronomy-10-01566-v2,22,22,22,22,22,0,0,0,0
Hui 2023,fpls-08-00281,45,45,45,45,0,0,45,0,0
Hui 2023,fpls-10-00426,15,15,0,0,0,0,0,0,15
Hui 2023,HarevstPlus_Zouetal2012,101,101,101,101,0,0,101,0,0
Hui 2023,pse_pse-201308-0003,62,62,62,62,62,0,0,0,0
Hui 2023,s11104-015-2758-0,72,72,71,71,72,0,0,0,0
Hui 2023,s11104-016-2815-3,115,115,100,100,0,0,115,0,0
