element,n_obs,pooled_lnRR,se_lnRR,ci_lo_lnRR,ci_hi_lnRR,pooled_pct,ci_lo_pct,ci_hi_pct,tau2,I2_pct,Q,df_Q,p_Q
AL,7,-0.5134,0.378,-1.2542,0.2274,-40.15,-71.47,25.54,0.0,0.0,0.46,6,0.9982
BA,1,-0.1778,,,,-16.29,,,0.0,0.0,0.0,0,
SR,1,-0.1739,,,,-15.96,,,0.0,0.0,0.0,0,
N,70,-0.1002,0.1195,-0.3345,0.1341,-9.54,-28.43,14.35,0.0,0.0,0.48,69,1.0
SI,1,-0.1,,,,-9.52,,,0.0,0.0,0.0,0,
SE,1,-0.1,,,,-9.52,,,0.0,0.0,0.0,0,
CO,7,-0.0957,0.378,-0.8365,0.6451,-9.12,-56.68,90.63,0.0,0.0,0.19,6,0.9999
MG,50,-0.0881,0.1414,-0.3653,0.189,-8.44,-30.6,20.81,0.0,0.0,0.56,49,1.0
P,70,-0.0802,0.1195,-0.3145,0.154,-7.71,-26.98,16.65,0.0,0.0,1.13,69,1.0
B,11,-0.0801,0.3015,-0.6711,0.5109,-7.7,-48.88,66.67,0.0,0.0,0.14,10,1.0
K,57,-0.0757,0.1325,-0.3353,0.1839,-7.29,-28.49,20.19,0.0,0.0,0.46,56,1.0
CU,48,-0.0701,0.1443,-0.353,0.2128,-6.77,-29.74,23.72,0.0,0.0,0.69,47,1.0
ZN,63,-0.0455,0.126,-0.2924,0.2015,-4.45,-25.35,22.32,0.0,0.0,1.24,62,1.0
S,23,-0.0439,0.2085,-0.4525,0.3648,-4.29,-36.4,44.03,0.0,0.0,0.26,22,1.0
CA,67,-0.0372,0.1222,-0.2766,0.2023,-3.65,-24.17,22.42,0.0,0.0,1.28,66,1.0
FE,53,-0.0093,0.1374,-0.2785,0.2599,-0.93,-24.31,29.68,0.0,0.0,5.59,52,1.0
NI,6,0.0,0.4082,-0.8002,0.8002,0.0,-55.07,122.59,0.0,0.0,0.0,5,1.0
MN,48,0.0181,0.1443,-0.2648,0.301,1.82,-23.27,35.12,0.0,0.0,1.88,47,1.0
C,7,0.1148,0.378,-0.6261,0.8556,12.16,-46.53,135.27,0.0,0.0,0.18,6,0.9999
MO,8,0.115,0.3536,-0.5779,0.808,12.19,-43.89,124.34,0.0,0.0,0.1,7,1.0
PB,7,0.164,0.378,-0.5768,0.9048,17.82,-43.83,147.15,0.0,0.0,0.53,6,0.9974
CD,9,0.1802,0.3333,-0.4731,0.8336,19.75,-37.69,130.15,0.0,0.0,0.09,8,1.0
V,6,0.3856,0.4082,-0.4146,1.1858,47.05,-33.94,227.32,0.0,0.0,2.08,5,0.8377
