group,tissue,app_type,n_obs,pooled_effect_pct,se,ci_lo,ci_hi,tau2,I2_pct,Q,df_Q,p_Q
Overall,All,All,310,50.18,2.695,44.89,55.46,2251.1551,100.0,695915.93,309,0.0
Tissue: grain,grain,All,295,51.11,2.787,45.65,56.58,2290.1391,100.0,673594.9,294,0.0
Tissue: leaf,leaf,All,3,9.02,5.561,-1.88,19.92,91.7817,98.9,185.56,2,0.0
Tissue: panicle,panicle,All,4,37.34,14.425,9.07,65.62,831.2969,99.9,2496.89,3,0.0
Tissue: root,root,All,1,13.29,,,,0.0,0.0,0.0,0,
Tissue: shoot,shoot,All,7,40.81,16.665,8.15,73.48,1943.1603,99.9,11664.96,6,0.0
App: 2,All,2,183,34.06,2.394,29.37,38.75,1047.5324,99.9,190832.9,182,0.0
App: 3,All,3,67,63.34,6.517,50.57,76.12,2844.1767,100.0,187781.66,66,0.0
App: 4,All,4,60,84.62,7.267,70.38,98.86,3167.9016,100.0,186965.2,59,0.0
grain × 2,grain,2,180,33.94,2.383,29.27,38.61,1021.0071,99.9,182939.27,179,0.0
grain × 3,grain,3,57,69.56,7.201,55.45,83.68,2954.6592,100.0,165516.92,56,0.0
grain × 4,grain,4,58,86.29,7.397,71.79,100.78,3172.7428,100.0,180903.34,57,0.0
shoot × 3,shoot,3,6,28.86,13.747,1.92,55.81,1132.8337,99.9,5669.17,5,0.0
