group,category,crop,n_obs,pooled_effect_pct,se,ci_lo,ci_hi,tau2,I2_pct,Q,df_Q,p_Q
Overall,All,All,163,15.43,1.814,11.88,18.99,535.3047,99.8,86881.37,162,0.0
Category: Chi,Chi,All,14,19.97,3.88,12.36,27.57,209.7459,99.5,2739.7,13,0.0
Category: HFA,HFA,All,7,37.77,25.561,-12.33,87.87,4572.4401,100.0,27440.64,6,0.0
Category: PE,PE,All,2,-4.59,1.465,-7.46,-1.71,3.2924,76.7,4.29,1,0.0383
Category: PHs,PHs,All,16,8.37,2.764,2.95,13.79,121.2175,99.2,1833.26,15,0.0
Category: SWE,SWE,All,116,15.37,1.896,11.65,19.08,415.9694,99.8,47951.48,115,0.0
Category: Si,Si,All,8,8.0,4.41,-0.64,16.65,154.5547,99.4,1088.88,7,0.0
Crop: apple,All,apple,3,31.09,2.131,26.91,35.27,12.6225,92.7,27.25,2,0.0
Crop: bean,All,bean,10,-3.53,6.521,-16.31,9.26,424.226,99.8,3827.03,9,0.0
Crop: blackgram,All,blackgram,8,24.37,2.945,18.59,30.14,68.3949,98.6,485.76,7,0.0
Crop: carrot,All,carrot,4,9.78,5.749,-1.49,21.04,131.2092,99.2,396.63,3,0.0
Crop: eggplant,All,eggplant,9,13.95,1.79,10.44,17.46,27.8239,96.5,230.59,8,0.0
Crop: grass mixure,All,grass mixure,3,6.61,2.067,2.56,10.66,11.8169,92.2,25.63,2,0.0
Crop: maize,All,maize,6,17.54,3.349,10.98,24.11,66.2997,98.5,336.5,5,0.0
Crop: onion,All,onion,3,5.86,2.336,1.28,10.44,15.3722,93.9,32.74,2,0.0
Crop: potato,All,potato,8,1.26,2.883,-4.39,6.91,65.4893,98.5,465.43,7,0.0
Crop: soybean,All,soybean,38,28.05,3.732,20.74,35.37,528.2276,99.8,19581.42,37,0.0
Crop: strawberry,All,strawberry,17,12.69,3.868,5.11,20.27,253.2952,99.6,4068.72,16,0.0
Crop: sugarcane,All,sugarcane,24,5.98,0.73,4.54,7.41,11.7982,92.2,294.36,23,0.0
Crop: timothy,All,timothy,9,9.58,1.741,6.17,12.99,26.2652,96.3,218.12,8,0.0
Crop: wheat,All,wheat,15,9.28,2.472,4.44,14.13,90.6429,98.9,1283.0,14,0.0
Chi × maize,Chi,maize,6,17.54,3.349,10.98,24.11,66.2997,98.5,336.5,5,0.0
Chi × strawberry,Chi,strawberry,8,21.79,6.466,9.11,34.46,333.4896,99.7,2341.43,7,0.0
HFA × soybean,HFA,soybean,5,9.15,2.252,4.74,13.57,24.3621,96.1,101.45,4,0.0
PHs × carrot,PHs,carrot,4,9.78,5.749,-1.49,21.04,131.2092,99.2,396.63,3,0.0
PHs × timothy,PHs,timothy,9,9.58,1.741,6.17,12.99,26.2652,96.3,218.12,8,0.0
SWE × bean,SWE,bean,8,-1.83,8.071,-17.65,13.99,520.1295,99.8,3647.91,7,0.0
SWE × blackgram,SWE,blackgram,8,24.37,2.945,18.59,30.14,68.3949,98.6,485.76,7,0.0
SWE × eggplant,SWE,eggplant,9,13.95,1.79,10.44,17.46,27.8239,96.5,230.59,8,0.0
SWE × grass mixure,SWE,grass mixure,3,6.61,2.067,2.56,10.66,11.8169,92.2,25.63,2,0.0
SWE × onion,SWE,onion,3,5.86,2.336,1.28,10.44,15.3722,93.9,32.74,2,0.0
SWE × potato,SWE,potato,8,1.26,2.883,-4.39,6.91,65.4893,98.5,465.43,7,0.0
SWE × soybean,SWE,soybean,33,30.92,4.062,22.96,38.88,543.4634,99.8,17422.83,32,0.0
SWE × strawberry,SWE,strawberry,5,9.58,2.748,4.19,14.96,36.7495,97.4,151.0,4,0.0
SWE × sugarcane,SWE,sugarcane,24,5.98,0.73,4.54,7.41,11.7982,92.2,294.36,23,0.0
SWE × wheat,SWE,wheat,11,6.07,2.552,1.07,11.08,70.6636,98.6,716.64,10,0.0
Si × wheat,Si,wheat,4,18.1,3.436,11.37,24.84,46.23,97.9,141.69,3,0.0
