paper_id,outcome,outcome_unit,source_type,table_or_figure,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,variance_treatment,variance_control,se_treatment,se_control,sd_treatment,sd_control,treatment_description,control_description,confidence,notes,title,authors,year,journal,doi,mod_crop_species,mod_biochar_feedstock,mod_biochar_rate_t_ha,mod_pyrolysis_temperature_C,mod_soil_type,mod_soil_pH,mod_climate_zone,mod_country,mod_experiment_type,mod_study_duration,mod_n_rate_kg_ha,mod_co_amendment,mod_year_of_measurement,p_value,significance,mod_biochar_application_rate_t_ha,mod_number_of_primary_studies,mod_number_of_observations,mod_total_studies_in_dataset,mod_study_type,mod_season,mod_model_R2,mod_model_p_value,mod_response_ratio_increment,mod_predictor_variable,mod_direction,mod_p_value_smooth_term,mod_significance_level,mod_cultivar,mod_region,mod_straw_rate_t_ha,mod_base_fertilization,mod_design,mod_replicates,mod_plot_size_m2,mod_plant_density_per_ha,mod_biochar_application_rate,mod_pyrolysis_temperature,mod_water_regime,mod_drought_stage,mod_biochar_application_rate_pct_ww,mod_pyrolysis_duration_h,mod_country_region,mod_study_duration_days,mod_biochar_pH,mod_biochar_CN_ratio,mod_biochar_HC_ratio,mod_biochar_N_pct,mod_n_fertilization_kg_N_ha,mod_compost,mod_biochar_type,mod_soil_salt_g_kg,mod_planting_density_plants_ha,mod_irrigation,mod_soil_SOC_g_kg,mod_soil_total_N_g_kg,mod_soil_available_N_mg_kg,mod_soil_available_P_mg_kg,mod_soil_available_K_mg_kg,mod_drought_level,mod_PGPR_strain,mod_biochar_application_rate_g_per_kg,mod_biochar_application_rate_g_per_pot,mod_soil_sand_content_pct,mod_seeding_density_g_per_pot,mod_soil_mass_kg,mod_biochar_rate_pct_ww,mod_subgroup,mod_n_datasets,mod_hedges_g,mod_ci_lower,mod_ci_upper,mod_p_value,mod_crops_included,mod_effect_pct_from_text,mod_biochar_rate,mod_regression_equation,mod_r_squared,mod_cumulative_biochar_applied_t_ha,mod_biochar_rate_tha_equiv,mod_fertilization_level,mod_N_rate_kg_ha,mod_soil_classification,mod_P_rate_range,mod_harvest_season,mod_fertilizer_level,mod_category,mod_n_comparisons,mod_n_papers,mod_median_biochar_pH,mod_soil_pH_category,mod_median_soil_pH,mod_median_biochar_rate_t_ha,mod_pyrolysis_method,mod_soil_EC_dSm,mod_NaCl_mM,mod_biochar_C_pct,mod_biochar_cumulative_t_ha,mod_study_duration_years,mod_application_year,mod_nitrogen_rate_kg_ha,mod_cumulative_biochar_rate_t_ha,mod_soil_organic_matter_g_kg,mod_latitude,mod_longitude,mod_mean_annual_temperature_C,mod_mean_annual_precipitation_mm,mod_P2O5_rate_kg_ha,mod_K2O_rate_kg_ha,mod_plot_area_m2
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),6300.0,5200.0,21.153846153846153,3.0,3.0,LSD,431.26,,,,,,,10 t/ha biochar + N135 kg/ha (T3),0 t/ha biochar + N135 kg/ha (T1),medium,Value estimated from Figure 5 bar chart. T3 bar reads ~6300 kg/ha. LSD(0.05) = 431.26 for 2019. Letters differ (b vs c) indicating significant difference.,Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,10.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,135.0,Biochar + N fertilizer vs N fertilizer alone,2019,<0.05,b vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),6550.0,5200.0,25.961538461538463,3.0,3.0,LSD,431.26,,,,,,,20 t/ha biochar + N135 kg/ha (T4),0 t/ha biochar + N135 kg/ha (T1),medium,Value estimated from Figure 5 bar chart. T4 bar reads ~6550 kg/ha.,Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,20.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,135.0,Biochar + N fertilizer vs N fertilizer alone,2019,<0.05,ab vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),6848.0,5200.0,31.692307692307693,3.0,3.0,LSD,431.26,,,,,,,30 t/ha biochar + N135 kg/ha (T5),0 t/ha biochar + N135 kg/ha (T1),high,"Text states T5 improved yield by 31.7% vs T1 in 2019. T1 estimated ~5200 from figure, T5 calculated as 5200*1.317=6848. LSD(0.05)=431.26.",Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,30.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,135.0,Biochar + N fertilizer vs N fertilizer alone,2019,<0.05,a vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),6350.0,5750.0,10.434782608695652,3.0,3.0,LSD,431.26,,,,,,,10 t/ha biochar + N180 kg/ha (T6),0 t/ha biochar + N180 kg/ha (T2),medium,"Both T6 and T2 estimated from Figure 5. T6 ~6350, T2 ~5750 kg/ha. Same letter group overlap possible.",Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,10.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,180.0,Biochar + N fertilizer vs N fertilizer alone,2019,,b vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),6854.0,5200.0,31.80769230769231,3.0,3.0,LSD,431.26,,,,,,,20 t/ha biochar + N180 kg/ha (T7),0 t/ha biochar + N135 kg/ha (T1),medium,"Text states T7 improved yield by 31.8% vs T1. T7=5200*1.318=6854. NOTE: comparison is vs T1 (N135 control) not T2 (N180 control) as stated in text. For proper biochar effect at same N level, T7 vs T2 is the correct comparison.",Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,20.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,180.0,Biochar + N fertilizer vs N fertilizer alone,2019,<0.05,a vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),6850.0,5750.0,19.130434782608695,3.0,3.0,LSD,431.26,,,,,,,20 t/ha biochar + N180 kg/ha (T7),0 t/ha biochar + N180 kg/ha (T2),medium,"Proper same-N comparison: T7 (20t B + N180) vs T2 (0t B + N180). T7 ~6850, T2 ~5750 from figure.",Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,20.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,180.0,Biochar + N fertilizer vs N fertilizer alone,2019,<0.05,a vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),6885.0,5750.0,19.73913043478261,3.0,3.0,LSD,431.26,,,,,,,30 t/ha biochar + N180 kg/ha (T8),0 t/ha biochar + N180 kg/ha (T2),medium,T8 (30t B + N180) vs T2 (0t B + N180). Text: T8 improved 32.4% vs T1; T8 vs T2 = ~19.7%. T8=5200*1.324=6885.,Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,30.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,180.0,Biochar + N fertilizer vs N fertilizer alone,2019,<0.05,a vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),7000.0,6000.0,16.666666666666664,3.0,3.0,LSD,465.33,,,,,,,10 t/ha biochar + N135 kg/ha (T3),0 t/ha biochar + N135 kg/ha (T1),medium,"Values estimated from Figure 5 for 2020. T3 ~7000, T1 ~6000. LSD(0.05) = 465.33 for 2020.",Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,10.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,135.0,Biochar + N fertilizer vs N fertilizer alone,2020,<0.05,b vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),7200.0,6000.0,20.0,3.0,3.0,LSD,465.33,,,,,,,20 t/ha biochar + N135 kg/ha (T4),0 t/ha biochar + N135 kg/ha (T1),medium,T4 estimated ~7200 from Figure 5 for 2020.,Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,20.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,135.0,Biochar + N fertilizer vs N fertilizer alone,2020,<0.05,ab vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ali_2022_Biochar_Amendment_and_Nitrogen_Fertilizer,Rice grain yield,kg/ha,figure,Figure 5 (estimated from figure),7656.0,6000.0,27.6,3.0,3.0,LSD,465.33,,,,,,,30 t/ha biochar + N135 kg/ha (T5),0 t/ha biochar + N135 kg/ha (T1),high,"Text states T5 improved yield by 27.6% vs T1 in 2020. T1~6000, T5=6000*1.276=7656. LSD(0.05)=465.33.",Biochar Amendment and Nitrogen Fertilizer Contribute to the Changes in Soil Properties and Microbial Communities in a Paddy Field,"Ali I, Yuan P, Ullah S, Iqbal A, Zhao Q, Liang H, Khan A, Imran, Zhang H, Wu X, Wei S, Gu M, Jiang L",2022,Frontiers in Microbiology,10.3389/fmicb.2022.834751,Rice (Oryza sativa L. cv. Zhenguiai),Cassava straw,30.0,300-500,Ultisols,5.94,Subtropical monsoon,"China (Nanning, Guangxi)",Field,2 years,135.0,Biochar + N fertilizer vs N fertilizer alone,2020,<0.05,a vs c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
