paper_id,outcome,outcome_unit,source_type,table_or_figure,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,variance_treatment,variance_control,se_treatment,se_control,sd_treatment,sd_control,treatment_description,control_description,confidence,notes,title,authors,year,journal,doi,mod_crop_species,mod_crop_functional_group,mod_amf_species,mod_p_fertilization,mod_n_fertilization,mod_study_type,mod_soil_type,mod_sterilized_soil,mod_time_point,mod_experiment,p_value,significance,mod_measurement_basis,mod_functional_group,mod_p_availability,mod_climate_zone,mod_year,mod_soil_salinity_dS_m,mod_soil_pH,mod_p_fertilization_level,mod_n_fertilization_level,mod_tissue,mod_community_type,mod_soil_sterilized,mod_P_fertilization,mod_note,mod_phosphorus_level,mod_country,mod_growth_duration_days,mod_organic_system,mod_crop_cultivar,mod_growth_medium,mod_duration,mod_colonization_pct,mod_crop_variety,mod_site,mod_inoculum_type,mod_inoculum_dose,mod_plant_density,mod_experiment_duration,mod_phosphorus_fertilization,mod_soil_P_mg_dm3,mod_evaluation_time,mod_location,mod_npk_dose_pct,mod_amf_strain,mod_salinity_mM_NaCl,mod_root_part,mod_plant_organ,mod_soil_P_olsen_mg_kg,mod_N_fertilization,mod_pathogen_present,mod_amf_dose_g_per_plant,mod_trichoderma_present,mod_nursery_stage,mod_measurement_age_months,mod_treatment_code,mod_trichoderma_dose,mod_sampling_time,mod_mycorrhizal_type,mod_N_status,mod_biomass_component,mod_n_experiments,mod_n_experiments_aboveground_total,mod_n_experiments_belowground_total,mod_N_fixing_species_present,mod_cultivar,mod_mycorrhizal_dependency_pct,mod_amf_dose,mod_npk_level_kg_ha,mod_p_fertilization_kg_P2O5_ha,mod_n_fertilization_kg_N_ha,mod_soil_p_available_mg_kg,mod_yeast_treatment,mod_season,mod_tomato_genotype,mod_fungal_species,mod_treatment_type,mod_duration_days,mod_days_after_planting,mod_plant_age_days,mod_population_origin_comparison,mod_donor_population_origin,mod_experiment_duration_days,mod_venue_comparison,mod_chemical_treatment,mod_chemical_concentrations_tested,mod_n_populations,mod_population_origin,mod_seedlings_per_population,mod_exudate_source,mod_spores_per_dish,mod_replicates_per_treatment,mod_incubation_temp_C,mod_measurement_days,mod_nitrogen_level,mod_nutrient_treatment,mod_heavy_metal_level,mod_water_treatment,mod_soil_P_ppm,mod_other_inoculants_in_treatment,mod_comparison_type
Arbuscular_mycorrhiza_enhances_nutrient__2011,Total biomass,g/pot,table,Table 2,11.92,11.76,1.360544217687076,10.0,10.0,SE,,0.48,0.64,0.48,0.64,,,"AMF inoculation (Symbivit), sterilized soil, 2006","No AMF inoculation, sterilized soil, 2006",high,"Means and SEM in brackets. n=10 (pooled across N+/N- treatments, 5 reps each). Biomass difference not significant in 2006.",Arbuscular mycorrhiza enhances nutrient uptake in chickpea,"Farzaneh M., Vierheilig H., Lössl A., Kaul H.P.",2011,Plant Soil and Environment,,Chickpea (Cicer arietinum),,Symbivit (commercial mixed inoculum),,pooled across N+/N- (no significant N effect),pot (fence house),Chernozem silty loam (1:1 soil:sand),yes,,,ns,ns,,legume,moderate (106 mg/kg CAL),"temperate (Vienna, Austria)",2006.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_mycorrhiza_enhances_nutrient__2011,Total biomass,g/pot,table,Table 2,11.77,8.25,42.666666666666664,10.0,10.0,SE,,1.19,1.12,1.19,1.12,,,"AMF inoculation (Symbivit), sterilized soil, 2007","No AMF inoculation, sterilized soil, 2007",high,Means and SEM in brackets. n=10 (pooled across N+/N- treatments). Biomass difference significant in 2007. Text states AMF increased total dry matter significantly in 2007.,Arbuscular mycorrhiza enhances nutrient uptake in chickpea,"Farzaneh M., Vierheilig H., Lössl A., Kaul H.P.",2011,Plant Soil and Environment,,Chickpea (Cicer arietinum),,Symbivit (commercial mixed inoculum),,pooled across N+/N- (no significant N effect),pot (fence house),Chernozem silty loam (1:1 soil:sand),yes,,,<0.05,*,,legume,high (138 mg/kg CAL),"temperate (Vienna, Austria)",2007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.836,1.757,4.496300512236777,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae (Gm) inoculation, soil salinity 1.04 dS/m","Non-mycorrhizal (NM), soil salinity 1.04 dS/m",high,"Soil was autoclaved (121°C, 103.4 kPa, 1h). Salinity 1.04 dS/m is the non-saline control condition.",Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,1.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.781,1.757,1.3659647125782597,3.0,3.0,SE,,0.01,0.03,0.01,0.03,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 1.04 dS/m","Non-mycorrhizal (NM), soil salinity 1.04 dS/m",high,Salinity 1.04 dS/m is the non-saline control condition.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,1.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.871,1.757,6.488332384746734,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 1.04 dS/m","Non-mycorrhizal (NM), soil salinity 1.04 dS/m",high,Combined inoculation. Salinity 1.04 dS/m is the non-saline control condition.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,1.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.633,1.571,3.946530872056019,3.0,3.0,SE,,0.03,0.03,0.03,0.03,,,"Glomus mosseae (Gm) inoculation, soil salinity 1.04 dS/m","Non-mycorrhizal (NM), soil salinity 1.04 dS/m",high,C. tetragonoloba (guar). Salinity 1.04 dS/m is the non-saline control condition.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,1.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.598,1.571,1.7186505410566606,3.0,3.0,SE,,0.03,0.03,0.03,0.03,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 1.04 dS/m","Non-mycorrhizal (NM), soil salinity 1.04 dS/m",high,C. tetragonoloba (guar). Salinity 1.04 dS/m is the non-saline control condition.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,1.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.663,1.571,5.85614258434119,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae + Glomus fasciculatum (Gm+Gf) co-inoculation, soil salinity 1.04 dS/m","Non-mycorrhizal (NM), soil salinity 1.04 dS/m",high,Combined inoculation. C. tetragonoloba (guar). Salinity 1.04 dS/m is the non-saline control condition.,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Cyamopsis tetragonoloba,legume,Glomus mosseae + Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,1.04,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.673,1.588,5.352644836272038,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus mosseae (Gm) inoculation, soil salinity 2.10 dS/m","Non-mycorrhizal (NM), soil salinity 2.10 dS/m",high,,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus mosseae,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,2.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbuscular_Mycorrhizal_Colonization_Enha_2014,Plant dry weight,g/plant,table,Table 1,1.627,1.588,2.45591939546599,3.0,3.0,SE,,0.02,0.03,0.02,0.03,,,"Glomus fasciculatum (Gf) inoculation, soil salinity 2.10 dS/m","Non-mycorrhizal (NM), soil salinity 2.10 dS/m",high,,Arbuscular Mycorrhizal Colonization Enhances Biochemical Status in and Mitigates Adverse Salt Effect on Two Legumes,"Datta P, Kulkarni M",2014,Notulae Scientia Biologicae,,Glycine max,legume,Glomus fasciculatum,,,greenhouse,"sand-silt-clay mix (35% sand, 57% silt, 8% clay)",True,,,<0.05,*,,,,,,2.1,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
