paper_id,outcome,outcome_unit,source_type,table_or_figure,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,variance_treatment,variance_control,se_treatment,se_control,sd_treatment,sd_control,treatment_description,control_description,confidence,notes,title,authors,year,journal,doi,mod_crop_species,mod_climate,mod_region,mod_soil_type,mod_irrigation,mod_residue_management,mod_crop_rotation,mod_study_duration_years,mod_n_fertilizer_rate,mod_previous_crop,mod_soil_moisture_pct,p_value,significance,mod_precipitation_mm,mod_country,mod_row_spacing_cm,mod_seeding_rate_kg_ha,mod_n_fertilizer_kg_ha,mod_cover_crop,mod_latitude,mod_longitude,mod_altitude_m,mod_soil_clay_pct,mod_soil_silt_pct,mod_soil_sand_pct,mod_soil_texture,mod_irrigation_m3_ha,mod_tillage_type_treatment,mod_tillage_type_control,mod_num_sites,mod_num_site_years,mod_cultivar,mod_season,mod_N_fertilizer_rate_kg_ha,mod_wheat_genotypes_pooled,mod_n_fertilizer_rate_kg_ha,mod_rainfall_mm,mod_rice_genotypes_pooled,mod_elevation_m,mod_annual_rainfall_mm,mod_soil_pH,mod_N_rate_kg_ha,mod_years,mod_experimental_design,mod_soil_N_kg_ha,mod_soil_P_kg_ha,mod_soil_K_kg_ha,mod_weed_control_treatment,mod_weed_control_control,mod_year_of_measurement,mod_N_fertilizer_kg_ha,mod_crop_year,mod_mean_annual_rainfall_mm,mod_in_crop_rainfall_mm,mod_fallow_rainfall_mm,mod_years_no_till,mod_fertiliser,mod_S_rate_kg_ha,mod_aridity_index,mod_rotation_includes_legume,mod_preceding_crop,mod_mean_precipitation_mm,mod_farming_system,mod_years_averaged,mod_N_fertilizer_rate_kg_ha_yr,mod_mean_temp_C,mod_hybrid,mod_year,mod_climate_character,mod_annual_precipitation_mm,mod_mean_temperature_C,mod_N_fertilizer_rate,mod_study_type,mod_survey_years,mod_total_sample_size,mod_regression_coefficient_notill_on_yield,mod_regression_t_ratio,mod_regression_significant,mod_sample_mean_yield_bu_acre,mod_sample_sd_yield_bu_acre,mod_yield_equation_R_squared,mod_yield_equation_std_dev_residuals,mod_model_type,mod_irrigation_depth_mm,mod_irrigation_depth_pct_NID,mod_residue_management_treatment,mod_residue_management_control,mod_aridity_index_or_precipitation_mm,mod_year_of_experiment,mod_soil_moisture_field_capacity_pct,mod_seeding_method,mod_seeder_type,mod_seeder_power_hp,mod_mean_annual_precipitation_mm,mod_mean_annual_water_deficit_mm,mod_years_under_notill,mod_experiment_established,mod_data_period,mod_sowing_date,mod_harvest_date,mod_days_to_maturity,mod_study_duration_years_notill,mod_variety,mod_tillage_class,mod_comparison_baseline,mod_n_observation_pairs,mod_n_experiments,mod_analysis_type,mod_koppen_class,mod_soil_texture_class,mod_crop_class,mod_outcome_category,mod_analysis,mod_mean_difference_g_C_per_m2,mod_precipitation_fallow_mm,mod_precipitation_growing_mm,mod_year_of_observation,mod_tillage_depth_cm,mod_study_year,mod_K_rate_kg_ha,mod_P_rate_kg_ha,mod_P_fertilizer_kg_ha,mod_K_fertilizer_kg_ha,mod_growing_season,mod_tillage_history,mod_cropping_system,mod_rotation,mod_pooled_n_observations,mod_number_of_studies,mod_regression_equation,mod_r_squared,mod_study_duration,mod_rotation_type,mod_rotation_diversity,mod_includes_legume,mod_period,mod_years_in_period,mod_n_rotations_pooled,mod_plot_size_m2,mod_bed_type,mod_year_of_data,mod_koppen_climate,mod_clay_content_g_kg,mod_mean_annual_temp_C,mod_site,mod_P2O5_rate_kg_ha,mod_K2O_rate_kg_ha,mod_nutrient_treatment,mod_study_duration_seasons,mod_n_farms,mod_n_cropping_systems,mod_n_weather_repetitions,mod_n_simulated_years,mod_total_data_points,mod_simulation_condition,mod_soil_organic_carbon_pct,mod_seed_rate_kg_ha,mod_num_varieties_tested,mod_num_farms,mod_aridity_index_or_precipitation,mod_fertilizer_type,mod_cover_crop_treatment,mod_weed_control,mod_pre_crop,mod_rainfall_oct_jun_mm,mod_temperature_oct_jun_C,mod_harvest_year,mod_planting_system,mod_planting_geometry,mod_residue_amount_t_ha,mod_n_fertilizer_rate_treatment,mod_n_fertilizer_rate_control,mod_clay_pct,mod_biochar,mod_sampling_depth_cm,mod_baseline_SOC_g_kg,mod_crop_variety,mod_residue_pct,mod_NPK_pct_of_recommended,mod_soil_organic_matter_pct,mod_planting_season,mod_tillage_type,mod_cover_crop_species,mod_insect_exclusion,mod_study_duration_years_under_notill,mod_elevation_masl,mod_seasonal_rainfall_mm,mod_plant_population
AbbasAkbarnia_2014_Study_of_fuel_consumption_in,Crop grain yield,t/ha,table,Table 2,6.33,8.07,-21.561338289962826,3.0,3.0,MSE,0.07125,,,,,,,"No-tillage using direct drill planter (Ozdoken Model 2007), working depth 20 cm, no soil disturbance","Maximum (conventional) tillage: moldboard plow + tandem disk harrow (3 stages) + leveler + seed planter, working depth 30 cm",high,"Yield significantly different between tillage systems (ANOVA F=9.60, p<0.05). Duncan's test groups max. tillage in class 1 and no-tillage in class 2, confirming significant difference. MSE=0.07125 computed from ANOVA error SS=0.285 with df=4 (pooled across all 3 tillage systems). Pooled SD=sqrt(MSE)=0.267 t/ha. Farm previously used for corn, causing soil compaction and hard pan which authors note negatively affected no-till planter performance. Paper primarily focused on fuel consumption, yield is secondary outcome.",Study of fuel consumption in three tillage methods,"Akbarnia A., Farhani F.",2014,Research in Agricultural Engineering,,wheat,semi-arid,"Shahryar, Tehran, Iran",,rainfed,retained (trash remained on surface for no-till),,,,corn,13.0,<0.05,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,grain yield,gm/m2,table,Table 11,12.09,9.07,33.29658213891951,3.0,3.0,,,,,,,,,"Zero tillage, 29.4 cm row spacing, 100 kg/ha seeding rate","Conventional tillage, 29.4 cm row spacing, 100 kg/ha seeding rate",high,Smallest ZT advantage at widest spacing + high seeding rate. Duncan letters overlap suggesting non-significant difference. Multiply gm/m2 by 10 for kg/ha.,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,bread wheat (Triticum aestivum cv. Cham-6),semi-arid,"Telkief, Ninevah province","clay loam (35% clay, 31% silt, 33% sand)",rainfed,,,1,,,,,"ZT=cde, CT=def (Duncan grouping, letters overlap = not significant at p<0.05)",183.5,Iraq,29.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,straw yield,gm/m2,table,Table 12,116.37,62.47,86.28141507923804,3.0,3.0,,,,,,,,,"Zero tillage, 14.7 cm row spacing, 80 kg/ha seeding rate","Conventional tillage, 14.7 cm row spacing, 80 kg/ha seeding rate",high,Straw yield. Multiply gm/m2 by 10 for kg/ha. No SE/SD reported.,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,bread wheat (Triticum aestivum cv. Cham-6),semi-arid,"Telkief, Ninevah province","clay loam (35% clay, 31% silt, 33% sand)",rainfed,,,1,,,,,"ZT=b, CT=cd (Duncan grouping, different letters = significant at p<0.05)",183.5,Iraq,14.7,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,straw yield,gm/m2,table,Table 12,60.47,43.09,40.33418426549082,3.0,3.0,,,,,,,,,"Zero tillage, 14.7+29.4 cm row spacing, 80 kg/ha seeding rate","Conventional tillage, 14.7+29.4 cm row spacing, 80 kg/ha seeding rate",high,Straw yield. Duncan letters overlap (cd vs d). Multiply gm/m2 by 10 for kg/ha.,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,bread wheat (Triticum aestivum cv. Cham-6),semi-arid,"Telkief, Ninevah province","clay loam (35% clay, 31% silt, 33% sand)",rainfed,,,1,,,,,"ZT=cd, CT=d (Duncan grouping, letters overlap = not significant at p<0.05)",183.5,Iraq,14.7+29.4 (alternating),80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,straw yield,gm/m2,table,Table 12,89.16,45.92,94.16376306620208,3.0,3.0,,,,,,,,,"Zero tillage, 14.7+29.4 cm row spacing, 100 kg/ha seeding rate","Conventional tillage, 14.7+29.4 cm row spacing, 100 kg/ha seeding rate",high,Straw yield. Multiply gm/m2 by 10 for kg/ha.,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,bread wheat (Triticum aestivum cv. Cham-6),semi-arid,"Telkief, Ninevah province","clay loam (35% clay, 31% silt, 33% sand)",rainfed,,,1,,,,,"ZT=c, CT=d (Duncan grouping, different letters = significant at p<0.05)",183.5,Iraq,14.7+29.4 (alternating),100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,straw yield,gm/m2,table,Table 12,47.52,36.01,31.963343515690102,3.0,3.0,,,,,,,,,"Zero tillage, 29.4 cm row spacing, 80 kg/ha seeding rate","Conventional tillage, 29.4 cm row spacing, 80 kg/ha seeding rate",high,Straw yield. Not significantly different by Duncan test. Multiply gm/m2 by 10 for kg/ha.,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,bread wheat (Triticum aestivum cv. Cham-6),semi-arid,"Telkief, Ninevah province","clay loam (35% clay, 31% silt, 33% sand)",rainfed,,,1,,,,,"ZT=d, CT=d (Duncan grouping, same letter = not significant at p<0.05)",183.5,Iraq,29.4,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,straw yield,gm/m2,table,Table 12,41.17,39.4,4.492385786802038,3.0,3.0,,,,,,,,,"Zero tillage, 29.4 cm row spacing, 100 kg/ha seeding rate","Conventional tillage, 29.4 cm row spacing, 100 kg/ha seeding rate",high,Straw yield. Not significantly different by Duncan test. Smallest ZT effect. Multiply gm/m2 by 10 for kg/ha.,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,bread wheat (Triticum aestivum cv. Cham-6),semi-arid,"Telkief, Ninevah province","clay loam (35% clay, 31% silt, 33% sand)",rainfed,,,1,,,,,"ZT=d, CT=d (Duncan grouping, same letter = not significant at p<0.05)",183.5,Iraq,29.4,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdamaOuattara_2021_Effects_of_Direct_Sowing_under,Maize grain yield,kg/ha,table,Table 1,1938.0,2368.0,-18.158783783783782,4.0,4.0,SD,,305.0,448.0,,,305.0,448.0,"Direct Seeding (no cover crop, no tillage)",Conventional Tillage (annual ploughing),high,"Year 2010. Overall F-test p=0.897, all treatments ns. SD calculated with R per Methods section.",Effects of Direct Sowing under Mulch-Based Cropping System (DMC) on Cotton and Maize Yield and Chemical Characteristics of Ferruginous Soil (Lixisoil) in the South Sudan Area of Burkina Faso,"Ouattara, A., Koulibaly, B., Dakuo, D., Coulibaly, K., Bazongo, P., Traore, O. and Nacro, H.B.",2021,Open Journal of Soil Science,10.4236/ojss.2021.116018,maize,tropical,"South Sudan area, Burkina Faso",lixisol (sandy 0-40cm),rainfed,retained,maize-cotton biennial rotation,1,,,,0.897 (ns),ns,744-1308,Burkina Faso,,,74.0,none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdamaOuattara_2021_Effects_of_Direct_Sowing_under,Maize grain yield,kg/ha,table,Table 1,2120.0,2368.0,-10.472972972972974,4.0,4.0,SD,,205.0,448.0,,,205.0,448.0,DMC/B. ruziziensis mulch (no-till with B. ruziziensis cover crop),Conventional Tillage (annual ploughing),high,Year 2010. DMC1 treatment.,Effects of Direct Sowing under Mulch-Based Cropping System (DMC) on Cotton and Maize Yield and Chemical Characteristics of Ferruginous Soil (Lixisoil) in the South Sudan Area of Burkina Faso,"Ouattara, A., Koulibaly, B., Dakuo, D., Coulibaly, K., Bazongo, P., Traore, O. and Nacro, H.B.",2021,Open Journal of Soil Science,10.4236/ojss.2021.116018,maize,tropical,"South Sudan area, Burkina Faso",lixisol (sandy 0-40cm),rainfed,retained,maize-cotton biennial rotation with B. ruziziensis,1,,,,0.897 (ns),ns,744-1308,Burkina Faso,,,74.0,B. ruziziensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdamaOuattara_2021_Effects_of_Direct_Sowing_under,Maize grain yield,kg/ha,table,Table 1,2071.0,2368.0,-12.542229729729728,4.0,4.0,SD,,346.0,448.0,,,346.0,448.0,DMC/B. ruziziensis + M. cochinchinensis mulch (no-till with mixed cover crops),Conventional Tillage (annual ploughing),high,Year 2010. DMC2 treatment.,Effects of Direct Sowing under Mulch-Based Cropping System (DMC) on Cotton and Maize Yield and Chemical Characteristics of Ferruginous Soil (Lixisoil) in the South Sudan Area of Burkina Faso,"Ouattara, A., Koulibaly, B., Dakuo, D., Coulibaly, K., Bazongo, P., Traore, O. and Nacro, H.B.",2021,Open Journal of Soil Science,10.4236/ojss.2021.116018,maize,tropical,"South Sudan area, Burkina Faso",lixisol (sandy 0-40cm),rainfed,retained,maize-cotton biennial rotation with B. ruziziensis + M. cochinchinensis,1,,,,0.897 (ns),ns,744-1308,Burkina Faso,,,74.0,B. ruziziensis + M. cochinchinensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
