paper_id,outcome,outcome_unit,source_type,table_or_figure,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,variance_treatment,variance_control,se_treatment,se_control,sd_treatment,sd_control,treatment_description,control_description,confidence,notes,title,authors,year,journal,doi,mod_crop_type,mod_crop_species,mod_region,mod_climate_zone,mod_study_duration,mod_organic_certification_status,mod_experiment_type,mod_irrigation,mod_soil_type,mod_original_source,p_value,significance,mod_study_duration_years,mod_cropping_system,mod_variety,mod_year_of_harvest,mod_locations,mod_design,mod_rice_cultivars,mod_wheat_cultivars,mod_country,mod_year_of_observation,mod_data_source,mod_system_comparison,mod_metric,mod_OA_area_ha,mod_CA_area_ha,mod_total_regions,mod_OA_CA_ratio,mod_control_crop_species,mod_N_input_treatment_kg_ha,mod_N_input_control_kg_ha,mod_same_crop,mod_wheat_cultivar,mod_tillage_treatment,mod_org_product_type,mod_conv_product_type,mod_org_years_grown,mod_conv_years_grown,mod_replicates_per_year,mod_cycle,mod_organic_certification,mod_cultivar,mod_companion_crop,mod_location,mod_experimental_design,mod_plot_size_m2,mod_plant_population_maize,mod_plant_population_bean,mod_years_since_conversion,mod_site,mod_fertilization_intensity,mod_cross,mod_subpopulation,mod_cultivation_site,mod_station,mod_region_country,mod_number_of_localities,mod_fertilizer_type,mod_study_phase,mod_system_type,mod_planting_density,mod_shade_canopy_pct,mod_crop_role,mod_study_period,mod_analysis,mod_comparison_type,mod_n_organic_sites,mod_n_conv_sites,mod_note,mod_altitude_m,mod_precipitation_mm,mod_evapotranspiration_mm,mod_study_duration_years_organic,mod_study_duration_years_conv,mod_organic_period,mod_conv_period,mod_study_duration_days,mod_amendment_rate_t_ha,mod_amendment_source,mod_organic_area_share_pct,mod_yield_modifier,mod_farm_type,mod_soil_quality_SQR,mod_cropland_pct,mod_cereals_pct_cropland,mod_livestock_density_LU_ha,mod_grass_clover_pct_cropland,mod_cultivar_type,mod_plant_density,mod_elevation_m,mod_year,mod_rotation,mod_green_manure_for_organic,mod_hybrid_note,mod_green_manure_N_kg_ha,mod_experiment_name,mod_milling_fraction,mod_row_width_cm,mod_N_fertilizer_kg_ha,mod_harvest_product,mod_tillage_system,mod_tillage_depth,mod_green_manure_treatment,mod_elevation,mod_pH,mod_Corg,mod_harvest_year,mod_soil_pH,mod_organic_N_level_pct,mod_years,mod_cultivar_class,mod_rotation_established,mod_conventional_intensity,mod_conventional_N_rate_kg_ha,mod_organic_preceding_crop,mod_conventional_preceding_crop,mod_vermicompost_type,mod_application_rate_t_ha,mod_cropping_sequence,mod_effect_type,mod_NPK_dose_kg_ha,mod_organic_amendment,mod_season,mod_basal_NPK_applied,mod_region_or_country,mod_original_study,mod_oxygenation_method,mod_organic_input_count,mod_organic_inputs
AmitaParmar_2026_Performance_of_organic_and_natural,Okra fruit yield per hectare,t/ha,table,Table 3,60.58,54.96,10.225618631732164,,,SE,3.32,3.32,3.32,3.32,3.32,,,"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),high,S.Em. is pooled standard error of treatment means from ANOVA (applies equally to all treatments). No replication number (n) explicitly stated. Large Plot Technique used. CD = NS for fruit yield per hectare. CV% = 11.40.,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,vegetable,okra (Abelmoschus esculentus),"Anand, Gujarat, India",subtropical,,organic-principles,field trial (Large Plot Technique),,,,NS,ns,1.0,intercropping (okra + cowpea 2:1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmitaParmar_2026_Performance_of_organic_and_natural,Okra fruit yield per plant,kg,table,Table 3,1.09,0.97,12.371134020618568,,,SE,0.06,0.06,0.06,0.06,0.06,,,"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),high,S.Em. is pooled standard error from ANOVA. CV% = 11.77.,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,vegetable,okra (Abelmoschus esculentus),"Anand, Gujarat, India",subtropical,,organic-principles,field trial (Large Plot Technique),,,,NS,ns,1.0,intercropping (okra + cowpea 2:1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmitaParmar_2026_Performance_of_organic_and_natural,Cowpea pod yield per hectare,t/ha,table,Table 4,31.42,28.02,12.134189864382591,,,SE,1.91,1.91,1.91,1.91,1.91,,,"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),high,S.Em. is pooled standard error from ANOVA. CV% = 12.88.,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,legume,cowpea (Vigna unguiculata),"Anand, Gujarat, India",subtropical,,organic-principles,field trial (Large Plot Technique),,,,NS,ns,1.0,intercropping (okra + cowpea 2:1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AmitaParmar_2026_Performance_of_organic_and_natural,Cowpea pod yield per plant,g,table,Table 4,792.5,668.5,18.54899027673897,,,SE,44.42,44.42,44.42,44.42,44.42,,,"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),high,S.Em. is pooled standard error from ANOVA. CV% = 12.35.,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,legume,cowpea (Vigna unguiculata),"Anand, Gujarat, India",subtropical,,organic-principles,field trial (Large Plot Technique),,,,NS,ns,1.0,intercropping (okra + cowpea 2:1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 3,29.4,26.9,9.29368029739777,,,,,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,"CD(0.05) for production systems = NS in 2011. Pooled across 3 varieties. n per treatment not explicitly stated; split plot design likely 3 reps, so n=9 (3 varieties x 3 reps) per production system mean.","Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,ns,ns,1.0,,"pooled (H-165, Sree Vijaya, Vellayani Hraswa)",2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 3,27.2,26.9,1.115241635687735,,,,,,,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum 3 kg/ha, phosphobacteria 3 kg/ha, K solubilizer 3 kg/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Organic with biofertilizers treatment. CD(0.05) for production systems = NS in 2011. Pooled across 3 varieties.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,ns,ns,1.0,,"pooled (H-165, Sree Vijaya, Vellayani Hraswa)",2011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 3,29.24,27.45,6.520947176684879,,,LSD,3.985,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,CD(0.05) = 3.985 t/ha for production systems in 2012 (significant). Organic on par with conventional per text. Pooled across 3 varieties. Abstract states 8% yield enhancement.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,"pooled (H-165, Sree Vijaya, Vellayani Hraswa)",2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 3,25.45,27.45,-7.285974499089254,,,LSD,3.985,,,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Organic with biofertilizers treatment. CD(0.05) = 3.985 t/ha for production systems in 2012. This organic treatment yielded less than conventional.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,"pooled (H-165, Sree Vijaya, Vellayani Hraswa)",2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 4,28.06,19.03,47.45139253809773,,,LSD,12.547,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Variety x production system interaction data (2012). CD(0.05) = 12.547 for interaction. H-165 is an industrial variety. Large organic advantage for this variety.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,H-165,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,Tuber yield,t ha-1,table,Table 4,34.96,37.68,-7.2186836518046675,,,LSD,12.547,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,Variety x production system interaction (2012). Sree Vijaya yielded higher under conventional than organic. Text says varieties on par under both systems.,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,root/tuber,cassava (Manihot esculenta),"Thiruvananthapuram, Kerala, India",tropical (humid),,organic-principles,field trial (split plot design),,acidic (pH 4.78),,,,2.0,,Sree Vijaya,2012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
