row_id,topic,paper_id,title,authors,year,journal,doi,outcome,outcome_unit,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,sd_treatment,sd_control,se_treatment,se_control,treatment_description,control_description,confidence,source_type,table_or_figure,notes,moderators
notill_tillage::AbbasAkbarnia_2014_Study_of_fuel_consumption_in::0,notill_tillage,AbbasAkbarnia_2014_Study_of_fuel_consumption_in,Study of fuel consumption in three tillage methods,"Akbarnia A., Farhani F.",2014,Research in Agricultural Engineering,,Crop grain yield,t/ha,6.33,8.07,-21.56,3.0,3.0,MSE,0.07125,,,,,"No-tillage using direct drill planter (Ozdoken Model 2007), working depth 20 cm, no soil disturbance","Maximum (conventional) tillage: moldboard plow + tandem disk harrow (3 stages) + leveler + seed planter, working depth 30 cm",high,table,Table 2,"Yield significantly different between tillage systems (ANOVA F=9.60, p<0.05). Duncan's test groups max. tillage in class 1 and no-tillage in class 2, confirming significant difference. MSE=0.07125 computed from ANOVA error SS=0.285 with df=4 (pooled across all 3 tillage systems). Pooled SD=sqrt(MSE)=0.267 t/ha. Farm previously used for corn, causing soil compaction and hard pan which authors note negatively affected no-till planter performance. Paper primarily focused on fuel consumption, yield is secondary outcome.","{'mod_crop_species': 'wheat', 'mod_climate': 'semi-arid', 'mod_region': 'Shahryar, Tehran, Iran', 'mod_irrigation': 'rainfed', 'mod_residue_management': 'retained (trash remained on surface for no-till)', 'mod_previous_crop': 'corn', 'mod_soil_moisture_pct': 13.0}"
notill_tillage::AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system::1,notill_tillage,AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,grain yield,gm/m2,32.31,13.19,144.9,3.0,3.0,,,,,,,"Zero tillage, 14.7 cm row spacing, 80 kg/ha seeding rate","Conventional tillage, 14.7 cm row spacing, 80 kg/ha seeding rate",high,table,Table 11,Very drought season (183.5mm). Grain yield reported as gm/m2; multiply by 10 for kg/ha. Duncan multiple range test used; no SE/SD reported. ZT dramatically outperformed CT under drought.,"{'mod_crop_species': 'bread wheat (Triticum aestivum cv. Cham-6)', 'mod_climate': 'semi-arid', 'mod_region': 'Telkief, Ninevah province', 'mod_soil_type': 'clay loam (35% clay, 31% silt, 33% sand)', 'mod_irrigation': 'rainfed', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '183.5', 'mod_country': 'Iraq', 'mod_row_spacing_cm': '14.7', 'mod_seeding_rate_kg_ha': 80.0}"
notill_tillage::AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system::2,notill_tillage,AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,grain yield,gm/m2,50.13,7.07,609.1,3.0,3.0,,,,,,,"Zero tillage, 14.7 cm row spacing, 100 kg/ha seeding rate","Conventional tillage, 14.7 cm row spacing, 100 kg/ha seeding rate",high,table,Table 11,Highest grain yield in the entire experiment (ZT × 14.7cm × 100 kg/ha). Triple interaction was highly significant. Multiply gm/m2 by 10 for kg/ha.,"{'mod_crop_species': 'bread wheat (Triticum aestivum cv. Cham-6)', 'mod_climate': 'semi-arid', 'mod_region': 'Telkief, Ninevah province', 'mod_soil_type': 'clay loam (35% clay, 31% silt, 33% sand)', 'mod_irrigation': 'rainfed', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '183.5', 'mod_country': 'Iraq', 'mod_row_spacing_cm': '14.7', 'mod_seeding_rate_kg_ha': 100.0}"
notill_tillage::AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system::3,notill_tillage,AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,grain yield,gm/m2,18.36,6.23,194.7,3.0,3.0,,,,,,,"Zero tillage, 14.7+29.4 cm row spacing, 80 kg/ha seeding rate","Conventional tillage, 14.7+29.4 cm row spacing, 80 kg/ha seeding rate",high,table,Table 11,Alternating row spacing pattern (14.7+29.4 cm). Multiply gm/m2 by 10 for kg/ha.,"{'mod_crop_species': 'bread wheat (Triticum aestivum cv. Cham-6)', 'mod_climate': 'semi-arid', 'mod_region': 'Telkief, Ninevah province', 'mod_soil_type': 'clay loam (35% clay, 31% silt, 33% sand)', 'mod_irrigation': 'rainfed', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '183.5', 'mod_country': 'Iraq', 'mod_row_spacing_cm': '14.7+29.4 (alternating)', 'mod_seeding_rate_kg_ha': 80.0}"
notill_tillage::AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system::4,notill_tillage,AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,grain yield,gm/m2,27.63,7.55,265.8,3.0,3.0,,,,,,,"Zero tillage, 14.7+29.4 cm row spacing, 100 kg/ha seeding rate","Conventional tillage, 14.7+29.4 cm row spacing, 100 kg/ha seeding rate",high,table,Table 11,Alternating row spacing pattern (14.7+29.4 cm). Multiply gm/m2 by 10 for kg/ha.,"{'mod_crop_species': 'bread wheat (Triticum aestivum cv. Cham-6)', 'mod_climate': 'semi-arid', 'mod_region': 'Telkief, Ninevah province', 'mod_soil_type': 'clay loam (35% clay, 31% silt, 33% sand)', 'mod_irrigation': 'rainfed', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '183.5', 'mod_country': 'Iraq', 'mod_row_spacing_cm': '14.7+29.4 (alternating)', 'mod_seeding_rate_kg_ha': 100.0}"
notill_tillage::AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system::5,notill_tillage,AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,grain yield,gm/m2,15.58,4.68,232.9,3.0,3.0,,,,,,,"Zero tillage, 29.4 cm row spacing, 80 kg/ha seeding rate","Conventional tillage, 29.4 cm row spacing, 80 kg/ha seeding rate",high,table,Table 11,Widest row spacing. Multiply gm/m2 by 10 for kg/ha.,"{'mod_crop_species': 'bread wheat (Triticum aestivum cv. Cham-6)', 'mod_climate': 'semi-arid', 'mod_region': 'Telkief, Ninevah province', 'mod_soil_type': 'clay loam (35% clay, 31% silt, 33% sand)', 'mod_irrigation': 'rainfed', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '183.5', 'mod_country': 'Iraq', 'mod_row_spacing_cm': '29.4', 'mod_seeding_rate_kg_ha': 80.0}"
notill_tillage::AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system::6,notill_tillage,AbdulsattarAlrijabo_2014_Effect_of_zero_tillage_system,"Effect of zero tillage system, seeding rate and row spacing on growth, yield and its components of bread wheat in moderate rainfall area in ninevah province","Abdulsattar A. Alrijabo, Saad A. Asmair, Hisham Abdulrahman Ahmed",2014,Journal of Kirkuk University for Agricultural Sciences,,grain yield,gm/m2,12.09,9.07,33.3,3.0,3.0,,,,,,,"Zero tillage, 29.4 cm row spacing, 100 kg/ha seeding rate","Conventional tillage, 29.4 cm row spacing, 100 kg/ha seeding rate",high,table,Table 11,Smallest ZT advantage at widest spacing + high seeding rate. Duncan letters overlap suggesting non-significant difference. Multiply gm/m2 by 10 for kg/ha.,"{'mod_crop_species': 'bread wheat (Triticum aestivum cv. Cham-6)', 'mod_climate': 'semi-arid', 'mod_region': 'Telkief, Ninevah province', 'mod_soil_type': 'clay loam (35% clay, 31% silt, 33% sand)', 'mod_irrigation': 'rainfed', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '183.5', 'mod_country': 'Iraq', 'mod_row_spacing_cm': '29.4', 'mod_seeding_rate_kg_ha': 100.0}"
notill_tillage::AdamaOuattara_2021_Effects_of_Direct_Sowing_under::13,notill_tillage,AdamaOuattara_2021_Effects_of_Direct_Sowing_under,Effects of Direct Sowing under Mulch-Based Cropping System (DMC) on Cotton and Maize Yield and Chemical Characteristics of Ferruginous Soil (Lixisoil) in the South Sudan Area of Burkina Faso,"Ouattara, A., Koulibaly, B., Dakuo, D., Coulibaly, K., Bazongo, P., Traore, O. and Nacro, H.B.",2021,Open Journal of Soil Science,10.4236/ojss.2021.116018,Maize grain yield,kg/ha,1938.0,2368.0,-18.16,4.0,4.0,SD,,305.0,448.0,,,"Direct Seeding (no cover crop, no tillage)",Conventional Tillage (annual ploughing),high,table,Table 1,"Year 2010. Overall F-test p=0.897, all treatments ns. SD calculated with R per Methods section.","{'mod_crop_species': 'maize', 'mod_climate': 'tropical', 'mod_region': 'South Sudan area, Burkina Faso', 'mod_soil_type': 'lixisol (sandy 0-40cm)', 'mod_irrigation': 'rainfed', 'mod_residue_management': 'retained', 'mod_crop_rotation': 'maize-cotton biennial rotation', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '744-1308', 'mod_country': 'Burkina Faso', 'mod_n_fertilizer_kg_ha': 74.0, 'mod_cover_crop': 'none'}"
notill_tillage::AdamaOuattara_2021_Effects_of_Direct_Sowing_under::14,notill_tillage,AdamaOuattara_2021_Effects_of_Direct_Sowing_under,Effects of Direct Sowing under Mulch-Based Cropping System (DMC) on Cotton and Maize Yield and Chemical Characteristics of Ferruginous Soil (Lixisoil) in the South Sudan Area of Burkina Faso,"Ouattara, A., Koulibaly, B., Dakuo, D., Coulibaly, K., Bazongo, P., Traore, O. and Nacro, H.B.",2021,Open Journal of Soil Science,10.4236/ojss.2021.116018,Maize grain yield,kg/ha,2120.0,2368.0,-10.47,4.0,4.0,SD,,205.0,448.0,,,DMC/B. ruziziensis mulch (no-till with B. ruziziensis cover crop),Conventional Tillage (annual ploughing),high,table,Table 1,Year 2010. DMC1 treatment.,"{'mod_crop_species': 'maize', 'mod_climate': 'tropical', 'mod_region': 'South Sudan area, Burkina Faso', 'mod_soil_type': 'lixisol (sandy 0-40cm)', 'mod_irrigation': 'rainfed', 'mod_residue_management': 'retained', 'mod_crop_rotation': 'maize-cotton biennial rotation with B. ruziziensis', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '744-1308', 'mod_country': 'Burkina Faso', 'mod_n_fertilizer_kg_ha': 74.0, 'mod_cover_crop': 'B. ruziziensis'}"
notill_tillage::AdamaOuattara_2021_Effects_of_Direct_Sowing_under::15,notill_tillage,AdamaOuattara_2021_Effects_of_Direct_Sowing_under,Effects of Direct Sowing under Mulch-Based Cropping System (DMC) on Cotton and Maize Yield and Chemical Characteristics of Ferruginous Soil (Lixisoil) in the South Sudan Area of Burkina Faso,"Ouattara, A., Koulibaly, B., Dakuo, D., Coulibaly, K., Bazongo, P., Traore, O. and Nacro, H.B.",2021,Open Journal of Soil Science,10.4236/ojss.2021.116018,Maize grain yield,kg/ha,2071.0,2368.0,-12.54,4.0,4.0,SD,,346.0,448.0,,,DMC/B. ruziziensis + M. cochinchinensis mulch (no-till with mixed cover crops),Conventional Tillage (annual ploughing),high,table,Table 1,Year 2010. DMC2 treatment.,"{'mod_crop_species': 'maize', 'mod_climate': 'tropical', 'mod_region': 'South Sudan area, Burkina Faso', 'mod_soil_type': 'lixisol (sandy 0-40cm)', 'mod_irrigation': 'rainfed', 'mod_residue_management': 'retained', 'mod_crop_rotation': 'maize-cotton biennial rotation with B. ruziziensis + M. cochinchinensis', 'mod_study_duration_years': '1', 'mod_precipitation_mm': '744-1308', 'mod_country': 'Burkina Faso', 'mod_n_fertilizer_kg_ha': 74.0, 'mod_cover_crop': 'B. ruziziensis + M. cochinchinensis'}"
