row_id,topic,paper_id,title,authors,year,journal,doi,outcome,outcome_unit,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,sd_treatment,sd_control,se_treatment,se_control,treatment_description,control_description,confidence,source_type,table_or_figure,notes,moderators
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::6,organic_yield_gap,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,Okra fruit yield per hectare,t/ha,54.96,60.58,-9.28,,,SE,3.32,,,3.32,3.32,Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",high,table,Table 3,S.Em. is pooled standard error of treatment means from ANOVA (applies equally to all treatments). No replication number (n) explicitly stated. Large Plot Technique used. CD = NS for fruit yield per hectare. CV% = 11.40.,"{'mod_crop_type': 'vegetable', 'mod_crop_species': 'okra (Abelmoschus esculentus)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::7,organic_yield_gap,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,Okra fruit yield per plant,kg,0.97,1.09,-11.01,,,SE,0.06,,,0.06,0.06,Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",high,table,Table 3,S.Em. is pooled standard error from ANOVA. CV% = 11.77.,"{'mod_crop_type': 'vegetable', 'mod_crop_species': 'okra (Abelmoschus esculentus)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::8,organic_yield_gap,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,Cowpea pod yield per hectare,t/ha,28.02,31.42,-10.82,,,SE,1.91,,,1.91,1.91,Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",high,table,Table 4,S.Em. is pooled standard error from ANOVA. CV% = 12.88.,"{'mod_crop_type': 'legume', 'mod_crop_species': 'cowpea (Vigna unguiculata)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::9,organic_yield_gap,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,Cowpea pod yield per plant,g,668.5,792.5,-15.65,,,SE,44.42,,,44.42,44.42,Module-II: Organic Farming (50% RDN vermicompost + 50% RDN FYM + Bio NPK + Trichoderma + biological plant protection),"Module-III: Conventional Farming (FYM 10 t/ha + RDF + recommended fungicides, insecticides, herbicides)",high,table,Table 4,S.Em. is pooled standard error from ANOVA. CV% = 12.35.,"{'mod_crop_type': 'legume', 'mod_crop_species': 'cowpea (Vigna unguiculata)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::11,organic_yield_gap,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,Okra number of fruits per plant,count,15.65,16.05,-2.49,,,SE,0.5,,,0.5,0.5,Module-II: Organic Farming,Module-III: Conventional Farming,high,table,Table 3,"Yield attribute, not direct yield. CV% = 6.16.","{'mod_crop_type': 'vegetable', 'mod_crop_species': 'okra (Abelmoschus esculentus)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AmitaParmar_2026_Performance_of_organic_and_natural::12,organic_yield_gap,AmitaParmar_2026_Performance_of_organic_and_natural,"Performance of organic and natural farming in okra-cowpea intercropping: Productivity, profitability and sustainability","Amita Parmar, NI Shah, CH Raval",2026,International Journal of Advanced Biochemistry Research,10.33545/26174693.2026.v10.i1So.7244,Cowpea number of pods per plant,count,28.15,29.65,-5.06,,,SE,0.95,,,0.95,0.95,Module-II: Organic Farming,Module-III: Conventional Farming,high,table,Table 4,"Yield attribute, not direct yield. CV% = 6.39.","{'mod_crop_type': 'legume', 'mod_crop_species': 'cowpea (Vigna unguiculata)', 'mod_region': 'Anand, Gujarat, India', 'mod_climate_zone': 'subtropical', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (Large Plot Technique)', 'mod_study_duration_years': 1.0, 'mod_cropping_system': 'intercropping (okra + cowpea 2:1)'}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::13,organic_yield_gap,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,Tuber yield,t ha-1,29.4,26.9,9.29,,,,,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Table 3,"CD(0.05) for production systems = NS in 2011. Pooled across 3 varieties. n per treatment not explicitly stated; split plot design likely 3 reps, so n=9 (3 varieties x 3 reps) per production system mean.","{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 1.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2011.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::14,organic_yield_gap,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,Tuber yield,t ha-1,27.2,26.9,1.12,,,,,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum 3 kg/ha, phosphobacteria 3 kg/ha, K solubilizer 3 kg/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Table 3,Organic with biofertilizers treatment. CD(0.05) for production systems = NS in 2011. Pooled across 3 varieties.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 1.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2011.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::15,organic_yield_gap,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,Tuber yield,t ha-1,29.24,27.45,6.52,,,LSD,3.985,,,,,"Organic: FYM 12.5 t/ha, in situ green manuring, crop residue incorporation, ash 2 t/ha",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Table 3,CD(0.05) = 3.985 t/ha for production systems in 2012 (significant). Organic on par with conventional per text. Pooled across 3 varieties. Abstract states 8% yield enhancement.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2012.0}"
organic_yield_gap::AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in::16,organic_yield_gap,AnithaRadhakrishnan_2013_Organic_vs_Conventional_Management_in,"Organic vs Conventional Management in Cassava: Growth Dynamics, Yield and Soil Properties","A.R. Seena Radhakrishnan, G. Suja and Anish T. Anil",2013,Journal of Root Crops,,Tuber yield,t ha-1,25.45,27.45,-7.29,,,LSD,3.985,,,,,"Organic (with biofertilizers): FYM 12.5 t/ha, in situ green manuring, crop residue, Azospirillum, phosphobacteria, K solubilizer",Conventional: FYM 12.5 t/ha and NPK 100:50:100 kg/ha,high,table,Table 3,Organic with biofertilizers treatment. CD(0.05) = 3.985 t/ha for production systems in 2012. This organic treatment yielded less than conventional.,"{'mod_crop_type': 'root/tuber', 'mod_crop_species': 'cassava (Manihot esculenta)', 'mod_region': 'Thiruvananthapuram, Kerala, India', 'mod_climate_zone': 'tropical (humid)', 'mod_organic_certification_status': 'organic-principles', 'mod_experiment_type': 'field trial (split plot design)', 'mod_soil_type': 'acidic (pH 4.78)', 'mod_study_duration_years': 2.0, 'mod_variety': 'pooled (H-165, Sree Vijaya, Vellayani Hraswa)', 'mod_year_of_harvest': 2012.0}"
