row_id,topic,paper_id,title,authors,year,journal,doi,outcome,outcome_unit,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,sd_treatment,sd_control,se_treatment,se_control,treatment_description,control_description,confidence,source_type,table_or_figure,notes,moderators
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::0,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,6.09,6.17,-1.3,3,3.0,SD,,0.03,0.2,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, no nitrogen (NN, 0 kg N/ha)","Monoculture maize (MM), no nitrogen (NN, 0 kg N/ha)",high,table,Table 2,NN = no nitrogen treatment. Plant density per unit area equal for intercropping and monoculture.,"{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 0.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2012'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::1,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,6.79,6.91,-1.74,3,3.0,SD,,0.02,0.2,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, reduced nitrogen (RN, 180 kg N/ha)","Monoculture maize (MM), reduced nitrogen (RN, 180 kg N/ha)",high,table,Table 2,"RN = reduced nitrogen, 180 kg N/ha total.","{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 180.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2012'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::2,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,6.35,7.19,-11.68,3,3.0,SD,,0.01,0.15,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, conventional nitrogen (CN, 240 kg N/ha)","Monoculture maize (MM), conventional nitrogen (CN, 240 kg N/ha)",high,table,Table 2,"CN = conventional nitrogen, 240 kg N/ha total.","{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 240.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2012'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::3,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,5.63,6.29,-10.49,3,3.0,SD,,0.62,0.42,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, no nitrogen (NN, 0 kg N/ha)","Monoculture maize (MM), no nitrogen (NN, 0 kg N/ha)",high,table,Table 2,NN = no nitrogen treatment.,"{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 0.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2013'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::4,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,8.64,7.9,9.37,3,3.0,SD,,0.21,0.4,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, reduced nitrogen (RN, 180 kg N/ha)","Monoculture maize (MM), reduced nitrogen (RN, 180 kg N/ha)",high,table,Table 2,"RN = reduced nitrogen, 180 kg N/ha total.","{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 180.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2013'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::5,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,7.84,8.1,-3.21,3,3.0,SD,,0.18,1.07,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, conventional nitrogen (CN, 240 kg N/ha)","Monoculture maize (MM), conventional nitrogen (CN, 240 kg N/ha)",high,table,Table 2,"CN = conventional nitrogen, 240 kg N/ha total.","{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 240.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2013'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::6,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,5.78,5.6,3.21,3,3.0,SD,,0.45,0.35,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, no nitrogen (NN, 0 kg N/ha)","Monoculture maize (MM), no nitrogen (NN, 0 kg N/ha)",high,table,Table 2,NN = no nitrogen treatment.,"{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 0.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2014'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::7,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,8.01,8.01,0.0,3,3.0,SD,,0.24,0.32,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, reduced nitrogen (RN, 180 kg N/ha)","Monoculture maize (MM), reduced nitrogen (RN, 180 kg N/ha)",high,table,Table 2,"RN = reduced nitrogen, 180 kg N/ha total. Identical means for IM and MM.","{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 180.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2014'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::8,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Maize grain yield,Mg/ha,7.46,8.57,-12.95,3,3.0,SD,,0.15,0.35,,,"Intercropped maize (IM) in maize-soybean relay strip intercropping, conventional nitrogen (CN, 240 kg N/ha)","Monoculture maize (MM), conventional nitrogen (CN, 240 kg N/ha)",high,table,Table 2,"CN = conventional nitrogen, 240 kg N/ha total.","{'mod_primary_crop': 'maize', 'mod_companion_crop': 'soybean', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 240.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2014'}"
intercropping_yield::Chen_2017_Effects_of_reduced_nitrogen_inputs::9,intercropping_yield,Chen_2017_Effects_of_reduced_nitrogen_inputs,Effects of reduced nitrogen inputs on crop yield and nitrogen use efficiency in a long-term maize-soybean relay strip intercropping system,"Ping Chen, Qing Du, Xiaoming Liu, Li Zhou, Sajad Hussain, Lu Lei, Chun Song, Xiaochun Wang, Weiguo Liu, Feng Yang, Kai Shu, Jiang Liu, Junbo Du, Wenyu Yang, Taiwen Yong",2017,PLoS ONE,10.1371/journal.pone.0184503,Soybean grain yield,Mg/ha,1.57,1.55,1.29,3,3.0,SD,,0.03,0.05,,,"Intercropped soybean (IS) in maize-soybean relay strip intercropping, no nitrogen (NN, 0 kg N/ha)","Monoculture soybean (MS), no nitrogen (NN, 0 kg N/ha)",high,table,Table 2,NN = no nitrogen treatment.,"{'mod_primary_crop': 'soybean', 'mod_companion_crop': 'maize', 'mod_intercropping_type': 'relay strip', 'mod_climate_zone': 'subtropical', 'mod_country': 'China', 'mod_region': 'Sichuan Province, Renshou County', 'mod_n_fertilizer_rate_kg_ha': 0.0, 'mod_irrigation': 'rainfed', 'mod_planting_density': '58500 maize/ha, 117000 soybean/ha', 'mod_study_duration_years': 3.0, 'mod_row_arrangement': '2:2 maize:soybean, wide-narrow rows (160cm wide, 40cm narrow)', 'mod_year_of_experiment': '2012'}"
