row_id,topic,paper_id,title,authors,year,journal,doi,outcome,outcome_unit,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,sd_treatment,sd_control,se_treatment,se_control,treatment_description,control_description,confidence,source_type,table_or_figure,notes,moderators
mycorrhiza_yield::Arbuscular_mycorrhiza_enhances_nutrient__2011::24,mycorrhiza_yield,Arbuscular_mycorrhiza_enhances_nutrient__2011,Arbuscular mycorrhiza enhances nutrient uptake in chickpea,"Farzaneh M., Vierheilig H., Lössl A., Kaul H.P.",2011,Plant Soil and Environment,,Total biomass,g/pot,11.92,11.76,1.36,10.0,10.0,SE,,,,0.48,0.64,"AMF inoculation (Symbivit), sterilized soil, 2006","No AMF inoculation, sterilized soil, 2006",high,table,Table 2,"Means and SEM in brackets. n=10 (pooled across N+/N- treatments, 5 reps each). Biomass difference not significant in 2006.","{'mod_crop_species': 'Chickpea (Cicer arietinum)', 'mod_amf_species': 'Symbivit (commercial mixed inoculum)', 'mod_n_fertilization': 'pooled across N+/N- (no significant N effect)', 'mod_study_type': 'pot (fence house)', 'mod_soil_type': 'Chernozem silty loam (1:1 soil:sand)', 'mod_sterilized_soil': 'yes', 'mod_functional_group': 'legume', 'mod_p_availability': 'moderate (106 mg/kg CAL)', 'mod_climate_zone': 'temperate (Vienna, Austria)', 'mod_year': 2006.0}"
mycorrhiza_yield::Arbuscular_mycorrhiza_enhances_nutrient__2011::25,mycorrhiza_yield,Arbuscular_mycorrhiza_enhances_nutrient__2011,Arbuscular mycorrhiza enhances nutrient uptake in chickpea,"Farzaneh M., Vierheilig H., Lössl A., Kaul H.P.",2011,Plant Soil and Environment,,Total biomass,g/pot,11.77,8.25,42.67,10.0,10.0,SE,,,,1.19,1.12,"AMF inoculation (Symbivit), sterilized soil, 2007","No AMF inoculation, sterilized soil, 2007",high,table,Table 2,Means and SEM in brackets. n=10 (pooled across N+/N- treatments). Biomass difference significant in 2007. Text states AMF increased total dry matter significantly in 2007.,"{'mod_crop_species': 'Chickpea (Cicer arietinum)', 'mod_amf_species': 'Symbivit (commercial mixed inoculum)', 'mod_n_fertilization': 'pooled across N+/N- (no significant N effect)', 'mod_study_type': 'pot (fence house)', 'mod_soil_type': 'Chernozem silty loam (1:1 soil:sand)', 'mod_sterilized_soil': 'yes', 'mod_functional_group': 'legume', 'mod_p_availability': 'high (138 mg/kg CAL)', 'mod_climate_zone': 'temperate (Vienna, Austria)', 'mod_year': 2007.0}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::57,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Seed cotton yield,kg/hm2,6759.3,5258.7,28.54,3.0,3.0,SE,,,,60.7,30.0,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,Table 2,Calculated yield = plants per hectare (41667) x mature boll number x single boll weight / 1000. 2-year field experiment. Variance assumed SE based on Table 3 header 'Standard errors' and figure captions 'means ± standard error'. Yield increase 28.54% explicitly stated.,"{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::58,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Single boll weight,g,6.08,5.46,11.36,3.0,3.0,SE,,,,0.29,0.15,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,"Table 2, Row 1",Table 2 Row 1 of single boll weight. Likely Year 1 of 2-year experiment. Variance assumed SE consistent with Table 3 and figure captions.,"{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::59,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Single boll weight,g,6.36,5.86,8.53,3.0,3.0,SE,,,,0.44,0.16,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,"Table 2, Row 2",Table 2 Row 2 of single boll weight. Likely Year 2 of 2-year experiment.,"{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::60,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Single boll weight,g,6.47,5.74,12.72,3.0,3.0,SE,,,,0.62,0.27,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,"Table 2, Row 3",Table 2 Row 3 of single boll weight. Likely 2-year average or pooled value.,"{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::61,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Boll number per plant,count,26.41,23.13,14.18,3.0,3.0,SE,,,,3.16,4.66,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,"Table 2, Row 1","Table 2 Row 1. Boll number per plant, no significance marking in table. Likely Year 1.","{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::62,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Boll number per plant,count,24.84,21.06,17.95,3.0,3.0,SE,,,,3.26,2.26,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,"Table 2, Row 2","Table 2 Row 2. Boll number per plant, no significance marking. Likely Year 2.","{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::63,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Boll number per plant,count,25.99,22.39,16.08,3.0,3.0,SE,,,,3.27,4.03,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,"Table 2, Row 3","Table 2 Row 3. Boll number per plant, no significance marking. Likely 2-year average.","{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::64,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Micronaire value (MV),dimensionless,4.38,4.9667,-11.81,3.0,3.0,SE,,,,0.1225,0.2503,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,Table 3,"Table 3 column explicitly labeled 'Standard errors'. MV -AMF labeled 'a', +AMF labeled 'b' (significantly different). Lower MV in +AMF indicates better maturity (B2 level vs B2-C1 boundary). Fiber quality trait, not yield.","{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::65,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Elongation percentage (EP),%,6.6833,6.4833,3.08,3.0,3.0,SE,,,,0.0408,0.0408,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,Table 3,"Table 3 'Standard errors' column. Fiber quality trait. +AMF labeled 'a', -AMF labeled 'b'.","{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::66,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Upper half mean length (UHML),mm,28.5167,28.4667,0.18,3.0,3.0,SE,,,,0.6735,0.4131,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,Table 3,Table 3 'Standard errors' column. Fiber quality trait. Both labeled 'a' (not significantly different).,"{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
mycorrhiza_yield::Arbuscular_mycorrhizal_fungi__AMF__enhan_2020::67,mycorrhiza_yield,Arbuscular_mycorrhizal_fungi__AMF__enhan_2020,"Arbuscular mycorrhizal fungi (AMF) enhanced the growth, yield, fiber quality and phosphorus regulation in upland cotton (Gossypium hirsutum L.)","Xinpeng Gao, Huihui Guo, Qiang Zhang, Haixia Guo, Li Zhang, Changyu Zhang, Zhongyuan Gou, Yan Liu, Junmei Wei, Aiyun Chen, Zhaohui Chu, Fanchang Zeng",2020,Scientific Reports,10.1038/s41598-020-59180-3,Fiber specific breaking strength (FSBS),cN·tex-1,29.2,26.4667,10.33,3.0,3.0,SE,,,,1.2083,0.6314,+AMF (Rhizophagus irregularis CD1 inoculated),-AMF (non-inoculated control),high,table,Table 3,"Table 3 'Standard errors' column. Fiber quality trait. +AMF 'a' (strong, 29.0-30.9), -AMF 'b' (moderate, 26.0-28.9).","{'mod_crop_species': 'Cotton (Gossypium hirsutum L., cv. Lumian No. 1)', 'mod_crop_functional_group': 'non-legume forb', 'mod_amf_species': 'Rhizophagus irregularis CD1', 'mod_study_type': 'field', 'mod_soil_type': 'farmland (not specified further)', 'mod_sterilized_soil': 'no (field soil)', 'mod_climate_zone': ""temperate (Tai'an, Shandong, China)"", 'mod_p_fertilization_level': 'reduced fertilization', 'mod_n_fertilization_level': 'not specified'}"
