paper_id,outcome,outcome_unit,source_type,table_or_figure,treatment_mean,control_mean,effect_pct,treatment_n,control_n,variance_type,variance_value,variance_treatment,variance_control,se_treatment,se_control,sd_treatment,sd_control,treatment_description,control_description,confidence,notes,title,authors,year,journal,doi,mod_crop_species,mod_climate,mod_region,mod_soil_type,mod_irrigation,mod_residue_management,mod_crop_rotation,mod_study_duration_years,mod_n_fertilizer_rate,mod_previous_crop,mod_soil_moisture_pct,p_value,significance,mod_precipitation_mm,mod_country,mod_row_spacing_cm,mod_seeding_rate_kg_ha,mod_n_fertilizer_kg_ha,mod_cover_crop,mod_latitude,mod_longitude,mod_altitude_m,mod_soil_clay_pct,mod_soil_silt_pct,mod_soil_sand_pct,mod_soil_texture,mod_irrigation_m3_ha,mod_tillage_type_treatment,mod_tillage_type_control,mod_num_sites,mod_num_site_years,mod_cultivar,mod_season,mod_N_fertilizer_rate_kg_ha,mod_wheat_genotypes_pooled,mod_n_fertilizer_rate_kg_ha,mod_rainfall_mm,mod_rice_genotypes_pooled,mod_elevation_m,mod_annual_rainfall_mm,mod_soil_pH,mod_N_rate_kg_ha,mod_years,mod_experimental_design,mod_soil_N_kg_ha,mod_soil_P_kg_ha,mod_soil_K_kg_ha,mod_weed_control_treatment,mod_weed_control_control,mod_year_of_measurement,mod_N_fertilizer_kg_ha,mod_crop_year,mod_mean_annual_rainfall_mm,mod_in_crop_rainfall_mm,mod_fallow_rainfall_mm,mod_years_no_till,mod_fertiliser,mod_S_rate_kg_ha,mod_aridity_index,mod_rotation_includes_legume,mod_preceding_crop,mod_mean_precipitation_mm,mod_farming_system,mod_years_averaged,mod_N_fertilizer_rate_kg_ha_yr,mod_mean_temp_C,mod_hybrid,mod_year,mod_climate_character,mod_annual_precipitation_mm,mod_mean_temperature_C,mod_N_fertilizer_rate,mod_study_type,mod_survey_years,mod_total_sample_size,mod_regression_coefficient_notill_on_yield,mod_regression_t_ratio,mod_regression_significant,mod_sample_mean_yield_bu_acre,mod_sample_sd_yield_bu_acre,mod_yield_equation_R_squared,mod_yield_equation_std_dev_residuals,mod_model_type,mod_irrigation_depth_mm,mod_irrigation_depth_pct_NID,mod_residue_management_treatment,mod_residue_management_control,mod_aridity_index_or_precipitation_mm,mod_year_of_experiment,mod_soil_moisture_field_capacity_pct,mod_seeding_method,mod_seeder_type,mod_seeder_power_hp,mod_mean_annual_precipitation_mm,mod_mean_annual_water_deficit_mm,mod_years_under_notill,mod_experiment_established,mod_data_period,mod_sowing_date,mod_harvest_date,mod_days_to_maturity,mod_study_duration_years_notill,mod_variety,mod_tillage_class,mod_comparison_baseline,mod_n_observation_pairs,mod_n_experiments,mod_analysis_type,mod_koppen_class,mod_soil_texture_class,mod_crop_class,mod_outcome_category,mod_analysis,mod_mean_difference_g_C_per_m2,mod_precipitation_fallow_mm,mod_precipitation_growing_mm,mod_year_of_observation,mod_tillage_depth_cm,mod_study_year,mod_K_rate_kg_ha,mod_P_rate_kg_ha,mod_P_fertilizer_kg_ha,mod_K_fertilizer_kg_ha,mod_growing_season,mod_tillage_history,mod_cropping_system,mod_rotation,mod_pooled_n_observations,mod_number_of_studies,mod_regression_equation,mod_r_squared,mod_study_duration,mod_rotation_type,mod_rotation_diversity,mod_includes_legume,mod_period,mod_years_in_period,mod_n_rotations_pooled,mod_plot_size_m2,mod_bed_type,mod_year_of_data,mod_koppen_climate,mod_clay_content_g_kg,mod_mean_annual_temp_C,mod_site,mod_P2O5_rate_kg_ha,mod_K2O_rate_kg_ha,mod_nutrient_treatment,mod_study_duration_seasons,mod_n_farms,mod_n_cropping_systems,mod_n_weather_repetitions,mod_n_simulated_years,mod_total_data_points,mod_simulation_condition,mod_soil_organic_carbon_pct,mod_seed_rate_kg_ha,mod_num_varieties_tested,mod_num_farms,mod_aridity_index_or_precipitation,mod_fertilizer_type,mod_cover_crop_treatment,mod_weed_control,mod_pre_crop,mod_rainfall_oct_jun_mm,mod_temperature_oct_jun_C,mod_harvest_year,mod_planting_system,mod_planting_geometry,mod_residue_amount_t_ha,mod_n_fertilizer_rate_treatment,mod_n_fertilizer_rate_control,mod_clay_pct,mod_biochar,mod_sampling_depth_cm,mod_baseline_SOC_g_kg,mod_crop_variety,mod_residue_pct,mod_NPK_pct_of_recommended,mod_soil_organic_matter_pct,mod_planting_season,mod_tillage_type,mod_cover_crop_species,mod_insect_exclusion,mod_study_duration_years_under_notill,mod_elevation_masl,mod_seasonal_rainfall_mm,mod_plant_population
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1A (estimated from figure),4.46,4.58,-2.620087336244544,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2012, 1st year of NT. 10 WW cultivars averaged. RCBD split-split plot, 3 reps. Yield at 14% moisture. Year mean from Table 1 = 4.518 t/ha (avg of NT+CT).",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,soybean-winter wheat,1,,,,>0.05,ns,392,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1A (estimated from figure),6.98,7.18,-2.785515320334252,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2013, 2nd year of NT. Wettest year (531 mm Oct-Jun). Year mean from Table 1 = 7.081 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,soybean-winter wheat,2,,,,>0.05,ns,531,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1A (estimated from figure),5.31,5.48,-3.102189781021913,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2014, 3rd year of NT. Year mean from Table 1 = 5.394 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,soybean-winter wheat,3,,,,>0.05,ns,484,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1A (estimated from figure),5.56,5.69,-2.284710017574706,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2015, 4th year of NT. Year mean from Table 1 = 5.627 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,soybean-winter wheat,4,,,,>0.05,ns,514,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1A (estimated from figure),5.93,6.16,-3.7337662337662407,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2016, 5th year of NT. Year mean from Table 1 = 6.044 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,soybean-winter wheat,5,,,,>0.05,ns,480,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1A (estimated from figure),5.13,5.78,-11.245674740484436,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2017, 6th year of NT. NT significantly lower than CT (Duncan p<0.05). Year mean from Table 1 = 5.453 t/ha. Wettest growing season (537 mm, 121 mm above average).",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,soybean-winter wheat,6,,,,<0.05,*,537,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,soybean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1B (estimated from figure),4.3,4.46,-3.587443946188344,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2012, 1st year of NT. Year mean from Table 1 = 4.380 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,maize-winter wheat,1,,,,>0.05,ns,392,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1B (estimated from figure),7.22,7.51,-3.8615179760319576,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2013, 2nd year of NT. Year mean from Table 1 = 7.364 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,maize-winter wheat,2,,,,>0.05,ns,531,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1B (estimated from figure),5.43,5.62,-3.3807829181494733,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2014, 3rd year of NT. Year mean from Table 1 = 5.525 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,maize-winter wheat,3,,,,>0.05,ns,484,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cociu_2019_LongTerm_Tillage_and_Crop_Sequence,grain yield,t/ha,figure,Figure 1B (estimated from figure),5.22,5.97,-12.56281407035176,3.0,3.0,,,,,,,,,"No-tillage (NT), direct drilling only","Chisel tillage (CT), 15 cm depth with twisted shanks",medium,"Values estimated from bar chart. Year 2015, 4th year of NT. NT significantly lower than CT (Duncan p<0.05). Year mean from Table 1 = 5.593 t/ha.",Long-term tillage and crop sequence effects on winter wheat and triticale grain yield under Eastern Romanian Danube Plain climate conditions,Alexandru I. Cociu,2019,Romanian Agricultural Research,,winter wheat,temperate continental,"Fundulea, Romania",cambic chernozem,rainfed,retained,maize-winter wheat,4,,,,<0.05,*,514,Romania,,,120.0,,44.4625,26.5264,,,,,clay loam (36.5% clay),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,maize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
