agreement_fraction_vs_max_obs,claude_obs,consensus_confidence_counts,consensus_data_sources,consensus_json_path,consensus_mean_effect_pct,consensus_observation_count,direction_agree_rows,direction_agreement_rate,direction_comparable_rows,disagree_type_claude_only,disagree_type_kimi_only,disagreement_count,disagreement_types,element_mismatch_flag,experimental_design,gemini_only_count,has_factorial_structure,has_tc_confusion,high_disagreement_count,high_disagreement_exact_count,high_disagreement_flag,is_control_paper,kimi_obs,kimi_only_count,matched_obs,pairwise_all_agree_rate,pairwise_all_agree_rows,pairwise_rows,paper_id,paper_root_cause,paper_root_cause_confidence,paper_root_cause_note,pdf_paths,recon_warning_count,recon_warnings,report_figure_digitization_limit,report_no_concentration_data,report_overall_partial,report_status_skip,report_treatment_arm_confusion,report_wrong_tissue,report_zero_match,sample_size_found,swap_count,swap_risk_flag,tables_with_mineral_data_n,variance_confidence,variance_type,warning_averaging_risk,warning_factorial_risk,warning_figure_only_risk,warning_multi_condition_risk,warning_sparse_recon_risk,warning_tc_confusion_risk,warning_timepoint_risk
1.0,28,"{""high"": 28}","{""Table 4"": 28}",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\020_Overdieck_1993_consensus.json,-7.8404,28,7,1.0,7,,,0,{},False,simple,0,True,True,0,0,False,True,28,0,28,0.0,0,14,020_Overdieck_1993,extraction_coverage_limitation,high,Inferred from per-paper report: skip / figure-only / non-tabular target data.,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\020_Overdieck_1993.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\020_Overdieck_1993.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validation_input\\020_Overdieck_1993.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\mineral_validation_input\\020_Overdieck_1993.pdf""]",5,"[""Multiple experiments with different CO2 levels: Exp I (300 vs 620), Exp II (350 vs 600), Exp III (390 vs 520 vs 650)"", ""Table 4 shows percentage changes (\u0394%) rather than raw values - need to calculate actual concentrations"", ""Different sample sizes and durations across experiments - need to track which data comes from which experiment"", ""Root and shoot data are combined in some analyses but separate in others"", ""Some elements only measured in certain species (Zn only in herbaceous, Mn/Fe only in trees)""]",True,False,False,False,False,False,False,varies by experiment,0,False,1,high,none,False,True,False,False,False,True,False
1.0,12,"{""high"": 12}","{""Table 3"": 12}",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\031_Pal_2003_consensus.json,-6.1432,12,4,1.0,4,,,0,{},False,simple,0,True,True,0,0,False,True,12,0,12,0.6667,4,6,031_Pal_2003,,,,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\031_Pal_2003.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validation_input\\031_Pal_2003.pdf""]",5,"[""Control is listed as '350\u00b120' in tables but '360' in abstract - use table values for consistency"", ""Some measurements show very large positive effects (>100%) - verify these are growth parameters, not minerals"", ""Paper measures at multiple time points (40, 60, 80 DAE) - ensure correct temporal matching"", ""Total nutrient content on area basis increases due to biomass, but concentration decreases - focus on concentration data"", ""Iron and calcium show 'NS' (non-significant) differences - these should be noted in extraction""]",False,False,False,False,False,False,False,3,0,False,1,high,SD,False,True,False,False,False,True,False
0.3333,4,"{""high"": 2}","{""Table 4"": 2}",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\002_Ziska_1997_consensus.json,-4.1667,2,2,0.6667,3,2,4,6,"{""claude_only"": 2, ""kimi_only"": 4}",True,factorial,2,True,True,4,0,True,False,6,1,2,0.0,0,3,002_Ziska_1997,,,,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\002_Ziska_1997.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\002_Ziska_1997.pdf""]",6,"[""This paper focuses on growth/yield, not mineral concentrations - may not contain target data"", ""Paper has 3 CO2 levels (ambient, ambient+200, ambient+300) - need to identify which is treatment"", ""Temperature is a second factor that could confound CO2 effects"", ""Only grain quality data (Ca, K, protein, amylose) found - no vegetative tissue minerals"", ""Grain quality data shows decreasing trends with CO2 which is opposite to expected dilution effect"", ""Two growing seasons (wet/dry) may have different responses""]",False,False,False,False,False,False,False,3,0,False,1,high,SE,False,True,False,False,False,True,False
0.5,39,"{""high"": 38}","{""Table 2"": 38}",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\003_Baslam_2012_consensus.json,34.9118,38,6,0.75,8,1,38,39,"{""claude_only"": 1, ""kimi_only"": 38}",True,,0,False,False,36,6,True,False,76,1,38,0.0,0,29,003_Baslam_2012,,,,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\003_Baslam_2012.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\003_Baslam_2012.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validation_input\\003_Baslam_2012.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\mineral_validation_input\\003_Baslam_2012.pdf""]",1,"[""Recon error: 'list' object has no attribute 'get'""]",False,False,False,False,False,False,False,,4,True,0,low,,False,False,False,False,True,False,False
0.5625,20,"{""high"": 11, ""medium"": 7}","{""Table 2"": 18}",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\004_Finzi_2001_consensus.json,-11.4745,18,2,1.0,2,2,14,16,"{""claude_only"": 2, ""kimi_only"": 14}",True,split-plot,0,True,True,16,5,True,False,32,3,18,0.0,0,10,004_Finzi_2001,,,,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\004_Finzi_2001.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\004_Finzi_2001.pdf""]",6,"[""This paper focuses on litter chemistry and decomposition, not living tissue mineral concentrations"", ""The main mineral data is N and P concentrations in green leaves and leaf litter"", ""Treatment is labeled 'E' (elevated) vs 'A' (ambient) - ambient is the control"", ""Some measurements are on different age cohorts of needles (new vs old)"", ""Species-specific data may need careful extraction due to multiple species"", ""Paper uses both mass-based concentrations (mg/g) and area-based measurements""]",False,False,False,False,False,False,False,3,2,True,1,high,SE,False,True,False,False,False,True,False
0.0,10,{},{},C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\005_Niinemets_1999_consensus.json,,0,5,1.0,5,10,10,20,"{""claude_only"": 10, ""kimi_only"": 10}",True,,5,False,False,8,1,True,False,10,0,0,1.0,5,5,005_Niinemets_1999,,,,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\005_Niinemets_1999.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\005_Niinemets_1999.pdf""]",1,"[""Recon error: 'list' object has no attribute 'get'""]",False,False,False,False,False,False,False,,0,False,0,low,,False,False,False,False,True,False,False
0.0,10,{},{},C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\007_Woodin_1992_consensus.json,,0,10,1.0,10,10,,10,"{""claude_only"": 10}",False,simple,0,True,True,0,0,False,False,0,0,0,0.0,0,11,007_Woodin_1992,,,,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\007_Woodin_1992.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\007_Woodin_1992.pdf""]",5,"[""This paper has THREE CO2 treatments: 370 ppm (control), 470 ppm (+100), and 570 ppm (+200)"", ""Plants showed NEGATIVE growth response in first year but positive by end - verify effect directions carefully"", ""Figure 3a shows mineral concentrations but uses error bars described as '95% CI' - this is confidence intervals, not SE/SD"", ""The paper reports 'ambient' CO2 as control (370 ppm) which was actually above normal due to building activities"", ""Root biomass could not be measured - only shoot mineral concentrations available""]",False,False,False,False,False,False,False,10,0,False,2,high,CI,False,True,True,False,False,True,False
1.0,10,"{""high"": 10}","{""Table 2"": 10}",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\011_Huluka_1994_consensus.json,-22.8814,10,10,1.0,10,,,0,{},False,split-plot,0,True,True,0,0,False,False,10,0,10,1.0,10,10,011_Huluka_1994,extraction_coverage_limitation,high,Wrong temporal point in extracted data; GT uses DOY 247 values not accessible to all models.,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\011_Huluka_1994.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\011_Huluka_1994.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validation_input\\011_Huluka_1994.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\mineral_validation_input\\011_Huluka_1994.pdf""]",6,"[""This paper uses FACE vs CONTROL terminology - CONTROL is ambient CO2, FACE is elevated"", ""Split-plot design with water stress subplots - ensure only CO2 main effects are extracted"", ""Multiple sampling dates with different tissue types - need to extract all relevant timepoints"", ""Some nutrients only significant on certain dates - check significance carefully"", ""Figures 1-2 show ratios (CONTROL/FACE) not raw concentrations - extract from tables only"", ""Table 2 provides sufficiency ranges for reference but actual treatment data is in text/figures""]",True,False,False,False,False,False,False,8,0,False,1,high,SE,False,True,True,False,False,True,True
0.0,6,{},{},C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\016_Fernando_2012a_consensus.json,,0,0,,0,6,1,7,"{""claude_only"": 6, ""kimi_only"": 1}",False,factorial,0,True,True,0,0,False,False,1,0,0,0.0,0,12,016_Fernando_2012a,,,,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\016_Fernando_2012a.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\016_Fernando_2012a.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validation_input\\016_Fernando_2012a.pdf""]",4,"[""Paper uses 'a[CO2]' for ambient (control) and 'e[CO2]' for elevated (treatment) - ensure correct assignment"", ""Multiple environmental conditions (2008-TOS1, 2008-TOS2, 2009-TOS1, 2009-TOS2) may create confusion about which data to extract"", ""Some mineral data referenced from Fernando et al. 2012 - verify these are not duplicate extractions"", ""Figure 1 caption states some data taken from previous paper - may need to exclude to avoid double-counting""]",False,False,False,False,False,False,False,16,0,False,1,high,SE,False,True,True,False,False,True,False
0.5161,31,"{""high"": 16}","{""Table 4"": 8, ""Table 5"": 8}",C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\claude_kimi_full_comparison\017_Fangmeier_2002_consensus.json,-7.7875,16,8,1.0,8,15,15,30,"{""claude_only"": 15, ""kimi_only"": 15}",False,factorial,0,True,True,0,0,False,False,31,0,16,0.0,0,40,017_Fangmeier_2002,matching_alignment_artifact,high,Correct condition-specific values existed in extractions but matcher averaged across tissue/harvest/condition.,"[""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\meta_analysis_extractor\\input\\017_Fangmeier_2002.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validated\\017_Fangmeier_2002.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\validation_input\\017_Fangmeier_2002.pdf"", ""C:\\Users\\moshe\\Dropbox\\Testing metaanalyis program\\Loladze\\mineral_validation_input\\017_Fangmeier_2002.pdf""]",7,"[""Complex multi-site European experiment with varying CO2 levels across sites"", ""Some sites used FACE, others used OTC - different exposure systems"", ""Paper includes both CO2 and ozone treatments - ensure CO2-only comparisons"", ""Treatment codes in tables: NF = ambient air control, 680 = CO2 enriched treatment"", ""Chamber effects analyzed separately - use only CO2 treatment comparisons"", ""Harvest timing effects mentioned - intermediate vs final harvest data available"", ""Some developmental stage differences between treatments could confound results""]",False,False,False,False,False,False,False,,0,False,2,high,SD,False,True,False,True,False,True,False
