paper_id,report_abstract_mentions_n,report_alignment_artifact,report_available,report_averaging_conflict,report_channel_count,report_conclusion_mentions_n,report_coverage_limitation,report_explicit_ai_error,report_factorial_conflict,report_figure_digitization_limit,report_figure_mentions_n,report_mentions_abstract,report_mentions_conclusion,report_mentions_figure_evidence,report_mentions_gt_crosscheck,report_mentions_results_text,report_mentions_table_evidence,report_path,report_results_mentions_n,report_table_mentions_n,report_timepoint_conflict
020_Overdieck_1993,0,False,True,False,3,2,False,False,False,True,10,False,True,True,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\020_Overdieck_1993_report.md,0,16,False
031_Pal_2003,0,False,True,False,1,0,False,False,False,False,0,False,False,False,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\031_Pal_2003_report.md,0,7,False
002_Ziska_1997,0,False,True,False,3,2,False,False,True,False,0,False,True,True,True,True,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\002_Ziska_1997_report.md,0,32,False
003_Baslam_2012,0,False,True,False,1,0,False,True,True,False,0,False,False,False,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\003_Baslam_2012_report.md,0,8,False
004_Finzi_2001,0,False,True,False,2,0,False,False,False,True,0,False,False,False,True,True,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\004_Finzi_2001_report.md,2,12,False
005_Niinemets_1999,0,False,True,False,1,0,False,False,True,False,0,False,False,False,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\005_Niinemets_1999_report.md,0,3,False
007_Woodin_1992,0,False,True,False,4,1,False,False,True,True,16,False,True,True,True,True,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\007_Woodin_1992_report.md,3,2,False
011_Huluka_1994,0,False,True,False,2,0,True,False,True,True,10,False,False,True,True,True,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\011_Huluka_1994_report.md,0,13,True
016_Fernando_2012a,0,False,True,False,3,0,False,False,False,True,16,False,False,True,True,True,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\016_Fernando_2012a_report.md,2,1,False
017_Fangmeier_2002,0,True,True,True,2,2,False,False,True,True,0,False,True,False,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\017_Fangmeier_2002_report.md,0,46,True
021_Wilsey_1994,0,True,True,True,3,2,False,False,True,False,1,False,True,True,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\021_Wilsey_1994_report.md,0,14,False
040_Pfirrmann_1996,0,False,True,False,1,1,False,False,True,True,0,False,True,False,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\040_Pfirrmann_1996_report.md,0,41,True
044_Housman_2012,0,False,True,False,2,2,False,False,True,True,0,False,True,False,True,False,True,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\044_Housman_2012_report.md,0,18,False
051_Niu_2013,1,False,True,False,3,0,False,True,True,True,10,True,False,True,True,True,False,C:\Users\moshe\Dropbox\Testing metaanalyis program\meta_analysis_extractor\output\loladze_combined_51\per_paper\051_Niu_2013_report.md,4,0,False
