all_agree_true_count,claim_disagreement_count,claim_disagreement_type,claim_key,claim_source,claude_dir,claude_dir_set,consensus_confidence,consensus_data_source,consensus_effect_pct,consensus_notes,consensus_support,construct_drift_count,construct_drift_flags,cross_model_direction_agreement,cross_model_direction_set,cross_model_support_n,drift_arm_mismatch,drift_concentration_vs_content,drift_figure_only_target,drift_pooled_vs_subgroup_mismatch,drift_timepoint_mismatch,drift_tissue_mismatch,element,element_mismatch_flag,gemini_dir,gemini_dir_set,has_factorial_structure,has_n,has_tc_confusion,has_variance,high_disagreement_flag,is_control_paper,kimi_dir,kimi_dir_set,pairwise_all_agree_rate_claim,pairwise_claim_available,pairwise_element,pairwise_relaxed_claude_dir_set,pairwise_relaxed_gemini_dir_set,pairwise_relaxed_kimi_dir_set,pairwise_relaxed_row_count,pairwise_relaxed_support_n,pairwise_relaxed_tissues,pairwise_row_count,pairwise_tissue,paper_agreement_fraction,paper_direction_agreement_rate,paper_id,paper_pairwise_all_agree_rate,paper_recon_warning_count,paper_recon_warnings,paper_root_cause,paper_root_cause_confidence,paper_root_cause_note,report_figure_digitization_limit,report_no_concentration_data,report_overall_partial,report_status_skip,report_treatment_arm_confusion,report_wrong_tissue,report_zero_match,risk_flag_count,risk_flags,swap_risk_flag,tissue,warning_averaging_risk,warning_factorial_risk,warning_figure_only_risk,warning_multi_condition_risk,warning_sparse_recon_risk,warning_tc_confusion_risk,warning_timepoint_risk
1,1,kimi_only,009_Barnes_1992::Ca::root,consensus_observation,decrease,"[""decrease""]",high,Table 5,-15.151515151515147,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,Ca,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,Ca,"[""decrease"", ""increase""]","[""decrease"", ""increase""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,root,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,root,False,True,False,False,False,True,False
0,1,kimi_only,009_Barnes_1992::Ca::whole,consensus_observation,increase,"[""increase""]",high,Table 4,2.77777777777778,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",False,"[""decrease"", ""increase""]",3,True,False,False,False,False,False,Ca,False,increase,"[""increase""]",True,True,True,False,False,False,decrease,"[""decrease""]",0.0,True,Ca,"[""decrease"", ""increase""]","[""decrease"", ""increase""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,whole,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,shoot,False,True,False,False,False,True,False
1,1,kimi_only,009_Barnes_1992::K::root,consensus_observation,decrease,"[""decrease""]",high,Table 5,-32.60869565217392,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,K,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,K,"[""decrease"", ""increase""]","[""decrease"", ""increase""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,root,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,root,False,True,False,False,False,True,False
0,1,kimi_only,009_Barnes_1992::K::whole,consensus_observation,increase,"[""increase""]",high,Table 4,1.5673981191222657,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",False,"[""decrease"", ""increase""]",3,True,False,False,False,False,False,K,False,increase,"[""increase""]",True,True,True,False,False,False,decrease,"[""decrease""]",0.0,True,K,"[""decrease"", ""increase""]","[""decrease"", ""increase""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,whole,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,shoot,False,True,False,False,False,True,False
1,1,kimi_only,009_Barnes_1992::Mg::root,consensus_observation,decrease,"[""decrease""]",high,Table 5,-16.129032258064512,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,Mg,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,Mg,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,root,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,root,False,True,False,False,False,True,False
1,1,kimi_only,009_Barnes_1992::Mg::whole,consensus_observation,decrease,"[""decrease""]",high,Table 4,-12.499999999999998,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,Mg,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,Mg,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,whole,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,shoot,False,True,False,False,False,True,False
1,1,kimi_only,009_Barnes_1992::N::root,consensus_observation,decrease,"[""decrease""]",high,Table 5,-7.446808510638298,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,N,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,N,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,root,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,root,False,True,False,False,False,True,False
1,1,kimi_only,009_Barnes_1992::N::whole,consensus_observation,decrease,"[""decrease""]",high,Table 4,-15.45667447306791,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,N,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,N,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,whole,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,shoot,False,True,False,False,False,True,False
1,1,kimi_only,009_Barnes_1992::P::root,consensus_observation,decrease,"[""decrease""]",high,Table 5,-13.013698630136982,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,P,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,P,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,root,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,root,False,True,False,False,False,True,False
1,1,kimi_only,009_Barnes_1992::P::whole,consensus_observation,decrease,"[""decrease""]",high,Table 4,-21.27659574468085,Models agree (diff=0.0%),2,1,"[""arm_mismatch""]",True,"[""decrease""]",3,True,False,False,False,False,False,P,False,decrease,"[""decrease""]",True,True,True,False,False,False,decrease,"[""decrease""]",1.0,True,P,"[""decrease""]","[""decrease""]","[""decrease""]",2,3,"[""root"", ""whole""]",1,whole,0.5,0.8333,009_Barnes_1992,0.7143,5,"[""This is a 2x2 factorial design with CO2 and O3 treatments - must carefully separate CO2-only effects from CO2+O3 interactions"", ""Four treatment combinations exist: 350CO2/20O3, 350CO2/80O3, 750CO2/20O3, 750CO2/80O3"", ""Control for CO2 analysis should be 350 ppm treatments, elevated should be 750 ppm treatments"", ""O3 treatments may confound CO2 effects - need to extract CO2 main effects or use only low-O3 treatments"", ""Sample sizes vary between measurements - gas exchange n=5 per chamber, mineral analysis n=4 per chamber""]",matching_alignment_artifact,high,Inferred from per-paper report: tissue / arm / factorial alignment issue.,False,False,False,False,True,False,False,6,"[""disagreement_present"", ""factorial_structure"", ""missing_variance"", ""paper_alignment_known"", ""partial_model_support"", ""tc_confusion""]",False,shoot,False,True,False,False,False,True,False
