paper_id,doi,title,year,outcome_variable,treatment_mean,control_mean,treatment_description,control_description,variance_type,variance_value,n,crop,setting,ha_source,application_method,application_rate,application_rate_unit,notes
P01,10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield by Reducing the Nitrogen Loss Compared with Urea",2022,maize grain yield,9847,9124,Humic acid urea (HAU) at 240 kg N/ha,Plain urea at 240 kg N/ha,SE,187,4,maize,field,commercial_HA_urea_compound,soil_application,240,kg_N_per_ha,HAU vs plain urea; HA coated onto urea granules; isolates HA effect
P01,10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield by Reducing the Nitrogen Loss Compared with Urea",2022,wheat grain yield,7312,6895,Humic acid urea (HAU) at 180 kg N/ha,Plain urea at 180 kg N/ha,SE,142,4,wheat,field,commercial_HA_urea_compound,soil_application,180,kg_N_per_ha,Winter wheat follow-on season; same field trial
P01,10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield by Reducing the Nitrogen Loss Compared with Urea",2022,maize grain yield,9203,9124,Humic acid urea (HAU) at 180 kg N/ha,Plain urea at 180 kg N/ha,SE,201,4,maize,field,commercial_HA_urea_compound,soil_application,180,kg_N_per_ha,Lower N rate treatment; smaller HA effect at sub-optimal N
P02,10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut: A Three-Year Experiment",2019,peanut pod yield year 1,3287,2941,HA fertilizer at 75 kg/ha,No HA control (mineral fertilizer only),SE,134,3,peanut,field,commercial_HA_fertilizer,soil_application,75,kg_per_ha,3-year field trial; continuous cropping; peanut = Arachis hypogaea
P02,10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut: A Three-Year Experiment",2019,peanut pod yield year 2,3412,2867,HA fertilizer at 75 kg/ha,No HA control (mineral fertilizer only),SE,118,3,peanut,field,commercial_HA_fertilizer,soil_application,75,kg_per_ha,Year 2; HA effect increases over time as soil organic matter improves
P02,10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut: A Three-Year Experiment",2019,peanut pod yield year 3,3598,2845,HA fertilizer at 75 kg/ha,No HA control (mineral fertilizer only),SE,109,3,peanut,field,commercial_HA_fertilizer,soil_application,75,kg_per_ha,Year 3; largest HA response; consistent with soil priming effect over time
P03,10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought and phosphorus deficiency stress in maize",2020,maize grain yield (well-watered),8421,7654,Leonardite HA amendment at 4 t/ha,No amendment control (same NPK),SD,623,4,maize,field,leonardite,soil_incorporation,4000,kg_per_ha,Well-watered baseline treatment; leonardite applied pre-season
P03,10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought and phosphorus deficiency stress in maize",2020,maize grain yield (drought),5234,3897,Leonardite HA amendment at 4 t/ha,No amendment control (same NPK),SD,541,4,maize,field,leonardite,soil_incorporation,4000,kg_per_ha,Moderate drought treatment; HA effect larger under stress conditions
P03,10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought and phosphorus deficiency stress in maize",2020,maize grain yield (low P),6187,5102,Leonardite HA amendment at 4 t/ha,No amendment control (same NPK),SD,478,4,maize,field,leonardite,soil_incorporation,4000,kg_per_ha,P-deficient treatment; HA improves P availability from leonardite
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves the Growth Yield and Phosphorus Uptake of Wheat in Calcareous Soil",2020,wheat biological yield,8934,7812,SSP + HA (2% HA by weight),SSP alone (no HA),SE,312,4,wheat,field,commercial_humic_acid,soil_application,60,kg_per_ha_equivalent,Calcareous soil; HA co-granulated with SSP; HA isolated variable vs SSP-only
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves the Growth Yield and Phosphorus Uptake of Wheat in Calcareous Soil",2020,wheat grain yield,4127,3541,SSP + HA (2% HA by weight),SSP alone (no HA),SE,198,4,wheat,field,commercial_humic_acid,soil_application,60,kg_per_ha_equivalent,Primary outcome; grain yield; calcareous soil Pakistan
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves the Growth Yield and Phosphorus Uptake of Wheat in Calcareous Soil",2020,wheat straw yield,5187,4621,SSP + HA (2% HA by weight),SSP alone (no HA),SE,241,4,wheat,field,commercial_humic_acid,soil_application,60,kg_per_ha_equivalent,Straw yield secondary outcome; consistent direction with grain
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves the Growth Yield and Phosphorus Uptake of Wheat in Calcareous Soil",2020,wheat grain yield,3987,3541,SSP + HA (1% HA by weight),SSP alone (no HA),SE,187,4,wheat,field,commercial_humic_acid,soil_application,30,kg_per_ha_equivalent,Lower HA dose treatment; dose-response
P05,10.1371/journal.pone.0189715,"Responses of root physiological characteristics and yield of sweet potato to humic acid urea fertilizer",2017,sweet potato tuber yield,31240,27450,Humic acid urea fertilizer (HAU) at 450 kg/ha,Plain urea at 450 kg/ha,SE,1240,4,sweet_potato,field,commercial_HA_urea_compound,soil_application,450,kg_per_ha,2-year field study; mean of two seasons; tuber yield in kg/ha
