paper_id,doi,title,year,outcome_variable,treatment_mean,control_mean,treatment_description,control_description,variance_type,variance_value,n,crop,setting,ha_source,application_method,application_rate,application_rate_unit,lnRR,pct_change,qc_flag,qc_notes
P01,10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield",2022,maize grain yield,9847,9124,HAU at 240 kg N/ha,Plain urea at 240 kg N/ha,SE,187,4,maize,field,commercial_HA_urea_compound,soil_application,240,kg_N_per_ha,0.0776,8.1%,pass,All checks passed; lnRR=0.0776; CV=1.9% (SE/mean*100); n=4; plausible
P01,10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield",2022,wheat grain yield,7312,6895,HAU at 180 kg N/ha,Plain urea at 180 kg N/ha,SE,142,4,wheat,field,commercial_HA_urea_compound,soil_application,180,kg_N_per_ha,0.0591,6.1%,pass,All checks passed; lnRR=0.0591; plausible effect size
P01,10.3390/agriculture12121996,"The Application of Humic Acid Urea Improves Nitrogen Use Efficiency and Crop Yield",2022,maize grain yield,9203,9124,HAU at 180 kg N/ha,Plain urea at 180 kg N/ha,SE,201,4,maize,field,commercial_HA_urea_compound,soil_application,180,kg_N_per_ha,0.0086,0.9%,pass,Minimal effect at lower N rate; plausible; passes all QC checks
P02,10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut",2019,peanut pod yield year 1,3287,2941,HA fertilizer at 75 kg/ha,No HA control,SE,134,3,peanut,field,commercial_HA_fertilizer,soil_application,75,kg_per_ha,0.1121,11.8%,pass,All checks passed; 11.8% near benchmark +12%; n=3 is low but acceptable
P02,10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut",2019,peanut pod yield year 2,3412,2867,HA fertilizer at 75 kg/ha,No HA control,SE,118,3,peanut,field,commercial_HA_fertilizer,soil_application,75,kg_per_ha,0.1742,19.0%,pass,Year 2 effect larger; 19% is elevated but plausible in continuous cropping where HA builds soil health
P02,10.1038/s41598-019-48620-4,"Humic Acid Fertilizer Improved Soil Properties and Soil Microbial Diversity of Continuous Cropping Peanut",2019,peanut pod yield year 3,3598,2845,HA fertilizer at 75 kg/ha,No HA control,SE,109,3,peanut,field,commercial_HA_fertilizer,soil_application,75,kg_per_ha,0.2349,26.5%,flagged_plausibility,Year 3 effect of 26.5% is above expected range; flag for review; biological explanation plausible (cumulative soil priming) but warrants human check
P03,10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought in maize",2020,maize grain yield (well-watered),8421,7654,Leonardite HA at 4 t/ha,No amendment control,SD,623,4,maize,field,leonardite,soil_incorporation,4000,kg_per_ha,0.0961,10.1%,pass,All checks passed; 10.1% in normal well-watered conditions; leonardite at 4t/ha is high rate
P03,10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought in maize",2020,maize grain yield (drought),5234,3897,Leonardite HA at 4 t/ha,No amendment control,SD,541,4,maize,field,leonardite,soil_incorporation,4000,kg_per_ha,0.2944,34.3%,flagged_plausibility,Drought stress effect of 34.3%; plausible under severe drought where HA-improved water retention matters; flag for context check (comparison within same paper acceptable)
P03,10.1038/s41598-020-62669-6,"Sulfur-enriched leonardite and humic acid soil amendments enhance tolerance to drought in maize",2020,maize grain yield (low P),6187,5102,Leonardite HA at 4 t/ha,No amendment control,SD,478,4,maize,field,leonardite,soil_incorporation,4000,kg_per_ha,0.1924,21.2%,pass,P-deficient treatment; 21.2% is elevated but plausible when HA improves P availability in P-limited soil
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves Wheat Yield in Calcareous Soil",2020,wheat biological yield,8934,7812,SSP + HA (2% HA),SSP alone,SE,312,4,wheat,field,commercial_humic_acid,soil_application,60,kg_per_ha_equivalent,0.1338,14.3%,pass,All checks passed; 14.3% for biological yield; calcareous soil conditions
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves Wheat Yield in Calcareous Soil",2020,wheat grain yield,4127,3541,SSP + HA (2% HA),SSP alone,SE,198,4,wheat,field,commercial_humic_acid,soil_application,60,kg_per_ha_equivalent,0.1537,16.6%,pass,Primary grain yield outcome; 16.6% is near the upper expected range but plausible in calcareous soil where P availability limits yield
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves Wheat Yield in Calcareous Soil",2020,wheat straw yield,5187,4621,SSP + HA (2% HA),SSP alone,SE,241,4,wheat,field,commercial_humic_acid,soil_application,60,kg_per_ha_equivalent,0.1152,12.2%,pass,Straw yield secondary outcome; 12.2%; passes all QC checks
P04,10.3390/agronomy10091224,"Application of Single Superphosphate with Humic Acid Improves Wheat Yield in Calcareous Soil",2020,wheat grain yield,3987,3541,SSP + HA (1% HA),SSP alone,SE,187,4,wheat,field,commercial_humic_acid,soil_application,30,kg_per_ha_equivalent,0.1189,12.6%,pass,Lower HA dose; 12.6%; dose-response confirmed with higher dose at 16.6%
P05,10.1371/journal.pone.0189715,"Responses of root physiological characteristics and yield of sweet potato to humic acid urea fertilizer",2017,sweet potato tuber yield,31240,27450,HAU at 450 kg/ha,Plain urea at 450 kg/ha,SE,1240,4,sweet_potato,field,commercial_HA_urea_compound,soil_application,450,kg_per_ha,0.1299,13.8%,pass,All checks passed; 13.8% tuber yield increase; sweet potato; PLoS ONE
P05,10.1371/journal.pone.0189715,"Responses of root physiological characteristics and yield of sweet potato to humic acid urea fertilizer",2017,sweet potato tuber yield,29870,27450,HAU at 300 kg/ha,Plain urea at 300 kg/ha,SE,1180,4,sweet_potato,field,commercial_HA_urea_compound,soil_application,300,kg_per_ha,0.0847,8.8%,pass,Lower rate; 8.8%; dose-response consistent
