dataset,dataset_code,paper_id,same_paper_ai_records_present,reference_cells,reference_rows,matched_cells,match_rate,median_reference_rows_per_cell
Li X et al. 2024,Biochar,adekiya_2019,1,12,12,12,1.0,1.0
Li X et al. 2024,Biochar,arif_2017,1,14,14,14,1.0,1.0
Li X et al. 2024,Biochar,asai_2009,1,27,27,10,0.37037037037037035,1.0
Li X et al. 2024,Biochar,azeem_2019,1,16,16,16,1.0,1.0
Li X et al. 2024,Biochar,deenik_2010,1,12,12,0,0.0,1.0
Li X et al. 2024,Biochar,dong_2019,1,16,16,16,1.0,1.0
Li X et al. 2024,Biochar,farrell_2014,1,14,14,0,0.0,1.0
Li X et al. 2024,Biochar,gathorne-hardy_2009,1,20,20,0,0.0,1.0
Li X et al. 2024,Biochar,guerena_2013,1,12,12,12,1.0,1.0
Li X et al. 2024,Biochar,haefele_2011,1,36,36,14,0.3888888888888889,1.0
Li X et al. 2024,Biochar,islami_2011,1,12,16,10,0.8333333333333334,1.0
Li X et al. 2024,Biochar,li_b_2016,1,42,42,0,0.0,1.0
Li X et al. 2024,Biochar,liang_feng_2014,1,30,30,6,0.2,1.0
Li X et al. 2024,Biochar,liu_2014,1,12,12,0,0.0,1.0
Li X et al. 2024,Biochar,liu_2019,1,36,36,16,0.4444444444444444,1.0
Li X et al. 2024,Biochar,malik_2018,1,12,12,12,1.0,1.0
Li X et al. 2024,Biochar,niu_2017,1,12,12,0,0.0,1.0
Li X et al. 2024,Biochar,nobile_2022,1,18,18,0,0.0,1.0
Li X et al. 2024,Biochar,omara_2020,1,24,24,12,0.5,1.0
Li X et al. 2024,Biochar,pandit_2018,1,15,15,15,1.0,1.0
Li X et al. 2024,Biochar,shi_2022,1,18,18,18,1.0,1.0
Li X et al. 2024,Biochar,wang_2012,1,20,20,0,0.0,1.0
Li X et al. 2024,Biochar,wei_2022,1,12,16,12,1.0,1.0
Li X et al. 2024,Biochar,xie_2021,1,42,42,0,0.0,1.0
Li X et al. 2024,Biochar,yeboah_2018,1,15,15,9,0.6,1.0
Li X et al. 2024,Biochar,zhang_2021,1,6,15,0,0.0,2.5
Li X et al. 2024,Biochar,zhang_j_2019,1,12,12,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b01_ali_2018,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b02_bisseleua_2017,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b03_borkhataria_2012,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b04_classen_2014,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b05_garfinkel_2015,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b06_garfinkel_2020,1,2,2,2,1.0,1.0
Boldorini et al. 2024,Boldorini,b07_gras_2016,1,2,2,1,0.5,1.0
Boldorini et al. 2024,Boldorini,b08_hooks_2003,1,4,4,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b09_ismoilov_2020,1,1,1,1,1.0,1.0
Boldorini et al. 2024,Boldorini,b10_lang_2003,1,9,9,3,0.3333333333333333,1.0
Boldorini et al. 2024,Boldorini,b11_libran-embid_2017,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b13_maas_2013,1,2,2,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b14_martin_2013,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b15_mols_2002,1,1,1,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b16_saunders_2016,1,1,1,1,1.0,1.0
Boldorini et al. 2024,Boldorini,b17_snyder_2001,1,12,12,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b18_suenaga_2015,1,4,4,0,0.0,1.0
Boldorini et al. 2024,Boldorini,b19_vichitbandha_2002,1,1,1,1,1.0,1.0
Boldorini et al. 2024,Boldorini,liere_2015,0,1,1,0,0.0,1.0
Hui et al. 2025,Hui,bharti_2013,1,2,40,2,1.0,20.0
Hui et al. 2025,Hui,chattha_2017,1,3,18,3,1.0,6.0
Hui et al. 2025,Hui,erdal_2002,1,1,20,1,1.0,20.0
Hui et al. 2025,Hui,forster_2018,1,2,6,2,1.0,3.0
Hui et al. 2025,Hui,ghasal_2017,1,2,4,2,1.0,2.0
Hui et al. 2025,Hui,kalayci_1999,1,1,78,1,1.0,78.0
Hui et al. 2025,Hui,liu_2019,1,1,10,1,1.0,10.0
Hui et al. 2025,Hui,pahlavanrad_2009,1,2,3,2,1.0,1.5
Hui et al. 2025,Hui,peck_2008,1,2,18,2,1.0,9.0
Hui et al. 2025,Hui,ramzan_2020,1,2,4,2,1.0,2.0
Hui et al. 2025,Hui,rashid_2019,1,1,19,1,1.0,19.0
Hui et al. 2025,Hui,rehman_2018,1,2,58,1,0.5,29.0
Hui et al. 2025,Hui,wang_2012,1,3,21,3,1.0,6.0
