row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
001_Adekiya_2019__ai__0,ai,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,0,y2015,single_cell,kg/m2,absolute_control,0.24,0.24,Table 6,0,"T:Biochar 25 t/ha, no PM, 2015 || C:No biochar, no PM, 2015",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__1,ai,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,0,y2015,single_cell,kg/m2,absolute_control,0.32,0.24,Table 6,0,"T:Biochar 50 t/ha, no PM, 2015 || C:No biochar, no PM, 2015",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__2,ai,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,0,y2016,single_cell,kg/m2,absolute_control,0.26,0.25,Table 6,0,"T:Biochar 25 t/ha, no PM, 2016 || C:No biochar, no PM, 2016",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__3,ai,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,0,y2016,single_cell,kg/m2,absolute_control,0.28,0.25,Table 6,0,"T:Biochar 50 t/ha, no PM, 2016 || C:No biochar, no PM, 2016",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__4,ai,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,2.5,y2015,single_cell,kg/m2,cofactor_matched_control,0.63,0.56,Table 6,0,"T:Biochar 25 t/ha + PM 2.5 t/ha, 2015 || C:No biochar + PM 2.5 t/ha, 2015",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__5,ai,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,2.5,y2015,single_cell,kg/m2,cofactor_matched_control,0.69,0.56,Table 6,0,"T:Biochar 50 t/ha + PM 2.5 t/ha, 2015 || C:No biochar + PM 2.5 t/ha, 2015",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__6,ai,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,5,y2015,single_cell,kg/m2,cofactor_matched_control,0.69,0.66,Table 6,0,"T:Biochar 25 t/ha + PM 5 t/ha, 2015 || C:No biochar + PM 5 t/ha, 2015",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__7,ai,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,5,y2015,single_cell,kg/m2,cofactor_matched_control,0.77,0.66,Table 6,0,"T:Biochar 50 t/ha + PM 5 t/ha, 2015 || C:No biochar + PM 5 t/ha, 2015",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__8,ai,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,2.5,y2016,single_cell,kg/m2,cofactor_matched_control,0.76,0.63,Table 6,0,"T:Biochar 25 t/ha + PM 2.5 t/ha, 2016 || C:No biochar + PM 2.5 t/ha, 2016",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__9,ai,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,2.5,y2016,single_cell,kg/m2,cofactor_matched_control,0.86,0.63,Table 6,0,"T:Biochar 50 t/ha + PM 2.5 t/ha, 2016 || C:No biochar + PM 2.5 t/ha, 2016",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__10,ai,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,5,y2016,single_cell,kg/m2,cofactor_matched_control,0.85,0.74,Table 6,0,"T:Biochar 25 t/ha + PM 5 t/ha, 2016 || C:No biochar + PM 5 t/ha, 2016",rebuild_2026-08-19/biochar
001_Adekiya_2019__ai__11,ai,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,5,y2016,single_cell,kg/m2,cofactor_matched_control,0.98,0.74,Table 6,0,"T:Biochar 50 t/ha + PM 5 t/ha, 2016 || C:No biochar + PM 5 t/ha, 2016",rebuild_2026-08-19/biochar
