row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
016_Li_B_2016__ai__1,ai,016_Li_B_2016,crop_yield,amaranth,20,nitrogen,0,season1,single_cell,t/ha,absolute_control,21.5,17.1,Table 5,0,"Table 5 cell N0C1 season 1: 21.5(cid:3)4.1bc; control N0C0 season 1: 17.1(cid:3)2.0cde. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__2,ai,016_Li_B_2016,crop_yield,amaranth,40,nitrogen,0,season1,single_cell,t/ha,absolute_control,15.3,17.1,Table 5,0,"Table 5 cell N0C2 season 1: 15.3(cid:3)2.7def; control N0C0 season 1: 17.1(cid:3)2.0cde. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__3,ai,016_Li_B_2016,crop_yield,water_spinach,20,nitrogen,0,season2,single_cell,t/ha,absolute_control,96.5,92.5,Table 5,0,"Table 5 cell N0C1 season 2: 96.5(cid:3)7.3bc; control N0C0 season 2: 92.5(cid:3)3.1cd. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__4,ai,016_Li_B_2016,crop_yield,water_spinach,40,nitrogen,0,season2,single_cell,t/ha,absolute_control,77.3,92.5,Table 5,0,"Table 5 cell N0C2 season 2: 77.3(cid:3)9.9e; control N0C0 season 2: 92.5(cid:3)3.1cd. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__5,ai,016_Li_B_2016,crop_yield,pak_choi,20,nitrogen,0,season3,single_cell,t/ha,absolute_control,18.0,18.9,Table 5,0,"Table 5 cell N0C1 season 3: 18.0(cid:3)4.3cd; control N0C0 season 3: 18.9(cid:3)5.7cd. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__6,ai,016_Li_B_2016,crop_yield,pak_choi,40,nitrogen,0,season3,single_cell,t/ha,absolute_control,41.4,18.9,Table 5,0,"Table 5 cell N0C2 season 3: 41.4(cid:3)11.6b; control N0C0 season 3: 18.9(cid:3)5.7cd. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__7,ai,016_Li_B_2016,crop_yield,coriander,20,nitrogen,0,season4,single_cell,t/ha,absolute_control,27.6,17.7,Table 5,0,"Table 5 cell N0C1 season 4: 27.6(cid:3)1.4ab; control N0C0 season 4: 17.7(cid:3)5.0ef. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__8,ai,016_Li_B_2016,crop_yield,coriander,40,nitrogen,0,season4,single_cell,t/ha,absolute_control,27.8,17.7,Table 5,0,"Table 5 cell N0C2 season 4: 27.8(cid:3)1.8ab; control N0C0 season 4: 17.7(cid:3)5.0ef. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__9,ai,016_Li_B_2016,crop_yield,water_spinach,20,nitrogen,0,season5,single_cell,t/ha,absolute_control,112.6,97.0,Table 5,0,"Table 5 cell N0C1 season 5: 112.6(cid:3)1.7cd; control N0C0 season 5: 97.0(cid:3)13.5d. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__10,ai,016_Li_B_2016,crop_yield,water_spinach,40,nitrogen,0,season5,single_cell,t/ha,absolute_control,95.8,97.0,Table 5,0,"Table 5 cell N0C2 season 5: 95.8(cid:3)3.8d; control N0C0 season 5: 97.0(cid:3)13.5d. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
016_Li_B_2016__ai__11,ai,016_Li_B_2016,crop_yield,pak_choi,20,nitrogen,0,season6,single_cell,t/ha,absolute_control,17.7,16.6,Table 5,0,"Table 5 cell N0C1 season 6: 17.7(cid:3)6.5c; control N0C0 season 6: 16.6(cid:3)1.5c. Footnote: 'Means ± SD ... three replicates'. Biochar rates 0/20/40 t/ha (C0/C1/C2); N rates N0=0, N1=1233, N2=1644 kg N/ha/yr.",claude-opus-4-8
