row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
021_Nobile_2022__ai__0,ai,021_Nobile_2022,crop_yield,maize,0,compost,8,y2019,single_cell,t/ha,absolute_control,8,8,Figure 3a (Indre 2019 maize),1,"T:Compost alone (8 t/ha), Indre, maize 2019 || C:Mineral fertilizer (MF), Indre, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__1,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,10,8,Figure 3a (Indre 2019 maize),1,"T:Comp + B-RS (compost + rapeseed biochar 4 t/ha), Indre, maize 2019 || C:Mineral fertilizer (MF), Indre, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__2,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,10,8,Figure 3a (Indre 2019 maize),1,"T:Comp + B-Misc (compost + Miscanthus biochar 4 t/ha), Indre, maize 2019 || C:Mineral fertilizer (MF), Indre, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__3,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,10,8,Figure 3a (Indre 2019 maize),1,"T:Comp + B-Ref (compost + green waste residue biochar 4 t/ha), Indre, maize 2019 || C:Mineral fertilizer (MF), Indre, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__4,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,13,12,Figure 3b (Oise 2019 maize),1,"T:Comp + B-RS (compost + rapeseed biochar 4 t/ha), Oise, maize 2019 || C:Mineral fertilizer (MF), Oise, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__5,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,13,12,Figure 3b (Oise 2019 maize),1,"T:Comp + B-Misc (compost + Miscanthus biochar 4 t/ha), Oise, maize 2019 || C:Mineral fertilizer (MF), Oise, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__6,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,15,12,Figure 3b (Oise 2019 maize),1,"T:Comp + B-Ref (compost + green waste residue biochar 4 t/ha), Oise, maize 2019 || C:Mineral fertilizer (MF), Oise, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__7,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,22,22,Figure 3c (Haut-Rhin 2019 maize),1,"T:Comp + B-RS (compost + rapeseed biochar 4 t/ha), Haut-Rhin, maize 2019 || C:Mineral fertilizer (MF), Haut-Rhin, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__8,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,22,22,Figure 3c (Haut-Rhin 2019 maize),1,"T:Comp + B-Misc (compost + Miscanthus biochar 4 t/ha), Haut-Rhin, maize 2019 || C:Mineral fertilizer (MF), Haut-Rhin, maize 2019",rebuild_2026-08-19/biochar
021_Nobile_2022__ai__9,ai,021_Nobile_2022,crop_yield,maize,4,compost,8,y2019,single_cell,t/ha,absolute_control,22,22,Figure 3c (Haut-Rhin 2019 maize),1,"T:Comp + B-Ref (compost + green waste residue biochar 4 t/ha), Haut-Rhin, maize 2019 || C:Mineral fertilizer (MF), Haut-Rhin, maize 2019",rebuild_2026-08-19/biochar
