row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
041_Guerena_2013__ai__0,ai,041_Guerena_2013,crop_yield,maize,3,nitrogen_fertilizer,90pct,y2007,single_cell,t/ha,"No biochar, 90% N, 2007",4.11,4.74,Table 2,0,"T:Biochar 3 t/ha, 90% N, 2007 || C:No biochar, 90% N, 2007",ai-decode
041_Guerena_2013__ai__1,ai,041_Guerena_2013,crop_yield,maize,12,nitrogen_fertilizer,90pct,y2007,single_cell,t/ha,"No biochar, 90% N, 2007",4.19,4.74,Table 2,0,"T:Biochar 12 t/ha, 90% N, 2007 || C:No biochar, 90% N, 2007",ai-decode
041_Guerena_2013__ai__2,ai,041_Guerena_2013,crop_yield,maize,30,nitrogen_fertilizer,90pct,y2007,single_cell,t/ha,"No biochar, 90% N, 2007",4.02,4.74,Table 2,0,"T:Biochar 30 t/ha, 90% N, 2007 || C:No biochar, 90% N, 2007",ai-decode
041_Guerena_2013__ai__3,ai,041_Guerena_2013,crop_yield,maize,1,nitrogen_fertilizer,90pct,y2007,single_cell,t/ha,"No biochar, 90% N, 2007",4.05,4.74,Table 2,0,"T:Biochar 1 t/ha annually, 90% N, 2007 || C:No biochar, 90% N, 2007",ai-decode
041_Guerena_2013__ai__4,ai,041_Guerena_2013,crop_yield,maize,3,nitrogen_fertilizer,90pct,y2008,single_cell,t/ha,"No biochar, 90% N, 2008",7.8,9.26,Table 2,0,"T:Biochar 3 t/ha, 90% N, 2008 || C:No biochar, 90% N, 2008",ai-decode
041_Guerena_2013__ai__5,ai,041_Guerena_2013,crop_yield,maize,12,nitrogen_fertilizer,90pct,y2008,single_cell,t/ha,"No biochar, 90% N, 2008",8.14,9.26,Table 2,0,"T:Biochar 12 t/ha, 90% N, 2008 || C:No biochar, 90% N, 2008",ai-decode
041_Guerena_2013__ai__6,ai,041_Guerena_2013,crop_yield,maize,30,nitrogen_fertilizer,90pct,y2008,single_cell,t/ha,"No biochar, 90% N, 2008",7.66,9.26,Table 2,0,"T:Biochar 30 t/ha, 90% N, 2008 || C:No biochar, 90% N, 2008",ai-decode
041_Guerena_2013__ai__7,ai,041_Guerena_2013,crop_yield,maize,1,nitrogen_fertilizer,90pct,y2008,single_cell,t/ha,"No biochar, 90% N, 2008",7.48,9.26,Table 2,0,"T:Biochar 1 t/ha annually, 90% N, 2008 || C:No biochar, 90% N, 2008",ai-decode
041_Guerena_2013__ai__8,ai,041_Guerena_2013,crop_yield,maize,3,nitrogen_fertilizer,90pct,y2009,single_cell,t/ha,"No biochar, 90% N, 2009",8.51,8.5,Table 2,0,"T:Biochar 3 t/ha, 90% N, 2009 || C:No biochar, 90% N, 2009",ai-decode
041_Guerena_2013__ai__9,ai,041_Guerena_2013,crop_yield,maize,12,nitrogen_fertilizer,90pct,y2009,single_cell,t/ha,"No biochar, 90% N, 2009",7.93,8.5,Table 2,0,"T:Biochar 12 t/ha, 90% N, 2009 || C:No biochar, 90% N, 2009",ai-decode
041_Guerena_2013__ai__10,ai,041_Guerena_2013,crop_yield,maize,30,nitrogen_fertilizer,90pct,y2009,single_cell,t/ha,"No biochar, 90% N, 2009",6.59,8.5,Table 2,0,"T:Biochar 30 t/ha, 90% N, 2009 || C:No biochar, 90% N, 2009",ai-decode
041_Guerena_2013__ai__11,ai,041_Guerena_2013,crop_yield,maize,1,nitrogen_fertilizer,90pct,y2009,single_cell,t/ha,"No biochar, 90% N, 2009",8.56,8.5,Table 2,0,"T:Biochar 1 t/ha annually, 90% N, 2009 || C:No biochar, 90% N, 2009",ai-decode
041_Guerena_2013__ai__12,ai,041_Guerena_2013,crop_yield,maize,3,nitrogen_fertilizer,90pct,y2010,single_cell,t/ha,"No biochar, 90% N, 2010",8.6,8.69,Table 2,0,"T:Biochar 3 t/ha, 90% N, 2010 || C:No biochar, 90% N, 2010",ai-decode
041_Guerena_2013__ai__13,ai,041_Guerena_2013,crop_yield,maize,12,nitrogen_fertilizer,90pct,y2010,single_cell,t/ha,"No biochar, 90% N, 2010",8.62,8.69,Table 2,0,"T:Biochar 12 t/ha, 90% N, 2010 || C:No biochar, 90% N, 2010",ai-decode
041_Guerena_2013__ai__14,ai,041_Guerena_2013,crop_yield,maize,30,nitrogen_fertilizer,90pct,y2010,single_cell,t/ha,"No biochar, 90% N, 2010",7.81,8.69,Table 2,0,"T:Biochar 30 t/ha, 90% N, 2010 || C:No biochar, 90% N, 2010",ai-decode
041_Guerena_2013__ai__15,ai,041_Guerena_2013,crop_yield,maize,1,nitrogen_fertilizer,90pct,y2010,single_cell,t/ha,"No biochar, 90% N, 2010",9.08,8.69,Table 2,0,"T:Biochar 1 t/ha annually, 90% N, 2010 || C:No biochar, 90% N, 2010",ai-decode
