row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
063_Asai_2009__ai__0,ai,063_Asai_2009,crop_yield,rice,4,none,0,hk1_apo,single_cell,t/ha,absolute_control,2.3,3,Table 3,0,"T:Biochar 4 t/ha, no N, Apo cultivar, HK1 || C:No biochar, no N, Apo cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__1,ai,063_Asai_2009,crop_yield,rice,8,none,0,hk1_apo,single_cell,t/ha,absolute_control,2.7,3,Table 3,0,"T:Biochar 8 t/ha, no N, Apo cultivar, HK1 || C:No biochar, no N, Apo cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__2,ai,063_Asai_2009,crop_yield,rice,16,none,0,hk1_apo,single_cell,t/ha,absolute_control,2.2,3,Table 3,0,"T:Biochar 16 t/ha, no N, Apo cultivar, HK1 || C:No biochar, no N, Apo cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__3,ai,063_Asai_2009,crop_yield,rice,4,nitrogen,50,hk1_apo,single_cell,t/ha,cofactor_matched_control,3.2,2.8,Table 3,0,"T:Biochar 4 t/ha + N 50 kg/ha, Apo cultivar, HK1 || C:No biochar + N 50 kg/ha, Apo cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__4,ai,063_Asai_2009,crop_yield,rice,8,nitrogen,50,hk1_apo,single_cell,t/ha,cofactor_matched_control,3.3,2.8,Table 3,0,"T:Biochar 8 t/ha + N 50 kg/ha, Apo cultivar, HK1 || C:No biochar + N 50 kg/ha, Apo cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__5,ai,063_Asai_2009,crop_yield,rice,16,nitrogen,50,hk1_apo,single_cell,t/ha,cofactor_matched_control,2.7,2.8,Table 3,0,"T:Biochar 16 t/ha + N 50 kg/ha, Apo cultivar, HK1 || C:No biochar + N 50 kg/ha, Apo cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__6,ai,063_Asai_2009,crop_yield,rice,4,none,0,hk1_vieng,single_cell,t/ha,absolute_control,0.5,0.7,Table 3,0,"T:Biochar 4 t/ha, no N, Vieng cultivar, HK1 || C:No biochar, no N, Vieng cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__7,ai,063_Asai_2009,crop_yield,rice,8,none,0,hk1_vieng,single_cell,t/ha,absolute_control,0.8,0.7,Table 3,0,"T:Biochar 8 t/ha, no N, Vieng cultivar, HK1 || C:No biochar, no N, Vieng cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__8,ai,063_Asai_2009,crop_yield,rice,4,nitrogen,50,hk1_vieng,single_cell,t/ha,cofactor_matched_control,1.5,0.7,Table 3,0,"T:Biochar 4 t/ha + N 50 kg/ha, Vieng cultivar, HK1 || C:No biochar + N 50 kg/ha, Vieng cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__9,ai,063_Asai_2009,crop_yield,rice,8,nitrogen,50,hk1_vieng,single_cell,t/ha,cofactor_matched_control,1,0.7,Table 3,0,"T:Biochar 8 t/ha + N 50 kg/ha, Vieng cultivar, HK1 || C:No biochar + N 50 kg/ha, Vieng cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__10,ai,063_Asai_2009,crop_yield,rice,16,nitrogen,50,hk1_vieng,single_cell,t/ha,cofactor_matched_control,0.8,0.7,Table 3,0,"T:Biochar 16 t/ha + N 50 kg/ha, Vieng cultivar, HK1 || C:No biochar + N 50 kg/ha, Vieng cultivar, HK1",rebuild_2026-08-19/biochar
063_Asai_2009__ai__11,ai,063_Asai_2009,crop_yield,rice,8,none,0,LO2,single_cell,t/ha,absolute_control,4.7,4.2,Table 3,0,"T:Biochar 8 t/ha, no N, Apo cultivar, LO2 || C:No biochar, no N, Apo cultivar, LO2",rebuild_2026-08-19/biochar
063_Asai_2009__ai__12,ai,063_Asai_2009,crop_yield,rice,8,none,0,HK3,single_cell,t/ha,absolute_control,2.2,1.8,Table 3,0,"T:Biochar 8 t/ha, no N, Apo cultivar, HK3 || C:No biochar, no N, Apo cultivar, HK3",rebuild_2026-08-19/biochar
063_Asai_2009__ai__13,ai,063_Asai_2009,crop_yield,rice,8,none,0,LO3,single_cell,t/ha,absolute_control,2.7,2.4,Table 3,0,"T:Biochar 8 t/ha, no N, Apo cultivar, LO3 || C:No biochar, no N, Apo cultivar, LO3",rebuild_2026-08-19/biochar
063_Asai_2009__ai__14,ai,063_Asai_2009,crop_yield,rice,8,none,0,HK2,single_cell,t/ha,absolute_control,4.3,4.8,Table 3,0,"T:Biochar 8 t/ha, no N, Apo cultivar, HK2 || C:No biochar, no N, Apo cultivar, HK2",rebuild_2026-08-19/biochar
