row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
078_Wang_2012__ai__0,ai,078_Wang_2012,crop_yield,rice,25,nitrogen,0,pooled,single_cell,g/pot,absolute_control,145,140,Fig. 2a (estimated from bar chart),1,T:B1 Nil N upland || C:B0 Nil N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__1,ai,078_Wang_2012,crop_yield,rice,50,nitrogen,0,pooled,single_cell,g/pot,absolute_control,145,140,Fig. 2a (estimated from bar chart),1,T:B2 Nil N upland || C:B0 Nil N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__2,ai,078_Wang_2012,crop_yield,rice,25,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,440,370,Fig. 2a (estimated from bar chart),1,T:B1 N upland || C:B0 N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__3,ai,078_Wang_2012,crop_yield,rice,50,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,500,370,Fig. 2a (estimated from bar chart),1,T:B2 N upland || C:B0 N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__4,ai,078_Wang_2012,crop_yield,rice,25,nitrogen,0,pooled,single_cell,g/pot,absolute_control,60,55,Fig. 2b (estimated from bar chart),1,T:B1 Nil N paddy || C:B0 Nil N paddy,rebuild_2026-08-19/biochar
078_Wang_2012__ai__5,ai,078_Wang_2012,crop_yield,rice,50,nitrogen,0,pooled,single_cell,g/pot,absolute_control,60,55,Fig. 2b (estimated from bar chart),1,T:B2 Nil N paddy || C:B0 Nil N paddy,rebuild_2026-08-19/biochar
078_Wang_2012__ai__6,ai,078_Wang_2012,crop_yield,rice,25,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,210,195,Fig. 2b (estimated from bar chart),1,T:B1 N paddy || C:B0 N paddy,rebuild_2026-08-19/biochar
078_Wang_2012__ai__7,ai,078_Wang_2012,crop_yield,rice,50,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,240,195,Fig. 2b (estimated from bar chart),1,T:B2 N paddy || C:B0 N paddy,rebuild_2026-08-19/biochar
078_Wang_2012__ai__8,ai,078_Wang_2012,crop_yield,wheat,25,nitrogen,0,pooled,single_cell,g/pot,absolute_control,48,45,Fig. 2c (estimated from bar chart),1,T:B1 Nil N upland || C:B0 Nil N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__9,ai,078_Wang_2012,crop_yield,wheat,50,nitrogen,0,pooled,single_cell,g/pot,absolute_control,48,45,Fig. 2c (estimated from bar chart),1,T:B2 Nil N upland || C:B0 Nil N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__10,ai,078_Wang_2012,crop_yield,wheat,25,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,130,120,Fig. 2c (estimated from bar chart),1,T:B1 N upland || C:B0 N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__11,ai,078_Wang_2012,crop_yield,wheat,50,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,155,120,Fig. 2c (estimated from bar chart),1,T:B2 N upland || C:B0 N upland,rebuild_2026-08-19/biochar
078_Wang_2012__ai__12,ai,078_Wang_2012,crop_yield,wheat,25,nitrogen,0,pooled,single_cell,g/pot,absolute_control,25,22,Fig. 2d (estimated from bar chart),1,T:B1 Nil N paddy || C:B0 Nil N paddy,rebuild_2026-08-19/biochar
078_Wang_2012__ai__13,ai,078_Wang_2012,crop_yield,wheat,50,nitrogen,0,pooled,single_cell,g/pot,absolute_control,25,22,Fig. 2d (estimated from bar chart),1,T:B2 Nil N paddy || C:B0 Nil N paddy,rebuild_2026-08-19/biochar
078_Wang_2012__ai__14,ai,078_Wang_2012,crop_yield,wheat,25,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,62,50,Fig. 2d (estimated from bar chart),1,T:B1 N paddy || C:B0 N paddy,rebuild_2026-08-19/biochar
078_Wang_2012__ai__15,ai,078_Wang_2012,crop_yield,wheat,50,nitrogen,200,pooled,single_cell,g/pot,cofactor_matched_control,75,50,Fig. 2d (estimated from bar chart),1,T:B2 N paddy || C:B0 N paddy,rebuild_2026-08-19/biochar
