row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
081_Deenik_2010__ai__1,ai,081_Deenik_2010,crop_yield,lettuce,5,none,0,pooled,single_cell,g/pot,absolute_control,7.5,8,Fig. 1a (estimated from bar chart),1,Soil + MNS 5% vs Soil; biochar_pct=5; fert=none; feedstock=macadamia nut shell; exp=Exp 1 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__2,ai,081_Deenik_2010,crop_yield,lettuce,10,none,0,pooled,single_cell,g/pot,absolute_control,6.2,8,Fig. 1a (estimated from bar chart); text says -22.5%,1,Soil + MNS 10% vs Soil; biochar_pct=10; fert=none; feedstock=macadamia nut shell; exp=Exp 1 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__3,ai,081_Deenik_2010,crop_yield,lettuce,20,none,0,pooled,single_cell,g/pot,absolute_control,2.1,8,Fig. 1a (estimated from bar chart); text says -73.2%,1,Soil + MNS 20% vs Soil; biochar_pct=20; fert=none; feedstock=macadamia nut shell; exp=Exp 1 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__4,ai,081_Deenik_2010,crop_yield,lettuce,5,nitrogen_fertilizer,present,pooled,single_cell,g/pot,cofactor_matched_control,8,8.5,Fig. 1a (estimated from bar chart),1,Soil + MNS 5% + F vs Soil + F; biochar_pct=5; fert=+N fertilizer; feedstock=macadamia nut shell; exp=Exp 1 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__5,ai,081_Deenik_2010,crop_yield,lettuce,10,nitrogen_fertilizer,present,pooled,single_cell,g/pot,cofactor_matched_control,7.2,8.5,Fig. 1a (estimated from bar chart),1,Soil + MNS 10% + F vs Soil + F; biochar_pct=10; fert=+N fertilizer; feedstock=macadamia nut shell; exp=Exp 1 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__6,ai,081_Deenik_2010,crop_yield,lettuce,20,nitrogen_fertilizer,present,pooled,single_cell,g/pot,cofactor_matched_control,6.5,8.5,Fig. 1a (estimated from bar chart),1,Soil + MNS 20% + F vs Soil + F; biochar_pct=20; fert=+N fertilizer; feedstock=macadamia nut shell; exp=Exp 1 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__7,ai,081_Deenik_2010,crop_yield,corn,5,none,0,pooled,single_cell,g/pot,absolute_control,12.5,13,Fig. 1b (estimated from bar chart),1,Soil + MNS 5% vs Soil; biochar_pct=5; fert=none; feedstock=macadamia nut shell; exp=Exp 2 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__8,ai,081_Deenik_2010,crop_yield,corn,10,none,0,pooled,single_cell,g/pot,absolute_control,7.2,13,Fig. 1b (estimated from bar chart); text says -45%,1,Soil + MNS 10% vs Soil; biochar_pct=10; fert=none; feedstock=macadamia nut shell; exp=Exp 2 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__9,ai,081_Deenik_2010,crop_yield,corn,20,none,0,pooled,single_cell,g/pot,absolute_control,7.9,13,Fig. 1b (estimated from bar chart); text says -39%,1,Soil + MNS 20% vs Soil; biochar_pct=20; fert=none; feedstock=macadamia nut shell; exp=Exp 2 - Waimea Andisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__10,ai,081_Deenik_2010,crop_yield,corn,5,none,0,pooled,single_cell,g/pot,absolute_control,0.8,0.7,Fig. 2 (estimated from bar chart),1,S+C (charcoal 5%) vs S (soil only); biochar_pct=5; fert=none; feedstock=macadamia nut shell; exp=Exp 3 - Leilehua Ultisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__11,ai,081_Deenik_2010,crop_yield,corn,5,lime_npk_fertilizer,present,pooled,single_cell,g/pot,cofactor_matched_control,2.5,4.2,Fig. 2 (estimated from bar chart); text says charcoal+fertilizer decreased corn growth by 50% vs fertilized,1,S+L+C+F vs S+L+F; biochar_pct=5; fert=+lime+fertilizer (NPK); feedstock=macadamia nut shell; exp=Exp 3 - Leilehua Ultisol,rebuild_2026-08-19/biochar
081_Deenik_2010__ai__12,ai,081_Deenik_2010,crop_yield,corn,10,none,0,pooled,single_cell,g/pot,absolute_control,0.08,0.08,Fig. 3 (estimated from bar chart); text says high-VM reduced DM significantly,1,"S+HVM (high-VM charcoal 10%) vs S (soil only); biochar_pct=10; fert=none; feedstock=macadamia nut shell (high-VM, ~430C); exp=Exp 4 - Leilehua Ultisol (VM experiment)",rebuild_2026-08-19/biochar
081_Deenik_2010__ai__13,ai,081_Deenik_2010,crop_yield,corn,10,none,0,pooled,single_cell,g/pot,absolute_control,0.08,0.08,Fig. 3 (estimated from bar chart); low-VM had no significant effect,1,"S+LVM (low-VM charcoal 10%) vs S (soil only); biochar_pct=10; fert=none; feedstock=macadamia nut shell (low-VM, ~650C); exp=Exp 4 - Leilehua Ultisol (VM experiment)",rebuild_2026-08-19/biochar
081_Deenik_2010__ai__14,ai,081_Deenik_2010,crop_yield,corn,10,lime_npk_fertilizer,present,pooled,single_cell,g/pot,cofactor_matched_control,0.37,0.3,Fig. 3 (estimated from bar chart); text says low-VM charcoal with fertilizer significantly increased DM,1,"S+LVM+F (low-VM + fertilizer) vs S+L+F; biochar_pct=10; fert=+lime+fertilizer (NPK); feedstock=macadamia nut shell (low-VM, ~650C); exp=Exp 4 - Leilehua Ultisol (VM experiment)",rebuild_2026-08-19/biochar
