row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
082_Jose_2013__ai__1,ai,082_Jose_2013,crop_yield,wheat,0.5,none,0,pooled,single_cell,g/pot,absolute_control,0.22,0.2,Fig. 2 (estimated from line graph),1,OPB 0.5% F0 vs 0% F0; biochar_type=OPB (olive tree pruning); biochar_pct=0.5; fert=F0 (none),rebuild_2026-08-19/biochar
082_Jose_2013__ai__2,ai,082_Jose_2013,crop_yield,wheat,1,none,0,pooled,single_cell,g/pot,absolute_control,0.28,0.2,Fig. 2 (estimated from line graph); text says -3 to 42% range,1,OPB 1.0% F0 vs 0% F0; biochar_type=OPB (olive tree pruning); biochar_pct=1.0; fert=F0 (none),rebuild_2026-08-19/biochar
082_Jose_2013__ai__3,ai,082_Jose_2013,crop_yield,wheat,2.5,none,0,pooled,single_cell,g/pot,absolute_control,0.25,0.2,Fig. 2 (estimated from line graph),1,OPB 2.5% F0 vs 0% F0; biochar_type=OPB (olive tree pruning); biochar_pct=2.5; fert=F0 (none),rebuild_2026-08-19/biochar
082_Jose_2013__ai__4,ai,082_Jose_2013,crop_yield,wheat,0.5,mineral_fertilizer,40,pooled,single_cell,g/pot,cofactor_matched_control,0.6,0.55,Fig. 2 (estimated from line graph),1,OPB 0.5% F40 vs 0% F40; biochar_type=OPB (olive tree pruning); biochar_pct=0.5; fert=F40 (40% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__5,ai,082_Jose_2013,crop_yield,wheat,1,mineral_fertilizer,40,pooled,single_cell,g/pot,cofactor_matched_control,0.72,0.55,Fig. 2 (estimated from line graph),1,OPB 1.0% F40 vs 0% F40; biochar_type=OPB (olive tree pruning); biochar_pct=1.0; fert=F40 (40% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__6,ai,082_Jose_2013,crop_yield,wheat,2.5,mineral_fertilizer,40,pooled,single_cell,g/pot,cofactor_matched_control,0.8,0.55,Fig. 2 (estimated from line graph),1,OPB 2.5% F40 vs 0% F40; biochar_type=OPB (olive tree pruning); biochar_pct=2.5; fert=F40 (40% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__7,ai,082_Jose_2013,crop_yield,wheat,0.5,mineral_fertilizer,100,pooled,single_cell,g/pot,cofactor_matched_control,1.05,0.95,Fig. 2 (estimated from line graph),1,OPB 0.5% F100 vs 0% F100; biochar_type=OPB (olive tree pruning); biochar_pct=0.5; fert=F100 (100% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__8,ai,082_Jose_2013,crop_yield,wheat,1,mineral_fertilizer,100,pooled,single_cell,g/pot,cofactor_matched_control,1.1,0.95,Fig. 2 (estimated from line graph),1,OPB 1.0% F100 vs 0% F100; biochar_type=OPB (olive tree pruning); biochar_pct=1.0; fert=F100 (100% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__9,ai,082_Jose_2013,crop_yield,wheat,2.5,mineral_fertilizer,100,pooled,single_cell,g/pot,cofactor_matched_control,1.27,0.95,Fig. 2 (estimated from line graph); text says 33% over F100,1,OPB 2.5% F100 vs 0% F100; biochar_type=OPB (olive tree pruning); biochar_pct=2.5; fert=F100 (100% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__10,ai,082_Jose_2013,crop_yield,wheat,0.5,none,0,pooled,single_cell,g/pot,absolute_control,0.19,0.2,Fig. 2 (estimated from line graph); text says -3% to 42% range,1,WSB 0.5% F0 vs 0% F0; biochar_type=WSB (wheat straw); biochar_pct=0.5; fert=F0 (none),rebuild_2026-08-19/biochar
082_Jose_2013__ai__11,ai,082_Jose_2013,crop_yield,wheat,1,none,0,pooled,single_cell,g/pot,absolute_control,0.22,0.2,Fig. 2 (estimated from line graph),1,WSB 1.0% F0 vs 0% F0; biochar_type=WSB (wheat straw); biochar_pct=1.0; fert=F0 (none),rebuild_2026-08-19/biochar
082_Jose_2013__ai__12,ai,082_Jose_2013,crop_yield,wheat,2.5,none,0,pooled,single_cell,g/pot,absolute_control,0.23,0.2,Fig. 2 (estimated from line graph),1,WSB 2.5% F0 vs 0% F0; biochar_type=WSB (wheat straw); biochar_pct=2.5; fert=F0 (none),rebuild_2026-08-19/biochar
082_Jose_2013__ai__13,ai,082_Jose_2013,crop_yield,wheat,0.5,mineral_fertilizer,40,pooled,single_cell,g/pot,cofactor_matched_control,0.55,0.55,Fig. 2 (estimated from line graph),1,WSB 0.5% F40 vs 0% F40; biochar_type=WSB (wheat straw); biochar_pct=0.5; fert=F40 (40% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__14,ai,082_Jose_2013,crop_yield,wheat,1,mineral_fertilizer,40,pooled,single_cell,g/pot,cofactor_matched_control,0.58,0.55,Fig. 2 (estimated from line graph),1,WSB 1.0% F40 vs 0% F40; biochar_type=WSB (wheat straw); biochar_pct=1.0; fert=F40 (40% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__15,ai,082_Jose_2013,crop_yield,wheat,2.5,mineral_fertilizer,40,pooled,single_cell,g/pot,cofactor_matched_control,0.62,0.55,Fig. 2 (estimated from line graph),1,WSB 2.5% F40 vs 0% F40; biochar_type=WSB (wheat straw); biochar_pct=2.5; fert=F40 (40% mineral fertilization),rebuild_2026-08-19/biochar
082_Jose_2013__ai__16,ai,082_Jose_2013,crop_yield,wheat,0.5,mineral_fertilizer,100,pooled,single_cell,g/pot,cofactor_matched_control,0.95,0.95,Fig. 2 (estimated from line graph),1,WSB 0.5% F100 vs 0% F100; biochar_type=WSB (wheat straw); biochar_pct=0.5; fert=F100 (100% mineral fertilization),rebuild_2026-08-19/biochar
