row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
116_Farrell_2014__ai__1,ai,116_Farrell_2014,crop_yield,wheat,0.035,none,0,y2010,single_cell,kg/ha,absolute_control,1900,2100,Fig. 2 (estimated from bar chart),1,B (35 kg/ha banded) 0P 2010 vs A (no char) 0P 2010; biochar_tha=0.035; application=35 kg/ha banded; P=0 kg DAP/ha; season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__2,ai,116_Farrell_2014,crop_yield,wheat,0.175,none,0,y2010,single_cell,kg/ha,absolute_control,1800,2100,Fig. 2 (estimated from bar chart),1,C (175 kg/ha banded) 0P 2010 vs A (no char) 0P 2010; biochar_tha=0.175; application=175 kg/ha banded; P=0 kg DAP/ha; season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__3,ai,116_Farrell_2014,crop_yield,wheat,5,none,0,y2010,single_cell,kg/ha,absolute_control,1700,2100,Fig. 2 (estimated from bar chart),1,D (5 t/ha spread) 0P 2010 vs A (no char) 0P 2010; biochar_tha=5; application=5 t/ha surface spread; P=0 kg DAP/ha; season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__4,ai,116_Farrell_2014,crop_yield,wheat,0.035,phosphorus_dap,8.8,y2010,single_cell,kg/ha,cofactor_matched_control,2600,2700,Fig. 2 (estimated from bar chart),1,B (35 kg/ha banded) 35DAP 2010 vs A (no char) 35DAP 2010; biochar_tha=0.035; application=35 kg/ha banded; P=35 kg DAP/ha (8.8 kg P/ha); season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__5,ai,116_Farrell_2014,crop_yield,wheat,0.175,phosphorus_dap,8.8,y2010,single_cell,kg/ha,cofactor_matched_control,2800,2700,Fig. 2 (estimated from bar chart),1,C (175 kg/ha banded) 35DAP 2010 vs A (no char) 35DAP 2010; biochar_tha=0.175; application=175 kg/ha banded; P=35 kg DAP/ha (8.8 kg P/ha); season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__6,ai,116_Farrell_2014,crop_yield,wheat,5,phosphorus_dap,8.8,y2010,single_cell,kg/ha,cofactor_matched_control,2600,2700,Fig. 2 (estimated from bar chart),1,D (5 t/ha spread) 35DAP 2010 vs A (no char) 35DAP 2010; biochar_tha=5; application=5 t/ha surface spread; P=35 kg DAP/ha (8.8 kg P/ha); season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__7,ai,116_Farrell_2014,crop_yield,wheat,0.035,phosphorus_dap,17.6,y2010,single_cell,kg/ha,cofactor_matched_control,3100,3000,Fig. 2 (estimated from bar chart),1,B (35 kg/ha banded) 70DAP 2010 vs A (no char) 70DAP 2010; biochar_tha=0.035; application=35 kg/ha banded; P=70 kg DAP/ha (17.6 kg P/ha); season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__8,ai,116_Farrell_2014,crop_yield,wheat,0.175,phosphorus_dap,17.6,y2010,single_cell,kg/ha,cofactor_matched_control,3200,3000,Fig. 2 (estimated from bar chart),1,C (175 kg/ha banded) 70DAP 2010 vs A (no char) 70DAP 2010; biochar_tha=0.175; application=175 kg/ha banded; P=70 kg DAP/ha (17.6 kg P/ha); season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__9,ai,116_Farrell_2014,crop_yield,wheat,5,phosphorus_dap,17.6,y2010,single_cell,kg/ha,cofactor_matched_control,3100,3000,Fig. 2 (estimated from bar chart),1,D (5 t/ha spread) 70DAP 2010 vs A (no char) 70DAP 2010; biochar_tha=5; application=5 t/ha surface spread; P=70 kg DAP/ha (17.6 kg P/ha); season=2010,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__10,ai,116_Farrell_2014,crop_yield,wheat,0.035,none,0,y2011,single_cell,kg/ha,absolute_control,1500,1500,Fig. 2 (estimated from bar chart),1,B (35 kg/ha banded) 0P 2011 vs A (no char) 0P 2011; biochar_tha=0.035; application=35 kg/ha banded; P=0 kg DAP/ha; season=2011,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__11,ai,116_Farrell_2014,crop_yield,wheat,0.175,none,0,y2011,single_cell,kg/ha,absolute_control,1400,1500,Fig. 2 (estimated from bar chart),1,C (175 kg/ha banded) 0P 2011 vs A (no char) 0P 2011; biochar_tha=0.175; application=175 kg/ha banded; P=0 kg DAP/ha; season=2011,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__12,ai,116_Farrell_2014,crop_yield,wheat,5,none,0,y2011,single_cell,kg/ha,absolute_control,1300,1500,Fig. 2 (estimated from bar chart),1,D (5 t/ha spread) 0P 2011 vs A (no char) 0P 2011; biochar_tha=5; application=5 t/ha surface spread; P=0 kg DAP/ha; season=2011,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__13,ai,116_Farrell_2014,crop_yield,wheat,0.035,phosphorus_dap,8.8,y2011,single_cell,kg/ha,cofactor_matched_control,2000,2000,Fig. 2 (estimated from bar chart),1,B (35 kg/ha banded) 35DAP 2011 vs A (no char) 35DAP 2011; biochar_tha=0.035; application=35 kg/ha banded; P=35 kg DAP/ha (8.8 kg P/ha); season=2011,rebuild_2026-08-19/biochar
116_Farrell_2014__ai__14,ai,116_Farrell_2014,crop_yield,wheat,0.175,phosphorus_dap,8.8,y2011,single_cell,kg/ha,cofactor_matched_control,2100,2000,Fig. 2 (estimated from bar chart),1,C (175 kg/ha banded) 35DAP 2011 vs A (no char) 35DAP 2011; biochar_tha=0.175; application=175 kg/ha banded; P=35 kg DAP/ha (8.8 kg P/ha); season=2011,rebuild_2026-08-19/biochar
