row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
133_Pandit_2018__ai__1,ai,133_Pandit_2018,crop_yield,maize,5,none,0,y2014,single_cell,kg/ha,absolute_control,3100.0,3000.0,Fig 1a (approximate),1,5 t/ha BC vs 0 t/ha BC (control); biochar_tha=5; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__2,ai,133_Pandit_2018,crop_yield,maize,10,none,0,y2014,single_cell,kg/ha,absolute_control,3500.0,3000.0,Fig 1a (approximate),1,10 t/ha BC vs 0 t/ha BC (control); biochar_tha=10; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__3,ai,133_Pandit_2018,crop_yield,maize,15,none,0,y2014,single_cell,kg/ha,absolute_control,4000.0,3000.0,Fig 1a (approximate),1,15 t/ha BC vs 0 t/ha BC (control); biochar_tha=15; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__4,ai,133_Pandit_2018,crop_yield,maize,25,none,0,y2014,single_cell,kg/ha,absolute_control,4200.0,3000.0,Fig 1a (approximate),1,25 t/ha BC vs 0 t/ha BC (control); biochar_tha=25; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__5,ai,133_Pandit_2018,crop_yield,maize,40,none,0,y2014,single_cell,kg/ha,absolute_control,3000.0,3000.0,Fig 1a (approximate),1,40 t/ha BC vs 0 t/ha BC (control); biochar_tha=40; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__6,ai,133_Pandit_2018,crop_yield,maize,15,none,0,y2015,single_cell,kg/ha,absolute_control,5300.0,3500.0,text p1337 (exact),0,15 t/ha BC vs 0 t/ha BC (control); biochar_tha=15; year=Year 2 (2015); src=text,ai-decode
133_Pandit_2018__ai__7,ai,133_Pandit_2018,crop_yield,maize,25,none,0,y2015,single_cell,kg/ha,absolute_control,5200.0,3500.0,text p1337 (exact),0,25 t/ha BC vs 0 t/ha BC (control); biochar_tha=25; year=Year 2 (2015); src=text,ai-decode
133_Pandit_2018__ai__8,ai,133_Pandit_2018,crop_yield,maize,40,none,0,y2015,single_cell,kg/ha,absolute_control,6800.0,3500.0,text p1337 (exact),0,40 t/ha BC vs 0 t/ha BC (control); biochar_tha=40; year=Year 2 (2015); src=text,ai-decode
133_Pandit_2018__ai__9,ai,133_Pandit_2018,crop_yield,maize,5,none,0,y2015,single_cell,kg/ha,absolute_control,4300.0,3500.0,Fig 1a (approximate),1,5 t/ha BC vs 0 t/ha BC (control); biochar_tha=5; year=Year 2 (2015); src=figure,ai-decode
133_Pandit_2018__ai__10,ai,133_Pandit_2018,crop_yield,maize,10,none,0,y2015,single_cell,kg/ha,absolute_control,4500.0,3500.0,Fig 1a (approximate),1,10 t/ha BC vs 0 t/ha BC (control); biochar_tha=10; year=Year 2 (2015); src=figure,ai-decode
133_Pandit_2018__ai__11,ai,133_Pandit_2018,crop_yield,maize,5,none,0,y2016,single_cell,kg/ha,absolute_control,4500.0,3500.0,Fig 1a (approximate),1,5 t/ha BC vs 0 t/ha BC (control); biochar_tha=5; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__12,ai,133_Pandit_2018,crop_yield,maize,10,none,0,y2016,single_cell,kg/ha,absolute_control,5000.0,3500.0,Fig 1a (approximate),1,10 t/ha BC vs 0 t/ha BC (control); biochar_tha=10; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__13,ai,133_Pandit_2018,crop_yield,maize,15,none,0,y2016,single_cell,kg/ha,absolute_control,5000.0,3500.0,Fig 1a (approximate),1,15 t/ha BC vs 0 t/ha BC (control); biochar_tha=15; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__14,ai,133_Pandit_2018,crop_yield,maize,25,none,0,y2016,single_cell,kg/ha,absolute_control,5200.0,3500.0,Fig 1a (approximate),1,25 t/ha BC vs 0 t/ha BC (control); biochar_tha=25; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__15,ai,133_Pandit_2018,crop_yield,maize,40,none,0,y2016,single_cell,kg/ha,absolute_control,6000.0,3500.0,Fig 1a (approximate),1,40 t/ha BC vs 0 t/ha BC (control); biochar_tha=40; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__16,ai,133_Pandit_2018,crop_yield,mustard,15,none,0,y2015,single_cell,kg/ha,absolute_control,1020.0,520.0,text p1337 (exact),0,15 t/ha BC vs 0 t/ha BC (control); biochar_tha=15; year=Year 2 (2015); src=text,ai-decode
133_Pandit_2018__ai__17,ai,133_Pandit_2018,crop_yield,mustard,25,none,0,y2015,single_cell,kg/ha,absolute_control,1190.0,520.0,text p1337 (exact),0,25 t/ha BC vs 0 t/ha BC (control); biochar_tha=25; year=Year 2 (2015); src=text,ai-decode
133_Pandit_2018__ai__18,ai,133_Pandit_2018,crop_yield,mustard,40,none,0,y2015,single_cell,kg/ha,absolute_control,1220.0,520.0,text p1337 (exact),0,40 t/ha BC vs 0 t/ha BC (control); biochar_tha=40; year=Year 2 (2015); src=text,ai-decode
133_Pandit_2018__ai__19,ai,133_Pandit_2018,crop_yield,mustard,5,none,0,y2014,single_cell,kg/ha,absolute_control,550.0,500.0,Fig 1b (approximate),1,5 t/ha BC vs 0 t/ha BC (control); biochar_tha=5; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__20,ai,133_Pandit_2018,crop_yield,mustard,10,none,0,y2014,single_cell,kg/ha,absolute_control,600.0,500.0,Fig 1b (approximate),1,10 t/ha BC vs 0 t/ha BC (control); biochar_tha=10; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__21,ai,133_Pandit_2018,crop_yield,mustard,15,none,0,y2014,single_cell,kg/ha,absolute_control,650.0,500.0,Fig 1b (approximate),1,15 t/ha BC vs 0 t/ha BC (control); biochar_tha=15; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__22,ai,133_Pandit_2018,crop_yield,mustard,25,none,0,y2014,single_cell,kg/ha,absolute_control,600.0,500.0,Fig 1b (approximate),1,25 t/ha BC vs 0 t/ha BC (control); biochar_tha=25; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__23,ai,133_Pandit_2018,crop_yield,mustard,40,none,0,y2014,single_cell,kg/ha,absolute_control,550.0,500.0,Fig 1b (approximate),1,40 t/ha BC vs 0 t/ha BC (control); biochar_tha=40; year=Year 1 (2014); src=figure,ai-decode
133_Pandit_2018__ai__24,ai,133_Pandit_2018,crop_yield,mustard,5,none,0,y2015,single_cell,kg/ha,absolute_control,600.0,520.0,Fig 1b (approximate),1,5 t/ha BC vs 0 t/ha BC (control); biochar_tha=5; year=Year 2 (2015); src=figure,ai-decode
133_Pandit_2018__ai__25,ai,133_Pandit_2018,crop_yield,mustard,10,none,0,y2015,single_cell,kg/ha,absolute_control,800.0,520.0,Fig 1b (approximate),1,10 t/ha BC vs 0 t/ha BC (control); biochar_tha=10; year=Year 2 (2015); src=figure,ai-decode
133_Pandit_2018__ai__26,ai,133_Pandit_2018,crop_yield,mustard,5,none,0,y2016,single_cell,kg/ha,absolute_control,650.0,550.0,Fig 1b (approximate),1,5 t/ha BC vs 0 t/ha BC (control); biochar_tha=5; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__27,ai,133_Pandit_2018,crop_yield,mustard,10,none,0,y2016,single_cell,kg/ha,absolute_control,750.0,550.0,Fig 1b (approximate),1,10 t/ha BC vs 0 t/ha BC (control); biochar_tha=10; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__28,ai,133_Pandit_2018,crop_yield,mustard,15,none,0,y2016,single_cell,kg/ha,absolute_control,800.0,550.0,Fig 1b (approximate),1,15 t/ha BC vs 0 t/ha BC (control); biochar_tha=15; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__29,ai,133_Pandit_2018,crop_yield,mustard,25,none,0,y2016,single_cell,kg/ha,absolute_control,850.0,550.0,Fig 1b (approximate),1,25 t/ha BC vs 0 t/ha BC (control); biochar_tha=25; year=Year 3 (2016); src=figure,ai-decode
133_Pandit_2018__ai__30,ai,133_Pandit_2018,crop_yield,mustard,40,none,0,y2016,single_cell,kg/ha,absolute_control,1050.0,550.0,Fig 1b (approximate),1,40 t/ha BC vs 0 t/ha BC (control); biochar_tha=40; year=Year 3 (2016); src=figure,ai-decode
