row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
145_Omara_2020__ai__1,ai,145_Omara_2020,crop_yield,maize,5,nitrogen,50,y2018_efaw,single_cell,kg/ha,cofactor_matched_control,5710,4760,site Efaw,0,NBC: 50 kg N + 5 Mg B vs NF: 50 kg N + 0 Mg B (Trt 2); biochar_Mgha=5; N_kgha=50; site=Efaw; year=2018; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__2,ai,145_Omara_2020,crop_yield,maize,10,nitrogen,100,y2018_efaw,single_cell,kg/ha,cofactor_matched_control,6680,5840,site Efaw,0,NBC: 100 kg N + 10 Mg B vs NF: 100 kg N + 0 Mg B (Trt 3); biochar_Mgha=10; N_kgha=100; site=Efaw; year=2018; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__3,ai,145_Omara_2020,crop_yield,maize,15,nitrogen,150,y2018_efaw,single_cell,kg/ha,cofactor_matched_control,6430,7300,site Efaw,0,NBC: 150 kg N + 15 Mg B vs NF: 150 kg N + 0 Mg B (Trt 4); biochar_Mgha=15; N_kgha=150; site=Efaw; year=2018; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__4,ai,145_Omara_2020,crop_yield,maize,5,nitrogen,50,y2019_efaw,single_cell,kg/ha,cofactor_matched_control,1390,1590,site Efaw,0,NBC: 50 kg N + 5 Mg B vs NF: 50 kg N + 0 Mg B (Trt 2); biochar_Mgha=5; N_kgha=50; site=Efaw; year=2019; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__5,ai,145_Omara_2020,crop_yield,maize,10,nitrogen,100,y2019_efaw,single_cell,kg/ha,cofactor_matched_control,1650,1880,site Efaw,0,NBC: 100 kg N + 10 Mg B vs NF: 100 kg N + 0 Mg B (Trt 3); biochar_Mgha=10; N_kgha=100; site=Efaw; year=2019; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__6,ai,145_Omara_2020,crop_yield,maize,15,nitrogen,150,y2019_efaw,single_cell,kg/ha,cofactor_matched_control,1920,2290,site Efaw,0,NBC: 150 kg N + 15 Mg B vs NF: 150 kg N + 0 Mg B (Trt 4); biochar_Mgha=15; N_kgha=150; site=Efaw; year=2019; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__7,ai,145_Omara_2020,crop_yield,maize,5,nitrogen,50,y2018_lcb,single_cell,kg/ha,cofactor_matched_control,3460,3180,site LCB,0,NBC: 50 kg N + 5 Mg B vs NF: 50 kg N + 0 Mg B (Trt 2); biochar_Mgha=5; N_kgha=50; site=LCB; year=2018; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__8,ai,145_Omara_2020,crop_yield,maize,10,nitrogen,100,y2018_lcb,single_cell,kg/ha,cofactor_matched_control,4490,3550,site LCB,0,NBC: 100 kg N + 10 Mg B vs NF: 100 kg N + 0 Mg B (Trt 3); biochar_Mgha=10; N_kgha=100; site=LCB; year=2018; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__9,ai,145_Omara_2020,crop_yield,maize,15,nitrogen,150,y2018_lcb,single_cell,kg/ha,cofactor_matched_control,4970,3950,site LCB,0,NBC: 150 kg N + 15 Mg B vs NF: 150 kg N + 0 Mg B (Trt 4); biochar_Mgha=15; N_kgha=150; site=LCB; year=2018; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__10,ai,145_Omara_2020,crop_yield,maize,5,nitrogen,50,y2019_lcb,single_cell,kg/ha,cofactor_matched_control,1380,1090,site LCB,0,NBC: 50 kg N + 5 Mg B vs NF: 50 kg N + 0 Mg B (Trt 2); biochar_Mgha=5; N_kgha=50; site=LCB; year=2019; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__11,ai,145_Omara_2020,crop_yield,maize,10,nitrogen,100,y2019_lcb,single_cell,kg/ha,cofactor_matched_control,1720,1180,site LCB,0,NBC: 100 kg N + 10 Mg B vs NF: 100 kg N + 0 Mg B (Trt 3); biochar_Mgha=10; N_kgha=100; site=LCB; year=2019; src=unknown,rebuild_2026-08-19/biochar
145_Omara_2020__ai__12,ai,145_Omara_2020,crop_yield,maize,15,nitrogen,150,y2019_lcb,single_cell,kg/ha,cofactor_matched_control,2190,1340,site LCB,0,NBC: 150 kg N + 15 Mg B vs NF: 150 kg N + 0 Mg B (Trt 4); biochar_Mgha=15; N_kgha=150; site=LCB; year=2019; src=unknown,rebuild_2026-08-19/biochar
