row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
193_Islami_2011__ai__1,ai,193_Islami_2011,crop_yield,maize,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,4060,3060,Table 2,0,biochar_type=FYM biochar; system=cassava + maize; FYM biochar 15 Mg/ha (once) vs No organic amendment; year=2009-10,rebuild_2026-08-19/biochar
193_Islami_2011__ai__2,ai,193_Islami_2011,crop_yield,maize,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,4130,2730,Table 2,0,biochar_type=FYM biochar; system=cassava + maize; FYM biochar 15 Mg/ha (once) vs No organic amendment; year=2010-11,rebuild_2026-08-19/biochar
193_Islami_2011__ai__3,ai,193_Islami_2011,crop_yield,maize,15,cassava_stem_biochar,0,y2009,single_cell,kg/ha,absolute_control,3490,3060,Table 2,0,biochar_type=cassava stem biochar; system=cassava + maize; Cassava stem biochar 15 Mg/ha (once) vs No organic amendment; year=2009-10,rebuild_2026-08-19/biochar
193_Islami_2011__ai__4,ai,193_Islami_2011,crop_yield,maize,15,cassava_stem_biochar,0,y2010,single_cell,kg/ha,absolute_control,3600,2730,Table 2,0,biochar_type=cassava stem biochar; system=cassava + maize; Cassava stem biochar 15 Mg/ha (once) vs No organic amendment; year=2010-11,rebuild_2026-08-19/biochar
193_Islami_2011__ai__5,ai,193_Islami_2011,crop_yield,peanut,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,1080,1010,Table 2,0,biochar_type=FYM biochar; system=cassava + peanuts; FYM biochar 15 Mg/ha (once) vs No organic amendment; year=2009-10,rebuild_2026-08-19/biochar
193_Islami_2011__ai__6,ai,193_Islami_2011,crop_yield,peanut,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,1320,710,Table 2,0,biochar_type=FYM biochar; system=cassava + peanuts; FYM biochar 15 Mg/ha (once) vs No organic amendment; year=2010-11,rebuild_2026-08-19/biochar
193_Islami_2011__ai__7,ai,193_Islami_2011,crop_yield,peanut,15,cassava_stem_biochar,0,y2009,single_cell,kg/ha,absolute_control,1060,1010,Table 2,0,biochar_type=cassava stem biochar; system=cassava + peanuts; Cassava stem biochar 15 Mg/ha (once) vs No organic amendment; year=2009-10,rebuild_2026-08-19/biochar
193_Islami_2011__ai__8,ai,193_Islami_2011,crop_yield,peanut,15,cassava_stem_biochar,0,y2010,single_cell,kg/ha,absolute_control,980,710,Table 2,0,biochar_type=cassava stem biochar; system=cassava + peanuts; Cassava stem biochar 15 Mg/ha (once) vs No organic amendment; year=2010-11,rebuild_2026-08-19/biochar
193_Islami_2011__ai__9,ai,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,20000,17000,Fig 1 (approximate),1,biochar_type=FYM biochar; system=cassava + maize; FYM biochar 15 Mg/ha (once) vs No organic amendment (cassava+maize); year=2009,rebuild_2026-08-19/biochar
193_Islami_2011__ai__10,ai,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,22000,13700,Fig 1 (approximate),1,biochar_type=FYM biochar; system=cassava + maize; FYM biochar 15 Mg/ha (once) vs No organic amendment (cassava+maize); year=2010,rebuild_2026-08-19/biochar
193_Islami_2011__ai__11,ai,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,22000,18000,Fig 1 (approximate),1,biochar_type=FYM biochar; system=cassava + peanuts; FYM biochar 15 Mg/ha (once) vs No organic amendment (cassava+peanuts); year=2009,rebuild_2026-08-19/biochar
193_Islami_2011__ai__12,ai,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,21500,18000,Fig 1 (approximate),1,biochar_type=FYM biochar; system=cassava + peanuts; FYM biochar 15 Mg/ha (once) vs No organic amendment (cassava+peanuts); year=2010,rebuild_2026-08-19/biochar
