row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
207_Liu_2019__ai__1,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,0,y2010,single_cell,kg/ha,cofactor_matched_control,8800,8500,Fig 1a (approximate),1,C20N0 vs C0N0; 2010,rebuild_2026-08-19/biochar
207_Liu_2019__ai__2,ai,207_Liu_2019,crop_yield,rice,40,nitrogen,0,y2010,single_cell,kg/ha,cofactor_matched_control,8300,8500,Fig 1a (approximate),1,C40N0 vs C0N0; 2010,rebuild_2026-08-19/biochar
207_Liu_2019__ai__3,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,150,y2010,single_cell,kg/ha,cofactor_matched_control,9200,9500,Fig 1a (approximate),1,C20N1 vs C0N1; 2010,rebuild_2026-08-19/biochar
207_Liu_2019__ai__4,ai,207_Liu_2019,crop_yield,rice,40,nitrogen,150,y2010,single_cell,kg/ha,cofactor_matched_control,9300,9500,Fig 1a (approximate),1,C40N1 vs C0N1; 2010,rebuild_2026-08-19/biochar
207_Liu_2019__ai__5,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,0,y2011,single_cell,kg/ha,cofactor_matched_control,7200,7000,Fig 1a (approximate),1,C20N0 vs C0N0; 2011,rebuild_2026-08-19/biochar
207_Liu_2019__ai__6,ai,207_Liu_2019,crop_yield,rice,40,nitrogen,0,y2011,single_cell,kg/ha,cofactor_matched_control,6500,7000,Fig 1a (approximate),1,C40N0 vs C0N0; 2011,rebuild_2026-08-19/biochar
207_Liu_2019__ai__7,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,150,y2011,single_cell,kg/ha,cofactor_matched_control,8500,9000,Fig 1a (approximate),1,C20N1 vs C0N1; 2011,rebuild_2026-08-19/biochar
207_Liu_2019__ai__8,ai,207_Liu_2019,crop_yield,rice,40,nitrogen,150,y2011,single_cell,kg/ha,cofactor_matched_control,8500,9000,Fig 1a (approximate),1,C40N1 vs C0N1; 2011,rebuild_2026-08-19/biochar
207_Liu_2019__ai__9,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,0,y2012,single_cell,kg/ha,cofactor_matched_control,8000,8000,Fig 1a (approximate),1,C20N0 vs C0N0; 2012,rebuild_2026-08-19/biochar
207_Liu_2019__ai__10,ai,207_Liu_2019,crop_yield,rice,40,nitrogen,0,y2012,single_cell,kg/ha,cofactor_matched_control,8000,8000,Fig 1a (approximate),1,C40N0 vs C0N0; 2012,rebuild_2026-08-19/biochar
207_Liu_2019__ai__11,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,150,y2012,single_cell,kg/ha,cofactor_matched_control,10000,10000,Fig 1a (approximate),1,C20N1 vs C0N1; 2012,rebuild_2026-08-19/biochar
207_Liu_2019__ai__12,ai,207_Liu_2019,crop_yield,rice,40,nitrogen,150,y2012,single_cell,kg/ha,cofactor_matched_control,10000,10000,Fig 1a (approximate),1,C40N1 vs C0N1; 2012,rebuild_2026-08-19/biochar
207_Liu_2019__ai__13,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,0,y2013,single_cell,kg/ha,cofactor_matched_control,8200,8000,Fig 1a (approximate),1,C20N0 vs C0N0; 2013,rebuild_2026-08-19/biochar
207_Liu_2019__ai__14,ai,207_Liu_2019,crop_yield,rice,40,nitrogen,0,y2013,single_cell,kg/ha,cofactor_matched_control,8000,8000,Fig 1a (approximate),1,C40N0 vs C0N0; 2013,rebuild_2026-08-19/biochar
207_Liu_2019__ai__15,ai,207_Liu_2019,crop_yield,rice,20,nitrogen,150,y2013,single_cell,kg/ha,cofactor_matched_control,10500,10500,Fig 1a (approximate),1,C20N1 vs C0N1; 2013,rebuild_2026-08-19/biochar
