row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
219_Xie_2021__ai__1,ai,219_Xie_2021,crop_yield,wheat,2.25,none,0,season7,single_cell,kg/ha,absolute_control,,,Text section 3.4 + Fig. 3,1,BC2.25 (2.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=7th rotation (2017-2018); effect_pct=25.2,rebuild_2026-08-19/biochar
219_Xie_2021__ai__2,ai,219_Xie_2021,crop_yield,wheat,6.75,none,0,season7,single_cell,kg/ha,absolute_control,,,Text section 3.4 + Fig. 3,1,BC6.75 (6.75 Mg/ha/season) vs BC0 (0 Mg/ha); season=7th rotation (2017-2018); effect_pct=40.9,rebuild_2026-08-19/biochar
219_Xie_2021__ai__3,ai,219_Xie_2021,crop_yield,wheat,11.2,none,0,season7,single_cell,kg/ha,absolute_control,,,Text section 3.4 + Fig. 3,1,BC11.25 (11.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=7th rotation (2017-2018); effect_pct=41.2,rebuild_2026-08-19/biochar
219_Xie_2021__ai__4,ai,219_Xie_2021,crop_yield,maize,2.25,none,0,season7,single_cell,kg/ha,absolute_control,,,Text section 3.4 + Fig. 3,1,BC2.25 (2.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=7th rotation (2018); effect_pct=6.4,rebuild_2026-08-19/biochar
219_Xie_2021__ai__5,ai,219_Xie_2021,crop_yield,maize,6.75,none,0,season7,single_cell,kg/ha,absolute_control,,,Text section 3.4 + Fig. 3,1,BC6.75 (6.75 Mg/ha/season) vs BC0 (0 Mg/ha); season=7th rotation (2018); effect_pct=17.9,rebuild_2026-08-19/biochar
219_Xie_2021__ai__6,ai,219_Xie_2021,crop_yield,maize,11.2,none,0,season7,single_cell,kg/ha,absolute_control,,,Text section 3.4 + Fig. 3,1,BC11.25 (11.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=7th rotation (2018); effect_pct=15.4,rebuild_2026-08-19/biochar
219_Xie_2021__ai__7,ai,219_Xie_2021,crop_yield,wheat,2.25,none,0,pooled,pooled,kg/ha,absolute_control,7700,7400,Fig. 3 (approximate from bar chart),1,"BC2.25 (2.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=mean (7 rotations, 2011-2018); effect_pct=4.05",rebuild_2026-08-19/biochar
219_Xie_2021__ai__8,ai,219_Xie_2021,crop_yield,wheat,6.75,none,0,pooled,pooled,kg/ha,absolute_control,7900,7400,Fig. 3 (approximate from bar chart),1,"BC6.75 (6.75 Mg/ha/season) vs BC0 (0 Mg/ha); season=mean (7 rotations, 2011-2018); effect_pct=6.76",rebuild_2026-08-19/biochar
219_Xie_2021__ai__9,ai,219_Xie_2021,crop_yield,wheat,11.2,none,0,pooled,pooled,kg/ha,absolute_control,7600,7400,Fig. 3 (approximate from bar chart),1,"BC11.25 (11.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=mean (7 rotations, 2011-2018); effect_pct=2.7",rebuild_2026-08-19/biochar
219_Xie_2021__ai__10,ai,219_Xie_2021,crop_yield,maize,2.25,none,0,pooled,pooled,kg/ha,absolute_control,10000,9800,Fig. 3 (approximate from bar chart),1,"BC2.25 (2.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=mean (7 rotations, 2011-2018); effect_pct=2.04",rebuild_2026-08-19/biochar
219_Xie_2021__ai__11,ai,219_Xie_2021,crop_yield,maize,6.75,none,0,pooled,pooled,kg/ha,absolute_control,10300,9800,Fig. 3 (approximate from bar chart),1,"BC6.75 (6.75 Mg/ha/season) vs BC0 (0 Mg/ha); season=mean (7 rotations, 2011-2018); effect_pct=5.1",rebuild_2026-08-19/biochar
219_Xie_2021__ai__12,ai,219_Xie_2021,crop_yield,maize,11.2,none,0,pooled,pooled,kg/ha,absolute_control,10200,9800,Fig. 3 (approximate from bar chart),1,"BC11.25 (11.25 Mg/ha/season) vs BC0 (0 Mg/ha); season=mean (7 rotations, 2011-2018); effect_pct=4.08",rebuild_2026-08-19/biochar
