row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
227_Niu_2017__ai__1,ai,227_Niu_2017,crop_yield,maize,3,none,0,y2014,single_cell,kg/ha,absolute_control,6300.0,6200.0,Fig. 2a (approximate),1,"B3 (3 t/ha biochar, no fertilizer) vs CK (no fertilizer, no biochar); season=2014; src=figure",ai-decode
227_Niu_2017__ai__2,ai,227_Niu_2017,crop_yield,maize,6,none,0,y2014,single_cell,kg/ha,absolute_control,6300.0,6200.0,Fig. 2a (approximate),1,"B6 (6 t/ha biochar, no fertilizer) vs CK (no fertilizer, no biochar); season=2014; src=figure",ai-decode
227_Niu_2017__ai__3,ai,227_Niu_2017,crop_yield,maize,12,none,0,y2014,single_cell,kg/ha,absolute_control,6700.0,6200.0,Fig. 2a (approximate),1,"B12 (12 t/ha biochar, no fertilizer) vs CK (no fertilizer, no biochar); season=2014; src=figure",ai-decode
227_Niu_2017__ai__4,ai,227_Niu_2017,crop_yield,wheat,3,none,0,y2014,single_cell,kg/ha,absolute_control,,,Text section 3.2 + Fig. 2c,1,"B3 (3 t/ha biochar, no fertilizer) vs CK (no fertilizer, no biochar); season=2014-2015; src=figure",ai-decode
227_Niu_2017__ai__5,ai,227_Niu_2017,crop_yield,wheat,6,none,0,y2014,single_cell,kg/ha,absolute_control,,,Text section 3.2 + Fig. 2c,1,"B6 (6 t/ha biochar, no fertilizer) vs CK (no fertilizer, no biochar); season=2014-2015; src=figure",ai-decode
227_Niu_2017__ai__6,ai,227_Niu_2017,crop_yield,wheat,12,none,0,y2014,single_cell,kg/ha,absolute_control,,,Text section 3.2 + Fig. 2c,1,"B12 (12 t/ha biochar, no fertilizer) vs CK (no fertilizer, no biochar); season=2014-2015; src=figure",ai-decode
227_Niu_2017__ai__7,ai,227_Niu_2017,crop_yield,maize,3,nitrogen,200,y2014,single_cell,kg/ha,cofactor_matched_control,11100.0,11082.0,"Fig. 2a (approximate); text: CK maize=11082, highest FB6=11904",1,"FB3 (F + 3 t/ha biochar) vs F (NPK 200 kg N/ha, no biochar); season=2014; src=figure",ai-decode
227_Niu_2017__ai__8,ai,227_Niu_2017,crop_yield,maize,6,nitrogen,200,y2014,single_cell,kg/ha,cofactor_matched_control,11904.0,11082.0,"Text section 3.2: 'highest yield of 11,904 kg/ha under FB6'",0,"FB6 (F + 6 t/ha biochar) vs F (NPK 200 kg N/ha, no biochar); season=2014; src=text",ai-decode
227_Niu_2017__ai__9,ai,227_Niu_2017,crop_yield,maize,12,nitrogen,200,y2014,single_cell,kg/ha,cofactor_matched_control,11000.0,11082.0,Fig. 2a (approximate),1,"FB12 (F + 12 t/ha biochar) vs F (NPK 200 kg N/ha, no biochar); season=2014; src=figure",ai-decode
227_Niu_2017__ai__10,ai,227_Niu_2017,crop_yield,wheat,3,nitrogen,200,y2014,single_cell,kg/ha,cofactor_matched_control,8500.0,8800.0,Fig. 2c (approximate),1,"FB3 (F + 3 t/ha biochar) vs F (NPK 200 kg N/ha, no biochar); season=2014-2015; src=figure",ai-decode
227_Niu_2017__ai__11,ai,227_Niu_2017,crop_yield,wheat,6,nitrogen,200,y2014,single_cell,kg/ha,cofactor_matched_control,8300.0,8800.0,Fig. 2c (approximate),1,"FB6 (F + 6 t/ha biochar) vs F (NPK 200 kg N/ha, no biochar); season=2014-2015; src=figure",ai-decode
227_Niu_2017__ai__12,ai,227_Niu_2017,crop_yield,wheat,12,nitrogen,200,y2014,single_cell,kg/ha,cofactor_matched_control,8634.0,8800.0,"Text: 'wheat yield amounted to 8634 kg/ha under FB12, significantly lower than F'",0,"FB12 (F + 12 t/ha biochar) vs F (NPK 200 kg N/ha, no biochar); season=2014-2015; src=text",ai-decode
