row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
229_Shi_2022__ai__0,ai,229_Shi_2022,crop_yield,maize,5,none,0,y2016,single_cell,t/ha,absolute_control,9.96,9.47,Table 3,0,C1 (5 t/ha biochar) vs CK; crop=maize; season=2016; rate=5,rebuild_2026-08-19/biochar
229_Shi_2022__ai__1,ai,229_Shi_2022,crop_yield,maize,10,none,0,y2016,single_cell,t/ha,absolute_control,10.16,9.47,Table 3,0,C2 (10 t/ha biochar) vs CK; crop=maize; season=2016; rate=10,rebuild_2026-08-19/biochar
229_Shi_2022__ai__2,ai,229_Shi_2022,crop_yield,maize,20,none,0,y2016,single_cell,t/ha,absolute_control,9.56,9.47,Table 3,0,C3 (20 t/ha biochar) vs CK; crop=maize; season=2016; rate=20,rebuild_2026-08-19/biochar
229_Shi_2022__ai__3,ai,229_Shi_2022,crop_yield,wheat,5,none,0,season2016_2017,single_cell,t/ha,absolute_control,3.97,3.64,Table 3,0,C1 (5 t/ha biochar) vs CK; crop=wheat; season=2016-2017; rate=5,rebuild_2026-08-19/biochar
229_Shi_2022__ai__4,ai,229_Shi_2022,crop_yield,wheat,10,none,0,season2016_2017,single_cell,t/ha,absolute_control,3.43,3.64,Table 3,0,C2 (10 t/ha biochar) vs CK; crop=wheat; season=2016-2017; rate=10,rebuild_2026-08-19/biochar
229_Shi_2022__ai__5,ai,229_Shi_2022,crop_yield,wheat,20,none,0,season2016_2017,single_cell,t/ha,absolute_control,4.29,3.64,Table 3,0,C3 (20 t/ha biochar) vs CK; crop=wheat; season=2016-2017; rate=20,rebuild_2026-08-19/biochar
229_Shi_2022__ai__6,ai,229_Shi_2022,crop_yield,maize,5,none,0,y2017,single_cell,t/ha,absolute_control,9.1,9.17,Table 3,0,C1 (5 t/ha biochar) vs CK; crop=maize; season=2017; rate=5,rebuild_2026-08-19/biochar
229_Shi_2022__ai__7,ai,229_Shi_2022,crop_yield,maize,10,none,0,y2017,single_cell,t/ha,absolute_control,9.46,9.17,Table 3,0,C2 (10 t/ha biochar) vs CK; crop=maize; season=2017; rate=10,rebuild_2026-08-19/biochar
229_Shi_2022__ai__8,ai,229_Shi_2022,crop_yield,maize,20,none,0,y2017,single_cell,t/ha,absolute_control,10.44,9.17,Table 3,0,C3 (20 t/ha biochar) vs CK; crop=maize; season=2017; rate=20,rebuild_2026-08-19/biochar
229_Shi_2022__ai__9,ai,229_Shi_2022,crop_yield,wheat,5,none,0,season2017_2018,single_cell,t/ha,absolute_control,5.82,5.68,Table 3,0,C1 (5 t/ha biochar) vs CK; crop=wheat; season=2017-2018; rate=5,rebuild_2026-08-19/biochar
229_Shi_2022__ai__10,ai,229_Shi_2022,crop_yield,wheat,10,none,0,season2017_2018,single_cell,t/ha,absolute_control,5.19,5.68,Table 3,0,C2 (10 t/ha biochar) vs CK; crop=wheat; season=2017-2018; rate=10,rebuild_2026-08-19/biochar
229_Shi_2022__ai__11,ai,229_Shi_2022,crop_yield,wheat,20,none,0,season2017_2018,single_cell,t/ha,absolute_control,5.41,5.68,Table 3,0,C3 (20 t/ha biochar) vs CK; crop=wheat; season=2017-2018; rate=20,rebuild_2026-08-19/biochar
229_Shi_2022__ai__12,ai,229_Shi_2022,crop_yield,maize,5,none,0,y2018,single_cell,t/ha,absolute_control,8.13,5,Table 3,0,C1 (5 t/ha biochar) vs CK; crop=maize; season=2018; rate=5,rebuild_2026-08-19/biochar
229_Shi_2022__ai__13,ai,229_Shi_2022,crop_yield,maize,10,none,0,y2018,single_cell,t/ha,absolute_control,7.04,5,Table 3,0,C2 (10 t/ha biochar) vs CK; crop=maize; season=2018; rate=10,rebuild_2026-08-19/biochar
229_Shi_2022__ai__14,ai,229_Shi_2022,crop_yield,maize,20,none,0,y2018,single_cell,t/ha,absolute_control,7.75,5,Table 3,0,C3 (20 t/ha biochar) vs CK; crop=maize; season=2018; rate=20,rebuild_2026-08-19/biochar
229_Shi_2022__ai__15,ai,229_Shi_2022,crop_yield,wheat,5,none,0,season2018_2019,single_cell,t/ha,absolute_control,7.38,6.25,Table 3,0,C1 (5 t/ha biochar) vs CK; crop=wheat; season=2018-2019; rate=5,rebuild_2026-08-19/biochar
229_Shi_2022__ai__16,ai,229_Shi_2022,crop_yield,wheat,10,none,0,season2018_2019,single_cell,t/ha,absolute_control,7.29,6.25,Table 3,0,C2 (10 t/ha biochar) vs CK; crop=wheat; season=2018-2019; rate=10,rebuild_2026-08-19/biochar
229_Shi_2022__ai__17,ai,229_Shi_2022,crop_yield,wheat,20,none,0,season2018_2019,single_cell,t/ha,absolute_control,7.13,6.25,Table 3,0,C3 (20 t/ha biochar) vs CK; crop=wheat; season=2018-2019; rate=20,rebuild_2026-08-19/biochar
229_Shi_2022__ai__18,ai,229_Shi_2022,crop_yield,annual_total,5,none,0,pooled,pooled,t/ha/yr,absolute_control,13.42,13.07,Table 2,0,C1 (5 t/ha biochar) vs CK; crop=annual total; season=3-year mean (2016-2019); rate=5,rebuild_2026-08-19/biochar
229_Shi_2022__ai__19,ai,229_Shi_2022,crop_yield,annual_total,10,none,0,pooled,pooled,t/ha/yr,absolute_control,14.45,13.07,Table 2,0,C2 (10 t/ha biochar) vs CK; crop=annual total; season=3-year mean (2016-2019); rate=10,rebuild_2026-08-19/biochar
229_Shi_2022__ai__20,ai,229_Shi_2022,crop_yield,annual_total,20,none,0,pooled,pooled,t/ha/yr,absolute_control,15.01,13.07,Table 2,0,C3 (20 t/ha biochar) vs CK; crop=annual total; season=3-year mean (2016-2019); rate=20,rebuild_2026-08-19/biochar
