row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
231_Zhang_2021__ai__0,ai,231_Zhang_2021,crop_yield,maize,0,chemical_fertilizer,240_kgN_ha,y2017,single_cell,t/ha,absolute_control,3.5,2.4,Fig. 1a (approximate),1,CF (chemical fertilizer) vs CK (no fertilizer); fert=chemical 240 kg N/ha; season=2017; rate=0,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__1,ai,231_Zhang_2021,crop_yield,maize,1.5,chemical_fertilizer,240_kgN_ha,y2017,single_cell,t/ha,absolute_control,4.3,2.4,Fig. 1a (approximate),1,CFB (CF + 1.5 Mg/ha biochar) vs CK (no fertilizer); fert=chemical 240 kg N/ha; season=2017; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__2,ai,231_Zhang_2021,crop_yield,maize,1.5,chemical_fertilizer,240_kgN_ha,y2017,single_cell,t/ha,cofactor_matched_control,4.3,3.5,Fig. 1a (approximate),1,CFB (CF + 1.5 Mg/ha biochar) vs CF (chemical fertilizer); fert=chemical 240 kg N/ha; season=2017; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__3,ai,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,20pct_N_replaced,y2017,single_cell,t/ha,cofactor_matched_control,5.9,4.5,Fig. 1a (approximate),1,OFB (OF + 1.5 Mg/ha biochar) vs OF (organic fertilizer); fert=organic (20% N replaced); season=2017; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__4,ai,231_Zhang_2021,crop_yield,maize,1.5,chemical_fertilizer,240_kgN_ha,y2018,single_cell,t/ha,cofactor_matched_control,7.1,6.5,Fig. 1b; text: 'CFB 8.8% higher than CF in 2018',1,CFB (CF + 1.5 Mg/ha biochar) vs CF (chemical fertilizer); fert=chemical 240 kg N/ha; season=2018; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__5,ai,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,20pct_N_replaced,y2018,single_cell,t/ha,cofactor_matched_control,8.8,7.8,Fig. 1b (approximate),1,OFB (OF + 1.5 Mg/ha biochar) vs OF (organic fertilizer); fert=organic (20% N replaced); season=2018; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__6,ai,231_Zhang_2021,crop_yield,maize,1.5,chemical_fertilizer,240_kgN_ha,y2019,single_cell,t/ha,cofactor_matched_control,8,7.7,Fig. 1c; text: 'CFB 4.3% higher than CF in 2019',1,CFB (CF + 1.5 Mg/ha biochar) vs CF (chemical fertilizer); fert=chemical 240 kg N/ha; season=2019; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__7,ai,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,20pct_N_replaced,y2019,single_cell,t/ha,cofactor_matched_control,9.2,8.2,Fig. 1c (approximate); text: 'OF 4.6% higher than CFB in 2019',1,OFB (OF + 1.5 Mg/ha biochar) vs OF (organic fertilizer); fert=organic (20% N replaced); season=2019; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__8,ai,231_Zhang_2021,crop_yield,maize,0,chemical_fertilizer,240_kgN_ha,y2018,single_cell,t/ha,absolute_control,6.5,4.8,Fig. 1b (approximate),1,CF (chemical fertilizer) vs CK (no fertilizer); fert=chemical 240 kg N/ha; season=2018; rate=0,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__9,ai,231_Zhang_2021,crop_yield,maize,1.5,chemical_fertilizer,240_kgN_ha,y2018,single_cell,t/ha,absolute_control,7.1,4.8,Fig. 1b (approximate),1,CFB (CF + 1.5 Mg/ha biochar) vs CK (no fertilizer); fert=chemical 240 kg N/ha; season=2018; rate=1.5,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__10,ai,231_Zhang_2021,crop_yield,maize,0,chemical_fertilizer,240_kgN_ha,y2019,single_cell,t/ha,absolute_control,7.7,3.5,Fig. 1c (approximate),1,CF (chemical fertilizer) vs CK (no fertilizer); fert=chemical 240 kg N/ha; season=2019; rate=0,rebuild_2026-08-19/biochar
231_Zhang_2021__ai__11,ai,231_Zhang_2021,crop_yield,maize,1.5,chemical_fertilizer,240_kgN_ha,y2019,single_cell,t/ha,absolute_control,8,3.5,Fig. 1c (approximate),1,CFB (CF + 1.5 Mg/ha biochar) vs CK (no fertilizer); fert=chemical 240 kg N/ha; season=2019; rate=1.5,rebuild_2026-08-19/biochar
