row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
234_Malik_2018__ai__0_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,sludge_2pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,19.35,12.04,Table 3,0,2% C1 (sludge biochar) vs CK; feedstock=sludge; biochar_pct=2; lime_pct=0; outcome=biomass,rebuild_2026-08-19/biochar
234_Malik_2018__ai__0_grain,ai,234_Malik_2018,crop_yield,wheat,sludge_2pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,5.8,4.12,Table 3,0,2% C1 (sludge biochar) vs CK; feedstock=sludge; biochar_pct=2; lime_pct=0; outcome=grain,rebuild_2026-08-19/biochar
234_Malik_2018__ai__1_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,sludge_4pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,21.37,12.04,Table 3,0,4% C1 (sludge biochar) vs CK; feedstock=sludge; biochar_pct=4; lime_pct=0; outcome=biomass,rebuild_2026-08-19/biochar
234_Malik_2018__ai__1_grain,ai,234_Malik_2018,crop_yield,wheat,sludge_4pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,7.09,4.12,Table 3,0,4% C1 (sludge biochar) vs CK; feedstock=sludge; biochar_pct=4; lime_pct=0; outcome=grain,rebuild_2026-08-19/biochar
234_Malik_2018__ai__2_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,straw_2pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,21.52,12.04,Table 3,0,2% C2 (straw biochar) vs CK; feedstock=straw; biochar_pct=2; lime_pct=0; outcome=biomass,rebuild_2026-08-19/biochar
234_Malik_2018__ai__2_grain,ai,234_Malik_2018,crop_yield,wheat,straw_2pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,7.13,4.12,Table 3,0,2% C2 (straw biochar) vs CK; feedstock=straw; biochar_pct=2; lime_pct=0; outcome=grain,rebuild_2026-08-19/biochar
234_Malik_2018__ai__3_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,straw_4pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,18.34,12.04,Table 3,0,4% C2 (straw biochar) vs CK; feedstock=straw; biochar_pct=4; lime_pct=0; outcome=biomass,rebuild_2026-08-19/biochar
234_Malik_2018__ai__3_grain,ai,234_Malik_2018,crop_yield,wheat,straw_4pct,quicklime,0,pooled,single_cell,g/pot,absolute_control,6.71,4.12,Table 3,0,4% C2 (straw biochar) vs CK; feedstock=straw; biochar_pct=4; lime_pct=0; outcome=grain,rebuild_2026-08-19/biochar
234_Malik_2018__ai__4_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,sludge_2pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,17.21,12.04,Table 3,0,2% C1 + 50% CaO vs CK; feedstock=sludge; biochar_pct=2; lime_pct=50; outcome=biomass,rebuild_2026-08-19/biochar
234_Malik_2018__ai__4_grain,ai,234_Malik_2018,crop_yield,wheat,sludge_2pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,7.75,4.12,Table 3,0,2% C1 + 50% CaO vs CK; feedstock=sludge; biochar_pct=2; lime_pct=50; outcome=grain,rebuild_2026-08-19/biochar
234_Malik_2018__ai__5_biomass,ai,234_Malik_2018,crop_yield,wheat_biomass,sludge_4pct,quicklime,50,pooled,single_cell,g/pot,absolute_control,18.56,12.04,Table 3,0,4% C1 + 50% CaO vs CK; feedstock=sludge; biochar_pct=4; lime_pct=50; outcome=biomass,rebuild_2026-08-19/biochar
