row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
242_Liu_2014__ai__0,ai,242_Liu_2014,crop_yield,rapeseed,2.5,none,0,season2011_2012,single_cell,kg/ha,absolute_control,1606.36,1382.25,Text section 3.4: 'C1 treatment increased rapeseed yields by 16.21%'; treatment_mean calculated as 1382.25 * 1.1621 = 1606.36,0,C1 (2.5 t/ha biochar) vs CK (0 t/ha); crop=rapeseed; season=2011-2012; rate=2.5,rebuild_2026-08-19/biochar
242_Liu_2014__ai__1,ai,242_Liu_2014,crop_yield,rapeseed,5,none,0,season2011_2012,single_cell,kg/ha,absolute_control,1841.12,1382.25,Text section 3.4: 'C2 by 33.20%'; treatment_mean calculated as 1382.25 * 1.3320 = 1841.12,0,C2 (5 t/ha biochar) vs CK (0 t/ha); crop=rapeseed; season=2011-2012; rate=5,rebuild_2026-08-19/biochar
242_Liu_2014__ai__2,ai,242_Liu_2014,crop_yield,rapeseed,10,none,0,season2011_2012,single_cell,kg/ha,absolute_control,1722.32,1382.25,Text section 3.4: 'C3 by 24.60%'; treatment_mean calculated as 1382.25 * 1.2460 = 1722.32,0,C3 (10 t/ha biochar) vs CK (0 t/ha); crop=rapeseed; season=2011-2012; rate=10,rebuild_2026-08-19/biochar
242_Liu_2014__ai__3,ai,242_Liu_2014,crop_yield,rapeseed,20,none,0,season2011_2012,single_cell,kg/ha,absolute_control,1769.09,1382.25,Text section 3.4: 'C4 by 27.99%'; treatment_mean calculated as 1382.25 * 1.2799 = 1769.09,0,C4 (20 t/ha biochar) vs CK (0 t/ha); crop=rapeseed; season=2011-2012; rate=20,rebuild_2026-08-19/biochar
242_Liu_2014__ai__4,ai,242_Liu_2014,crop_yield,rapeseed,30,none,0,season2011_2012,single_cell,kg/ha,absolute_control,1674.55,1382.25,Text section 3.4: 'C5 by 21.15%'; treatment_mean calculated as 1382.25 * 1.2115 = 1674.55,0,C5 (30 t/ha biochar) vs CK (0 t/ha); crop=rapeseed; season=2011-2012; rate=30,rebuild_2026-08-19/biochar
242_Liu_2014__ai__5,ai,242_Liu_2014,crop_yield,rapeseed,40,none,0,season2011_2012,single_cell,kg/ha,absolute_control,1880.1,1382.25,"Text section 3.4: 'C6 by 36.02%'; control_mean 1382.25 * 1.3602 = 1880.1. NOTE: '2160.58' in text is the max yield across ALL treatments, not C6 specifically.",0,C6 (40 t/ha biochar) vs CK (0 t/ha); crop=rapeseed; season=2011-2012; rate=40,rebuild_2026-08-19/biochar
242_Liu_2014__ai__6,ai,242_Liu_2014,crop_yield,sweet_potato,2.5,none,0,y2012,single_cell,x10^4 kg/ha,absolute_control,,,Text section 3.4: 'except a 1.20% decrease occurring in C1 treatment',0,C1 (2.5 t/ha biochar) vs CK (0 t/ha); crop=sweet potato; season=2012; rate=2.5,rebuild_2026-08-19/biochar
242_Liu_2014__ai__7,ai,242_Liu_2014,crop_yield,sweet_potato,5,none,0,y2012,single_cell,x10^4 kg/ha,absolute_control,,,Fig. 4 (approximate from bar chart),1,C2 (5 t/ha biochar) vs CK (0 t/ha); crop=sweet potato; season=2012; rate=5,rebuild_2026-08-19/biochar
242_Liu_2014__ai__8,ai,242_Liu_2014,crop_yield,sweet_potato,10,none,0,y2012,single_cell,x10^4 kg/ha,absolute_control,,,Fig. 4 (approximate from bar chart),1,C3 (10 t/ha biochar) vs CK (0 t/ha); crop=sweet potato; season=2012; rate=10,rebuild_2026-08-19/biochar
242_Liu_2014__ai__9,ai,242_Liu_2014,crop_yield,sweet_potato,20,none,0,y2012,single_cell,x10^4 kg/ha,absolute_control,,,Fig. 4 (approximate from bar chart),1,C4 (20 t/ha biochar) vs CK (0 t/ha); crop=sweet potato; season=2012; rate=20,rebuild_2026-08-19/biochar
242_Liu_2014__ai__10,ai,242_Liu_2014,crop_yield,sweet_potato,30,none,0,y2012,single_cell,x10^4 kg/ha,absolute_control,,,Fig. 4 (approximate from bar chart),1,C5 (30 t/ha biochar) vs CK (0 t/ha); crop=sweet potato; season=2012; rate=30,rebuild_2026-08-19/biochar
242_Liu_2014__ai__11,ai,242_Liu_2014,crop_yield,sweet_potato,40,none,0,y2012,single_cell,x10^4 kg/ha,absolute_control,,,"Text section 3.4: 'The highest yield of sweet potato was obtained in C6 treatment, which was 53.77% higher than CK'",0,C6 (40 t/ha biochar) vs CK (0 t/ha); crop=sweet potato; season=2012; rate=40,rebuild_2026-08-19/biochar
