row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID1__r0,gt,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,0,y2015,single_cell,kg/m2,absolute_control,0.24,0.24,Table 6,0,Table 6 Root weight (kg m-2) 2015: Biochar 25.0 / PM 0.0 = 0.24 g; control B0PM0 = 0.24 g,gt-pdf-decode
gt__StudyID1__r1,gt,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,0,y2015,single_cell,kg/m2,absolute_control,0.32,0.24,Table 6,0,Table 6 Root weight (kg m-2) 2015: Biochar 50.0 / PM 0.0 = 0.32 f; control B0PM0 = 0.24,gt-pdf-decode
gt__StudyID1__r2,gt,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,2.5,y2015,single_cell,kg/m2,absolute_control,0.63,0.24,Table 6,0,Table 6 Root weight (kg m-2) 2015: Biochar 25.0 / PM 2.5 = 0.63 c; control B0PM0 = 0.24,gt-pdf-decode
gt__StudyID1__r3,gt,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,5,y2015,single_cell,kg/m2,absolute_control,0.69,0.24,Table 6,0,Table 6 Root weight (kg m-2) 2015: Biochar 25.0 / PM 5.0 = 0.69 bc; control B0PM0 = 0.24,gt-pdf-decode
gt__StudyID1__r4,gt,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,2.5,y2015,single_cell,kg/m2,absolute_control,0.69,0.24,Table 6,0,Table 6 Root weight (kg m-2) 2015: Biochar 50.0 / PM 2.5 = 0.69 bc; control B0PM0 = 0.24,gt-pdf-decode
gt__StudyID1__r5,gt,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,5,y2015,single_cell,kg/m2,absolute_control,0.77,0.24,Table 6,0,Table 6 Root weight (kg m-2) 2015: Biochar 50.0 / PM 5.0 = 0.77 a; control B0PM0 = 0.24,gt-pdf-decode
gt__StudyID1__r6,gt,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,0,y2016,single_cell,kg/m2,absolute_control,0.26,0.25,Table 6,0,Table 6 Root weight (kg m-2) 2016: Biochar 25.0 / PM 0.0 = 0.26 g; control B0PM0 = 0.25 g,gt-pdf-decode
gt__StudyID1__r7,gt,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,0,y2016,single_cell,kg/m2,absolute_control,0.28,0.25,Table 6,0,Table 6 Root weight (kg m-2) 2016: Biochar 50.0 / PM 0.0 = 0.28 f; control B0PM0 = 0.25,gt-pdf-decode
gt__StudyID1__r8,gt,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,2.5,y2016,single_cell,kg/m2,absolute_control,0.76,0.25,Table 6,0,Table 6 Root weight (kg m-2) 2016: Biochar 25.0 / PM 2.5 = 0.76 c; control B0PM0 = 0.25,gt-pdf-decode
gt__StudyID1__r9,gt,001_Adekiya_2019,crop_yield,radish,25,poultry_manure,5,y2016,single_cell,kg/m2,absolute_control,0.85,0.25,Table 6,0,Table 6 Root weight (kg m-2) 2016: Biochar 25.0 / PM 5.0 = 0.85 bc; control B0PM0 = 0.25,gt-pdf-decode
gt__StudyID1__r10,gt,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,2.5,y2016,single_cell,kg/m2,absolute_control,0.86,0.25,Table 6,0,Table 6 Root weight (kg m-2) 2016: Biochar 50.0 / PM 2.5 = 0.86 bc; control B0PM0 = 0.25,gt-pdf-decode
gt__StudyID1__r11,gt,001_Adekiya_2019,crop_yield,radish,50,poultry_manure,5,y2016,single_cell,kg/m2,absolute_control,0.98,0.25,Table 6,0,Table 6 Root weight (kg m-2) 2016: Biochar 50.0 / PM 5.0 = 0.98 a; control B0PM0 = 0.25,gt-pdf-decode
