row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID7__r0,gt,007_Gathorne-Hardy_2009,crop_yield,barley,5,nitrogen,0,y2008,single_cell,g/250cm2,absolute_control,39.00,35.80,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=B (biochar only, 0 N kg/ha series); biochar 5 t/ha bar = 39.0; control = biochar 0 + 0N cell = 35.8. GT group 7_1, ratio 1.09 matches 0N series",gt-pdf-decode
gt__StudyID7__r1,gt,007_Gathorne-Hardy_2009,crop_yield,barley,50,nitrogen,0,y2008,single_cell,g/250cm2,absolute_control,40.00,35.80,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=B (0 N kg/ha series); biochar 50 t/ha bar = 40.0; control = biochar 0 + 0N = 35.8. GT group 7_1, ratio 1.12 matches 0N series",gt-pdf-decode
gt__StudyID7__r2,gt,007_Gathorne-Hardy_2009,crop_yield,barley,10,nitrogen,0,y2008,single_cell,g/250cm2,absolute_control,33.00,35.80,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=B (0 N kg/ha series); biochar 10 t/ha bar = 33.0; control = biochar 0 + 0N = 35.8. GT group 7_1, ratio 0.92 matches 0N series",gt-pdf-decode
gt__StudyID7__r3,gt,007_Gathorne-Hardy_2009,crop_yield,barley,20,nitrogen,0,y2008,single_cell,g/250cm2,absolute_control,31.90,35.80,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=B (0 N kg/ha series); biochar 20 t/ha bar = 31.9; control = biochar 0 + 0N = 35.8. GT group 7_1, ratio 0.89 matches 0N series",gt-pdf-decode
gt__StudyID7__r4,gt,007_Gathorne-Hardy_2009,crop_yield,barley,5,nitrogen,10,y2008,single_cell,g/250cm2,cofactor_matched_control,30.90,34.00,Fig 1,1,Fig 1 barley yield (g/250cm2): Treatment=BN; 10 N kg/ha series; biochar 5 t/ha bar = 30.9; N-matched control = biochar 0 + 10N = 34.0. GT group 7_2 ck=34.0 (2nd-lowest base) maps to 10N by elimination + CK ordering,gt-pdf-decode
gt__StudyID7__r5,gt,007_Gathorne-Hardy_2009,crop_yield,barley,10,nitrogen,10,y2008,single_cell,g/250cm2,cofactor_matched_control,37.50,34.00,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 10 N kg/ha series; biochar 10 t/ha bar = 37.5; N-matched control = biochar 0 + 10N = 34.0. GT group 7_2, ratio 1.10",gt-pdf-decode
gt__StudyID7__r6,gt,007_Gathorne-Hardy_2009,crop_yield,barley,20,nitrogen,10,y2008,single_cell,g/250cm2,cofactor_matched_control,45.10,34.00,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 10 N kg/ha series; biochar 20 t/ha bar = 45.1; N-matched control = biochar 0 + 10N = 34.0. GT group 7_2, ratio 1.33",gt-pdf-decode
gt__StudyID7__r7,gt,007_Gathorne-Hardy_2009,crop_yield,barley,50,nitrogen,10,y2008,single_cell,g/250cm2,cofactor_matched_control,39.90,34.00,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 10 N kg/ha series; biochar 50 t/ha bar = 39.9; N-matched control = biochar 0 + 10N = 34.0. GT group 7_2, ratio 1.17",gt-pdf-decode
gt__StudyID7__r8,gt,007_Gathorne-Hardy_2009,crop_yield,barley,5,nitrogen,20,y2008,single_cell,g/250cm2,cofactor_matched_control,50.70,47.90,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 20 N kg/ha series; biochar 5 t/ha bar = 50.7; N-matched control = biochar 0 + 20N = 47.9. GT group 7_3 ratios {5:1.058,10:0.979,20:1.015,50:0.942} near-perfect match to 20N series {1.058,0.975,1.017,0.942}",gt-pdf-decode
gt__StudyID7__r9,gt,007_Gathorne-Hardy_2009,crop_yield,barley,10,nitrogen,20,y2008,single_cell,g/250cm2,cofactor_matched_control,46.90,47.90,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 20 N kg/ha series; biochar 10 t/ha bar = 46.9; N-matched control = biochar 0 + 20N = 47.9. GT group 7_3, ratio 0.98 matches 20N",gt-pdf-decode
gt__StudyID7__r10,gt,007_Gathorne-Hardy_2009,crop_yield,barley,20,nitrogen,20,y2008,single_cell,g/250cm2,cofactor_matched_control,48.60,47.90,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 20 N kg/ha series; biochar 20 t/ha bar = 48.6; N-matched control = biochar 0 + 20N = 47.9. GT group 7_3, ratio 1.01 matches 20N",gt-pdf-decode
gt__StudyID7__r11,gt,007_Gathorne-Hardy_2009,crop_yield,barley,50,nitrogen,20,y2008,single_cell,g/250cm2,cofactor_matched_control,45.10,47.90,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 20 N kg/ha series; biochar 50 t/ha bar = 45.1; N-matched control = biochar 0 + 20N = 47.9. GT group 7_3, ratio 0.94 matches 20N",gt-pdf-decode
gt__StudyID7__r12,gt,007_Gathorne-Hardy_2009,crop_yield,barley,5,nitrogen,80,y2008,single_cell,g/250cm2,cofactor_matched_control,50.70,61.50,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 80 N kg/ha series; biochar 5 t/ha bar = 50.7; N-matched control = biochar 0 + 80N = 61.5. GT group 7_4 ratios {5:0.824,20:1.146,50:1.146} match 80N series {0.83,1.163,1.157}; 80N has highest figure base (153) consistent with 7_4 highest ck=61.5",gt-pdf-decode
gt__StudyID7__r13,gt,007_Gathorne-Hardy_2009,crop_yield,barley,10,nitrogen,80,y2008,single_cell,g/250cm2,cofactor_matched_control,61.00,61.50,Fig 1,1,"Fig 1 barley yield (g/250cm2): Treatment=BN; 80 N kg/ha series; biochar 10 t/ha bar = 61.0; N-matched control = biochar 0 + 80N = 61.5. GT group 7_4, ratio 0.99",gt-pdf-decode
