row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID16__r0,gt,016_Li_B_2016,crop_yield,amaranth,20,none,0,season1,single_cell,t/ha,absolute_control,21.5,17.1,Table 5,0,"Table 5, crop-season 1 (amaranth), treatment N0C1 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 21.5+-4.1 t/ha; control=N0C0 cs1=17.1 t/ha",gt-pdf-decode
gt__StudyID16__r1,gt,016_Li_B_2016,crop_yield,amaranth,40,none,0,season1,single_cell,t/ha,absolute_control,15.3,17.1,Table 5,0,"Table 5, crop-season 1 (amaranth), treatment N0C2 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 15.3+-2.7 t/ha; control=N0C0 cs1=17.1 t/ha",gt-pdf-decode
gt__StudyID16__r2,gt,016_Li_B_2016,crop_yield,amaranth,20,nitrogen,313,season1,single_cell,t/ha,absolute_control,19.3,17.1,Table 5,0,"Table 5, crop-season 1 (amaranth), treatment N1C1 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 19.3+-1.4 t/ha; control=N0C0 cs1=17.1 t/ha",gt-pdf-decode
gt__StudyID16__r3,gt,016_Li_B_2016,crop_yield,amaranth,40,nitrogen,313,season1,single_cell,t/ha,absolute_control,14.6,17.1,Table 5,0,"Table 5, crop-season 1 (amaranth), treatment N1C2 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 14.6+-5.7 t/ha; control=N0C0 cs1=17.1 t/ha",gt-pdf-decode
gt__StudyID16__r4,gt,016_Li_B_2016,crop_yield,amaranth,20,nitrogen,417,season1,single_cell,t/ha,absolute_control,23,17.1,Table 5,0,"Table 5, crop-season 1 (amaranth), treatment N2C1 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 23+-1.4 t/ha; control=N0C0 cs1=17.1 t/ha",gt-pdf-decode
gt__StudyID16__r5,gt,016_Li_B_2016,crop_yield,amaranth,40,nitrogen,417,season1,single_cell,t/ha,absolute_control,29.6,17.1,Table 5,0,"Table 5, crop-season 1 (amaranth), treatment N2C2 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 29.6+-0.7 t/ha; control=N0C0 cs1=17.1 t/ha",gt-pdf-decode
gt__StudyID16__r6,gt,016_Li_B_2016,crop_yield,water_spinach,20,none,0,season2,single_cell,t/ha,absolute_control,96.5,92.5,Table 5,0,"Table 5, crop-season 2 (water_spinach), treatment N0C1 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 96.5+-7.3 t/ha; control=N0C0 cs2=92.5 t/ha",gt-pdf-decode
gt__StudyID16__r7,gt,016_Li_B_2016,crop_yield,water_spinach,40,none,0,season2,single_cell,t/ha,absolute_control,107.3,92.5,Table 5,0,"Table 5, crop-season 2 (water_spinach), treatment N0C2 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 77.3+-9.9 t/ha; control=N0C0 cs2=92.5 t/ha",gt-pdf-decode
gt__StudyID16__r8,gt,016_Li_B_2016,crop_yield,water_spinach,20,nitrogen,600,season2,single_cell,t/ha,absolute_control,95.2,92.5,Table 5,0,"Table 5, crop-season 2 (water_spinach), treatment N1C1 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 95.2+-3.9 t/ha; control=N0C0 cs2=92.5 t/ha",gt-pdf-decode
gt__StudyID16__r9,gt,016_Li_B_2016,crop_yield,water_spinach,40,nitrogen,600,season2,single_cell,t/ha,absolute_control,128.9,92.5,Table 5,0,"Table 5, crop-season 2 (water_spinach), treatment N1C2 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 128.9+-6.8 t/ha; control=N0C0 cs2=92.5 t/ha",gt-pdf-decode
gt__StudyID16__r10,gt,016_Li_B_2016,crop_yield,water_spinach,20,nitrogen,800,season2,single_cell,t/ha,absolute_control,90.4,92.5,Table 5,0,"Table 5, crop-season 2 (water_spinach), treatment N2C1 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 90.4+-10.2 t/ha; control=N0C0 cs2=92.5 t/ha",gt-pdf-decode
gt__StudyID16__r11,gt,016_Li_B_2016,crop_yield,water_spinach,40,nitrogen,800,season2,single_cell,t/ha,absolute_control,108.4,92.5,Table 5,0,"Table 5, crop-season 2 (water_spinach), treatment N2C2 (=Table2 code: N0/N1/N2 x C0/C1/C2): cell mean 108.4+-2.2 t/ha; control=N0C0 cs2=92.5 t/ha",gt-pdf-decode
