row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID21__r0,gt,021_Nobile_2022,crop_yield,maize,4,compost_rapeseed_biochar_indre,8,y2019,single_cell,t/ha,cofactor_matched_control,6.48,4.63,Fig 3a,1,"Exp 21_1 (CK=4.63 = lowest-yielding site Indre, matches Comp-alone bar in Fig 3a; maize 2019). Slot dur=175 = 1st biochar slot = Comp+B-RS (rapeseed). Treatment vs Comp-alone control (8 t/ha compost, no biochar). Yields only in Fig 3 (bar chart), no yield table.",gt-pdf-decode
gt__StudyID21__r1,gt,021_Nobile_2022,crop_yield,maize,4,compost_miscanthus_biochar_indre,8,y2019,single_cell,t/ha,cofactor_matched_control,7.47,4.63,Fig 3a,1,"Exp 21_1 (Indre maize 2019, CK=4.63=Comp-alone). Slot dur=139 = 2nd biochar slot = Comp+B-Misc (Miscanthus). Fig 3a B-Misc highest of three biochar bars (~7).",gt-pdf-decode
gt__StudyID21__r2,gt,021_Nobile_2022,crop_yield,maize,4,compost_green_waste_residue_biochar_indre,8,y2019,single_cell,t/ha,cofactor_matched_control,6.38,4.63,Fig 3a,1,"Exp 21_1 (Indre maize 2019, CK=4.63=Comp-alone). Slot dur=148 = 3rd biochar slot = Comp+B-Ref (green waste compost residue).",gt-pdf-decode
gt__StudyID21__r3,gt,021_Nobile_2022,crop_yield,maize,4,compost_rapeseed_biochar_oise,8,y2019,single_cell,t/ha,cofactor_matched_control,11.30,11.80,Fig 3b,1,Exp 21_2 (CK=11.80 = mid-yielding site Oise per text Haut-Rhin>Oise>Indre; matches Comp bar Fig 3b; maize 2019). Slot dur=175 = Comp+B-RS (rapeseed).,gt-pdf-decode
gt__StudyID21__r4,gt,021_Nobile_2022,crop_yield,maize,4,compost_miscanthus_biochar_oise,8,y2019,single_cell,t/ha,cofactor_matched_control,12.10,11.80,Fig 3b,1,"Exp 21_2 (Oise maize 2019, CK=11.80=Comp-alone). Slot dur=139 = Comp+B-Misc (Miscanthus).",gt-pdf-decode
gt__StudyID21__r5,gt,021_Nobile_2022,crop_yield,maize,4,compost_green_waste_residue_biochar_oise,8,y2019,single_cell,t/ha,cofactor_matched_control,11.90,11.80,Fig 3b,1,"Exp 21_2 (Oise maize 2019, CK=11.80=Comp-alone). Slot dur=148 = Comp+B-Ref (green waste compost residue).",gt-pdf-decode
gt__StudyID21__r6,gt,021_Nobile_2022,crop_yield,maize,4,compost_rapeseed_biochar_haut_rhin,8,y2019,single_cell,t/ha,cofactor_matched_control,18.40,17.10,Fig 3c,1,Exp 21_3 (CK=17.10 = highest-yielding site Haut-Rhin per text; matches Comp/MF bar Fig 3c; maize 2019). Slot dur=175 = Comp+B-RS (rapeseed).,gt-pdf-decode
gt__StudyID21__r7,gt,021_Nobile_2022,crop_yield,maize,4,compost_miscanthus_biochar_haut_rhin,8,y2019,single_cell,t/ha,cofactor_matched_control,18.40,17.10,Fig 3c,1,"Exp 21_3 (Haut-Rhin maize 2019, CK=17.10=Comp-alone). Slot dur=139 = Comp+B-Misc (Miscanthus).",gt-pdf-decode
gt__StudyID21__r8,gt,021_Nobile_2022,crop_yield,maize,4,compost_green_waste_residue_biochar_haut_rhin,8,y2019,single_cell,t/ha,cofactor_matched_control,22.90,17.10,Fig 3c,1,"Exp 21_3 (Haut-Rhin maize 2019, CK=17.10=Comp-alone). Slot dur=148 = Comp+B-Ref. ANCHOR: Fig 3c B-Ref is the single tall standout bar (~23 t/ha), uniquely identifying slot dur=148 as green waste compost residue biochar.",gt-pdf-decode
gt__StudyID21__r9,gt,021_Nobile_2022,crop_yield,wheat,4,compost_rapeseed_biochar_indre,8,y2020,single_cell,t/ha,cofactor_matched_control,5.73,5.37,Fig 3d,1,Exp 21_4 (CK=5.37 = lowest-yielding site Indre; matches Comp bar Fig 3d; wheat 2020 = year 2). Slot dur=478 = Comp+B-RS (rapeseed).,gt-pdf-decode
gt__StudyID21__r10,gt,021_Nobile_2022,crop_yield,wheat,4,compost_miscanthus_biochar_indre,8,y2020,single_cell,t/ha,cofactor_matched_control,6.79,5.37,Fig 3d,1,"Exp 21_4 (Indre wheat 2020, CK=5.37=Comp-alone). Slot dur=450 = Comp+B-Misc (Miscanthus); Fig 3d B-Misc highest of three biochar bars (~6.5).",gt-pdf-decode
