row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID63__r0,gt,063_Asai_2009,crop_yield,rice,4,none,0,hk1_vieng,single_cell,t/ha,absolute_control,0.50,0.70,Table 3,0,"Table 3 Exp1 HK1 Vieng No-N: control 0.7, biochar 4 t/ha = 0.5 (GT Treatment=BN, BiocharAddition=4)",gt-pdf-decode
gt__StudyID63__r1,gt,063_Asai_2009,crop_yield,rice,8,none,0,hk1_vieng,single_cell,t/ha,absolute_control,0.80,0.70,Table 3,0,"Table 3 Exp1 HK1 Vieng No-N: control 0.7, biochar 8 t/ha = 0.8",gt-pdf-decode
gt__StudyID63__r2,gt,063_Asai_2009,crop_yield,rice,16,none,0,hk1_vieng,single_cell,t/ha,absolute_control,0.70,0.70,Table 3,0,"Table 3 Exp1 HK1 Vieng No-N: control 0.7, biochar 16 t/ha = 0.7",gt-pdf-decode
gt__StudyID63__r3,gt,063_Asai_2009,crop_yield,rice,4,nitrogen,50,hk1_vieng,single_cell,t/ha,cofactor_matched_control,1.50,0.70,Table 3,0,"Table 3 Exp1 HK1 Vieng N(50 kg N/ha urea): control 0.7b, biochar 4 = 1.5 (GT BNP/4)",gt-pdf-decode
gt__StudyID63__r4,gt,063_Asai_2009,crop_yield,rice,8,nitrogen,50,hk1_vieng,single_cell,t/ha,cofactor_matched_control,1.00,0.70,Table 3,0,"Table 3 Exp1 HK1 Vieng N: control 0.7, biochar 8 = 1.0b",gt-pdf-decode
gt__StudyID63__r5,gt,063_Asai_2009,crop_yield,rice,16,nitrogen,50,hk1_vieng,single_cell,t/ha,cofactor_matched_control,0.80,0.70,Table 3,0,"Table 3 Exp1 HK1 Vieng N: control 0.7, biochar 16 = 0.8b",gt-pdf-decode
gt__StudyID63__r6,gt,063_Asai_2009,crop_yield,rice,8,none,0,hk1_apo,single_cell,t/ha,absolute_control,2.70,3.00,Table 3,0,"Table 3 Exp1 HK1 Apo No-N: control 3.0a, biochar 8 = 2.7b (GT BN/8)",gt-pdf-decode
gt__StudyID63__r7,gt,063_Asai_2009,crop_yield,rice,16,none,0,hk1_apo,single_cell,t/ha,absolute_control,2.20,3.00,Table 3,0,"Table 3 Exp1 HK1 Apo No-N: control 3.0a, biochar 16 = 2.2b",gt-pdf-decode
gt__StudyID63__r8,gt,063_Asai_2009,crop_yield,rice,4,nitrogen,50,lo1_vieng,single_cell,t/ha,cofactor_matched_control,3.40,3.00,Table 3,0,"Table 3 Exp1 LO1 Vieng N: control 3.0, biochar 4 = 3.4 (GT BNP/4)",gt-pdf-decode
gt__StudyID63__r9,gt,063_Asai_2009,crop_yield,rice,8,nitrogen,50,lo1_vieng,single_cell,t/ha,cofactor_matched_control,3.70,3.00,Table 3,0,"Table 3 Exp1 LO1 Vieng N: control 3.0, biochar 8 = 3.7",gt-pdf-decode
gt__StudyID63__r10,gt,063_Asai_2009,crop_yield,rice,16,nitrogen,50,lo1_vieng,single_cell,t/ha,cofactor_matched_control,3.80,3.00,Table 3,0,"Table 3 Exp1 LO1 Vieng N: control 3.0, biochar 16 = 3.8",gt-pdf-decode
gt__StudyID63__r11,gt,063_Asai_2009,crop_yield,rice,4,none,0,lo1_apo,single_cell,t/ha,absolute_control,5.10,5.70,Table 3,0,"Table 3 Exp1 LO1 Apo No-N: control 5.7, biochar 4 = 5.1 (GT BN/4)",gt-pdf-decode
gt__StudyID63__r12,gt,063_Asai_2009,crop_yield,rice,8,none,0,lo1_apo,single_cell,t/ha,absolute_control,5.60,5.70,Table 3,0,"Table 3 Exp1 LO1 Apo No-N: control 5.7, biochar 8 = 5.6",gt-pdf-decode
gt__StudyID63__r13,gt,063_Asai_2009,crop_yield,rice,16,none,0,lo1_apo,single_cell,t/ha,absolute_control,5.90,5.70,Table 3,0,"Table 3 Exp1 LO1 Apo No-N: control 5.7, biochar 16 = 5.9",gt-pdf-decode
gt__StudyID63__r14,gt,063_Asai_2009,crop_yield,rice,4,none,0,lo1_vieng,single_cell,t/ha,absolute_control,3.60,3.80,Table 3,0,"Table 3 Exp1 LO1 Vieng No-N: control 3.8, biochar 4 = 3.6 (GT BN/4)",gt-pdf-decode
gt__StudyID63__r15,gt,063_Asai_2009,crop_yield,rice,8,none,0,lo1_vieng,single_cell,t/ha,absolute_control,4.00,3.80,Table 3,0,"Table 3 Exp1 LO1 Vieng No-N: control 3.8, biochar 8 = 4.0",gt-pdf-decode
gt__StudyID63__r16,gt,063_Asai_2009,crop_yield,rice,16,none,0,lo1_vieng,single_cell,t/ha,absolute_control,3.70,3.80,Table 3,0,"Table 3 Exp1 LO1 Vieng No-N: control 3.8, biochar 16 = 3.7",gt-pdf-decode
