row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID78__r0,gt,078_Wang_2012,crop_yield,rice_biomass,25,none,0,upland,single_cell,t/ha,absolute_control,1.29,1.21,Fig 2a,1,"Fig 2a (upland rice, biomass); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B25; control = no-biochar B0 at same N (CK=1.21); T(B25)=1.29 (Exp ID 78_1)",gt-pdf-decode
gt__StudyID78__r1,gt,078_Wang_2012,crop_yield,rice_biomass,50,none,0,upland,single_cell,t/ha,absolute_control,1.51,1.21,Fig 2a,1,"Fig 2a (upland rice, biomass); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B50; control = no-biochar B0 at same N (CK=1.21); T(B50)=1.51 (Exp ID 78_1)",gt-pdf-decode
gt__StudyID78__r2,gt,078_Wang_2012,crop_yield,rice_grain,25,none,0,upland,single_cell,t/ha,absolute_control,0.19,0.18,Fig 2a,1,"Fig 2a (upland rice, grain); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B25; control = no-biochar B0 at same N (CK=0.18); T(B25)=0.19 (Exp ID 78_2)",gt-pdf-decode
gt__StudyID78__r3,gt,078_Wang_2012,crop_yield,rice_grain,50,none,0,upland,single_cell,t/ha,absolute_control,0.21,0.18,Fig 2a,1,"Fig 2a (upland rice, grain); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B50; control = no-biochar B0 at same N (CK=0.18); T(B50)=0.21 (Exp ID 78_2)",gt-pdf-decode
gt__StudyID78__r4,gt,078_Wang_2012,crop_yield,rice,10,none,0,paddy,single_cell,t/ha,absolute_control,0.55,0.57,Fig 2b,1,"Fig 2b (paddy rice, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B10; control = no-biochar B0 at same N (CK=0.57); T(B10)=0.55 (Exp ID 78_3)",gt-pdf-decode
gt__StudyID78__r5,gt,078_Wang_2012,crop_yield,rice,25,none,0,paddy,single_cell,t/ha,absolute_control,0.48,0.57,Fig 2b,1,"Fig 2b (paddy rice, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B25; control = no-biochar B0 at same N (CK=0.57); T(B25)=0.48 (Exp ID 78_3)",gt-pdf-decode
gt__StudyID78__r6,gt,078_Wang_2012,crop_yield,rice,50,none,0,paddy,single_cell,t/ha,absolute_control,0.50,0.57,Fig 2b,1,"Fig 2b (paddy rice, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B50; control = no-biochar B0 at same N (CK=0.57); T(B50)=0.50 (Exp ID 78_3)",gt-pdf-decode
gt__StudyID78__r7,gt,078_Wang_2012,crop_yield,wheat,10,none,0,paddy,single_cell,t/ha,absolute_control,0.20,0.20,Fig 2d,1,"Fig 2d (paddy wheat, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B10; control = no-biochar B0 at same N (CK=0.20); T(B10)=0.20 (Exp ID 78_4)",gt-pdf-decode
gt__StudyID78__r8,gt,078_Wang_2012,crop_yield,wheat,25,none,0,paddy,single_cell,t/ha,absolute_control,0.22,0.20,Fig 2d,1,"Fig 2d (paddy wheat, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B25; control = no-biochar B0 at same N (CK=0.20); T(B25)=0.22 (Exp ID 78_4)",gt-pdf-decode
gt__StudyID78__r9,gt,078_Wang_2012,crop_yield,wheat,50,none,0,paddy,single_cell,t/ha,absolute_control,0.22,0.20,Fig 2d,1,"Fig 2d (paddy wheat, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code B (NilN(0)); biochar B50; control = no-biochar B0 at same N (CK=0.20); T(B50)=0.22 (Exp ID 78_4)",gt-pdf-decode
gt__StudyID78__r10,gt,078_Wang_2012,crop_yield,wheat_biomass,25,nitrogen_fertilizer,200,upland,single_cell,t/ha,cofactor_matched_control,2.76,2.69,Fig 2c,1,"Fig 2c (upland wheat, biomass); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B25; control = no-biochar B0 at same N (CK=2.69); T(B25)=2.76 (Exp ID 78_5)",gt-pdf-decode
gt__StudyID78__r11,gt,078_Wang_2012,crop_yield,wheat_biomass,50,nitrogen_fertilizer,200,upland,single_cell,t/ha,cofactor_matched_control,3.24,2.69,Fig 2c,1,"Fig 2c (upland wheat, biomass); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B50; control = no-biochar B0 at same N (CK=2.69); T(B50)=3.24 (Exp ID 78_5)",gt-pdf-decode
gt__StudyID78__r12,gt,078_Wang_2012,crop_yield,wheat_grain,25,nitrogen_fertilizer,200,upland,single_cell,t/ha,cofactor_matched_control,0.93,0.86,Fig 2c,1,"Fig 2c (upland wheat, grain); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B25; control = no-biochar B0 at same N (CK=0.86); T(B25)=0.93 (Exp ID 78_6)",gt-pdf-decode
gt__StudyID78__r13,gt,078_Wang_2012,crop_yield,wheat_grain,50,nitrogen_fertilizer,200,upland,single_cell,t/ha,cofactor_matched_control,0.98,0.86,Fig 2c,1,"Fig 2c (upland wheat, grain); upland soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 60.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B50; control = no-biochar B0 at same N (CK=0.86); T(B50)=0.98 (Exp ID 78_6)",gt-pdf-decode
gt__StudyID78__r14,gt,078_Wang_2012,crop_yield,rice,10,nitrogen_fertilizer,200,paddy,single_cell,t/ha,cofactor_matched_control,0.86,0.70,Fig 2b,1,"Fig 2b (paddy rice, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B10; control = no-biochar B0 at same N (CK=0.70); T(B10)=0.86 (Exp ID 78_7)",gt-pdf-decode
gt__StudyID78__r15,gt,078_Wang_2012,crop_yield,rice,25,nitrogen_fertilizer,200,paddy,single_cell,t/ha,cofactor_matched_control,0.92,0.70,Fig 2b,1,"Fig 2b (paddy rice, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B25; control = no-biochar B0 at same N (CK=0.70); T(B25)=0.92 (Exp ID 78_7)",gt-pdf-decode
gt__StudyID78__r16,gt,078_Wang_2012,crop_yield,rice,50,nitrogen_fertilizer,200,paddy,single_cell,t/ha,cofactor_matched_control,0.96,0.70,Fig 2b,1,"Fig 2b (paddy rice, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B50; control = no-biochar B0 at same N (CK=0.70); T(B50)=0.96 (Exp ID 78_7)",gt-pdf-decode
gt__StudyID78__r17,gt,078_Wang_2012,crop_yield,wheat,10,nitrogen_fertilizer,200,paddy,single_cell,t/ha,cofactor_matched_control,0.33,0.30,Fig 2d,1,"Fig 2d (paddy wheat, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B10; control = no-biochar B0 at same N (CK=0.30); T(B10)=0.33 (Exp ID 78_8)",gt-pdf-decode
gt__StudyID78__r18,gt,078_Wang_2012,crop_yield,wheat,25,nitrogen_fertilizer,200,paddy,single_cell,t/ha,cofactor_matched_control,0.35,0.30,Fig 2d,1,"Fig 2d (paddy wheat, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B25; control = no-biochar B0 at same N (CK=0.30); T(B25)=0.35 (Exp ID 78_8)",gt-pdf-decode
gt__StudyID78__r19,gt,078_Wang_2012,crop_yield,wheat,50,nitrogen_fertilizer,200,paddy,single_cell,t/ha,cofactor_matched_control,0.51,0.30,Fig 2d,1,"Fig 2d (paddy wheat, grain_or_biomass_undetermined); paddy soil recovered from biochar-rate set {25,50}=upland / {10,25,50}=paddy and TrialDuration 365.00 (60=upland,365=paddy); N level from Treatment code BN (N(200)); biochar B50; control = no-biochar B0 at same N (CK=0.30); T(B50)=0.51 (Exp ID 78_8)",gt-pdf-decode
