row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID81__r599,gt,081_Deenik_2010,crop_yield,lettuce,5,none,0,season1,single_cell,g/pot,absolute_control,6.93,7.45,Fig 1a,1,"GT row 599 (ExpID 81_1); Fig 1a lettuce DM (g/pot, n=3, bars=SE); Treatment=B=-Fertilizer (no N); charcoal 5% w/w; co-amendment N level=no N; control=0% charcoal soil reused across treatments in ExpID (CK=7.45); T=6.93",gt-pdf-decode
gt__StudyID81__r600,gt,081_Deenik_2010,crop_yield,lettuce,10,none,0,season1,single_cell,g/pot,absolute_control,6.74,7.45,Fig 1a,1,"GT row 600 (ExpID 81_1); Fig 1a lettuce DM (g/pot, n=3, bars=SE); Treatment=B=-Fertilizer (no N); charcoal 10% w/w; co-amendment N level=no N; control=0% charcoal soil reused across treatments in ExpID (CK=7.45); T=6.74",gt-pdf-decode
gt__StudyID81__r601,gt,081_Deenik_2010,crop_yield,lettuce,5,nitrogen,200,season1,single_cell,g/pot,absolute_control,5.68,7.45,Fig 1a,1,"GT row 601 (ExpID 81_1); Fig 1a lettuce DM (g/pot, n=3, bars=SE); Treatment=BN=+Fertilizer (N); charcoal 5% w/w; co-amendment N level=200 mg N/kg total (Exp1); control=0% charcoal soil reused across treatments in ExpID (CK=7.45); T=5.68",gt-pdf-decode
gt__StudyID81__r602,gt,081_Deenik_2010,crop_yield,lettuce,20,none,0,season1,single_cell,g/pot,absolute_control,8.82,7.97,Fig 1a,1,"GT row 602 (ExpID 81_2); Fig 1a lettuce DM (g/pot, n=3, bars=SE); Treatment=B=-Fertilizer (no N); charcoal 20% w/w; co-amendment N level=no N; control=0% charcoal soil reused across treatments in ExpID (CK=7.97); T=8.82",gt-pdf-decode
gt__StudyID81__r603,gt,081_Deenik_2010,crop_yield,lettuce,10,nitrogen,200,season1,single_cell,g/pot,absolute_control,7.62,7.97,Fig 1a,1,"GT row 603 (ExpID 81_2); Fig 1a lettuce DM (g/pot, n=3, bars=SE); Treatment=BN=+Fertilizer (N); charcoal 10% w/w; co-amendment N level=200 mg N/kg total (Exp1); control=0% charcoal soil reused across treatments in ExpID (CK=7.97); T=7.62",gt-pdf-decode
gt__StudyID81__r604,gt,081_Deenik_2010,crop_yield,lettuce,20,nitrogen,200,season1,single_cell,g/pot,absolute_control,6.57,7.97,Fig 1a,1,"GT row 604 (ExpID 81_2); Fig 1a lettuce DM (g/pot, n=3, bars=SE); Treatment=BN=+Fertilizer (N); charcoal 20% w/w; co-amendment N level=200 mg N/kg total (Exp1); control=0% charcoal soil reused across treatments in ExpID (CK=7.97); T=6.57",gt-pdf-decode
gt__StudyID81__r605,gt,081_Deenik_2010,crop_yield,maize,5,none,0,season1,single_cell,g/pot,absolute_control,6.97,6.29,Fig 1b,1,"GT row 605 (ExpID 81_3); Fig 1b maize DM (g/pot, n=3, bars=SE); Treatment=B=-Fertilizer (no N); charcoal 5% w/w; co-amendment N level=no N; control=0% charcoal soil reused across treatments in ExpID (CK=6.29); T=6.97",gt-pdf-decode
gt__StudyID81__r606,gt,081_Deenik_2010,crop_yield,maize,10,none,0,season1,single_cell,g/pot,absolute_control,6.86,6.29,Fig 1b,1,"GT row 606 (ExpID 81_3); Fig 1b maize DM (g/pot, n=3, bars=SE); Treatment=B=-Fertilizer (no N); charcoal 10% w/w; co-amendment N level=no N; control=0% charcoal soil reused across treatments in ExpID (CK=6.29); T=6.86",gt-pdf-decode
gt__StudyID81__r607,gt,081_Deenik_2010,crop_yield,maize,5,nitrogen,100,season1,single_cell,g/pot,absolute_control,6.43,6.29,Fig 1b,1,"GT row 607 (ExpID 81_3); Fig 1b maize DM (g/pot, n=3, bars=SE); Treatment=BN=+Fertilizer (N); charcoal 5% w/w; co-amendment N level=100 mg N/kg (Exp2); control=0% charcoal soil reused across treatments in ExpID (CK=6.29); T=6.43",gt-pdf-decode
gt__StudyID81__r608,gt,081_Deenik_2010,crop_yield,maize,20,none,0,season1,single_cell,g/pot,absolute_control,10.66,12.54,Fig 1b,1,"GT row 608 (ExpID 81_4); Fig 1b maize DM (g/pot, n=3, bars=SE); Treatment=B=-Fertilizer (no N); charcoal 20% w/w; co-amendment N level=no N; control=0% charcoal soil reused across treatments in ExpID (CK=12.54); T=10.66",gt-pdf-decode
gt__StudyID81__r609,gt,081_Deenik_2010,crop_yield,maize,10,nitrogen,100,season1,single_cell,g/pot,absolute_control,12.43,12.54,Fig 1b,1,"GT row 609 (ExpID 81_4); Fig 1b maize DM (g/pot, n=3, bars=SE); Treatment=BN=+Fertilizer (N); charcoal 10% w/w; co-amendment N level=100 mg N/kg (Exp2); control=0% charcoal soil reused across treatments in ExpID (CK=12.54); T=12.43",gt-pdf-decode
gt__StudyID81__r610,gt,081_Deenik_2010,crop_yield,maize,20,nitrogen,100,season1,single_cell,g/pot,absolute_control,9.59,12.54,Fig 1b,1,"GT row 610 (ExpID 81_4); Fig 1b maize DM (g/pot, n=3, bars=SE); Treatment=BN=+Fertilizer (N); charcoal 20% w/w; co-amendment N level=100 mg N/kg (Exp2); control=0% charcoal soil reused across treatments in ExpID (CK=12.54); T=9.59",gt-pdf-decode
