row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID82__r611,gt,082_Jose_2013,crop_yield,wheat,11.25,mineral_fertilization,0,season1_bcA,single_cell,t/ha,absolute_control,5.19,3.04,Fig 2,1,"ExpID 82_1 (biochar 0.5% w/w = 11.25 t/ha), Treatment=B = biochar only, no mineral fert => F0. Fig 2 'Dry grain biomass (g pot-1)'. timepoint token bcA = the biochar-type sub-experiment recorded by GT ExpID 82_1 (one of OPB/WSB; pairs with 82_4=bcB at same rate). T=5.19, CK=3.04.",gt-pdf-decode
gt__StudyID82__r612,gt,082_Jose_2013,crop_yield,wheat,11.25,mineral_fertilization,100,season1_bcA,single_cell,t/ha,absolute_control,4.94,3.04,Fig 2,1,"ExpID 82_1 BN rate 11.25 t/ha. Two BN rows share rate => dropped coord = mineral fertilization level (F40 vs F100). Paper Fig 2: F100 grain > F40. Higher BN mean 4.94 => F100 (100%, complete). bcA = ExpID-82_1 biochar-type sub-experiment.",gt-pdf-decode
gt__StudyID82__r613,gt,082_Jose_2013,crop_yield,wheat,11.25,mineral_fertilization,40,season1_bcA,single_cell,t/ha,absolute_control,3.55,3.04,Fig 2,1,"ExpID 82_1 BN rate 11.25 t/ha. Lower BN mean 3.55 => F40 (40%, 'low'). Dropped fert-level coord recovered from Fig 2 ordering F100>F40. bcA = ExpID-82_1 biochar-type sub-experiment.",gt-pdf-decode
gt__StudyID82__r614,gt,082_Jose_2013,crop_yield,wheat,22.50,mineral_fertilization,0,season1_bcA,single_cell,t/ha,absolute_control,8.74,9.39,Fig 2,1,"ExpID 82_2 (biochar 1.0% w/w = 22.50 t/ha), Treatment=B = biochar only => F0. Fig 2 dry grain biomass. bcA = ExpID-82_2 biochar-type sub-experiment (pairs with 82_5=bcB). T=8.74, CK=9.39.",gt-pdf-decode
gt__StudyID82__r615,gt,082_Jose_2013,crop_yield,wheat,22.50,mineral_fertilization,40,season1_bcA,single_cell,t/ha,absolute_control,8.36,9.39,Fig 2,1,ExpID 82_2 BN rate 22.50 t/ha. Lower BN mean 8.36 => F40 (40%). Dropped fert-level coord recovered (F100>F40 per Fig 2). bcA = ExpID-82_2 biochar-type sub-experiment.,gt-pdf-decode
gt__StudyID82__r616,gt,082_Jose_2013,crop_yield,wheat,22.50,mineral_fertilization,100,season1_bcA,single_cell,t/ha,absolute_control,9.77,9.39,Fig 2,1,"ExpID 82_2 BN rate 22.50 t/ha. Higher BN mean 9.77 => F100 (100%, complete). Dropped fert-level coord recovered. bcA = ExpID-82_2 biochar-type sub-experiment.",gt-pdf-decode
gt__StudyID82__r617,gt,082_Jose_2013,crop_yield,wheat,56.25,mineral_fertilization,0,season1,single_cell,t/ha,absolute_control,17.10,18.00,Fig 2,1,"ExpID 82_3 (biochar 2.5% w/w = 56.25 t/ha) Treatment=B => F0. GT merged BOTH biochar types (OPB+WSB) into ExpID 82_3, so biochar-type sub-coord cannot be split from GT row (no separate ExpID); left as season1, type AMBIGUOUS. This is one of two F0 B-rows at 2.5%. T=17.10.",gt-pdf-decode
gt__StudyID82__r618,gt,082_Jose_2013,crop_yield,wheat,56.25,mineral_fertilization,0,season1,single_cell,t/ha,absolute_control,17.87,18.00,Fig 2,1,"ExpID 82_3 rate 56.25 t/ha Treatment=B => F0, the other biochar type. Two B rows at 2.5% = F0 of OPB and WSB; biochar-type undeterminable (GT merged into single ExpID). T=17.87.",gt-pdf-decode
gt__StudyID82__r619,gt,082_Jose_2013,crop_yield,wheat,56.25,mineral_fertilization,100,season1,single_cell,t/ha,absolute_control,20.25,18.00,Fig 2,1,"ExpID 82_3 BN rate 56.25 t/ha. Four BN rows = {F40,F100} x 2 biochar types merged in one ExpID. Highest BN mean 20.25 => F100. Biochar-type sub-coord AMBIGUOUS (not separable from GT row). F40/F100 split via Fig 2 ordering F100>F40.",gt-pdf-decode
gt__StudyID82__r620,gt,082_Jose_2013,crop_yield,wheat,56.25,mineral_fertilization,100,season1,single_cell,t/ha,absolute_control,18.77,18.00,Fig 2,1,ExpID 82_3 BN rate 56.25 t/ha. 2nd-highest BN mean 18.77 => F100 (other biochar type). Biochar-type AMBIGUOUS. F40/F100 split via Fig 2 ordering F100>F40.,gt-pdf-decode
