row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID101__exp1_r0,gt,101_Liang_Feng_2014,crop_yield,wheat,30,none,0,y2010,single_cell,kg/ha,cofactor_matched_control,5180,5020,Fig 1,1,"Fig 1 wheat panel, year 2010 (1st wheat harvest after Jun-2009 start): WM-F-30 bar ~5.18 vs WM-F (no-biochar fertilized control) ~5.02; ExpID 101_1 TrialDuration 365 d",gt-pdf-decode
gt__StudyID101__exp1_r1,gt,101_Liang_Feng_2014,crop_yield,wheat,60,none,0,y2010,single_cell,kg/ha,cofactor_matched_control,5120,5020,Fig 1,1,"Fig 1 wheat panel, year 2010: WM-F-60 bar ~5.12 vs WM-F ~5.02; ExpID 101_1 (all 5 bars 'a', no sig diff)",gt-pdf-decode
gt__StudyID101__exp1_r2,gt,101_Liang_Feng_2014,crop_yield,wheat,90,none,0,y2010,single_cell,kg/ha,cofactor_matched_control,5120,5020,Fig 1,1,"Fig 1 wheat panel, year 2010: WM-F-90 bar ~5.12 vs WM-F ~5.02; ExpID 101_1",gt-pdf-decode
gt__StudyID101__exp2_r0,gt,101_Liang_Feng_2014,crop_yield,wheat,30,none,0,y2011,single_cell,kg/ha,cofactor_matched_control,6740,5630,Fig 1,1,"Fig 1 wheat panel, year 2011 (largest treatment effect): WM-F-30 ~6.74 vs WM-F ~5.63; ExpID 101_2; text: 'WM-F-60 30% higher than WM-F in 2011'",gt-pdf-decode
gt__StudyID101__exp2_r1,gt,101_Liang_Feng_2014,crop_yield,wheat,60,none,0,y2011,single_cell,kg/ha,cofactor_matched_control,7300,5630,Fig 1,1,"Fig 1 wheat panel, year 2011: WM-F-60 highest bar ~7.30 vs WM-F ~5.63 (=30% higher, matches text); ExpID 101_2",gt-pdf-decode
gt__StudyID101__exp2_r2,gt,101_Liang_Feng_2014,crop_yield,wheat,90,none,0,y2011,single_cell,kg/ha,cofactor_matched_control,6270,5630,Fig 1,1,"Fig 1 wheat panel, year 2011: WM-F-90 ~6.27 vs WM-F ~5.63; ExpID 101_2",gt-pdf-decode
gt__StudyID101__exp3_r0,gt,101_Liang_Feng_2014,crop_yield,wheat,30,none,0,y2012,single_cell,kg/ha,cofactor_matched_control,5100,4910,Fig 1,1,"Fig 1 wheat panel, year 2012: WM-F-30 ~5.10 vs WM-F ~4.91; ExpID 101_3 TrialDuration 730 d (all 'a')",gt-pdf-decode
gt__StudyID101__exp3_r1,gt,101_Liang_Feng_2014,crop_yield,wheat,60,none,0,y2012,single_cell,kg/ha,cofactor_matched_control,4940,4910,Fig 1,1,"Fig 1 wheat panel, year 2012: WM-F-60 ~4.94 vs WM-F ~4.91; ExpID 101_3",gt-pdf-decode
gt__StudyID101__exp3_r2,gt,101_Liang_Feng_2014,crop_yield,wheat,90,none,0,y2012,single_cell,kg/ha,cofactor_matched_control,4940,4910,Fig 1,1,"Fig 1 wheat panel, year 2012: WM-F-90 ~4.94 vs WM-F ~4.91; ExpID 101_3",gt-pdf-decode
gt__StudyID101__exp4_r0,gt,101_Liang_Feng_2014,crop_yield,wheat,30,none,0,y2013,single_cell,kg/ha,cofactor_matched_control,4590,4250,Fig 1,1,"Fig 1 wheat panel, year 2013 (lowest wheat yields ~4.2-4.6): WM-F-30 ~4.59 vs WM-F ~4.25; ExpID 101_4 TrialDuration 730 d",gt-pdf-decode
gt__StudyID101__exp4_r1,gt,101_Liang_Feng_2014,crop_yield,wheat,60,none,0,y2013,single_cell,kg/ha,cofactor_matched_control,4410,4250,Fig 1,1,"Fig 1 wheat panel, year 2013: WM-F-60 ~4.41 vs WM-F ~4.25; ExpID 101_4",gt-pdf-decode
gt__StudyID101__exp4_r2,gt,101_Liang_Feng_2014,crop_yield,wheat,90,none,0,y2013,single_cell,kg/ha,cofactor_matched_control,4570,4250,Fig 1,1,"Fig 1 wheat panel, year 2013: WM-F-90 ~4.57 vs WM-F ~4.25; ExpID 101_4",gt-pdf-decode
gt__StudyID101__exp5_r0,gt,101_Liang_Feng_2014,crop_yield,wheat,30,none,0,pooled,documented_pooled,kg/ha,cofactor_matched_control,5390,4940,Table 3,0,"Mean over 4 wheat seasons. Table 3 wheat: WM-F-30 total 21.81/4=5.45, WM-F 19.81/4=4.95 -> matches GT 5.39/4.94; ExpID 101_5 (the 'Mean' bar in Fig 1)",gt-pdf-decode
gt__StudyID101__exp5_r1,gt,101_Liang_Feng_2014,crop_yield,wheat,60,none,0,pooled,documented_pooled,kg/ha,cofactor_matched_control,5440,4940,Table 3,0,Mean over 4 wheat seasons. Table 3 wheat: WM-F-60 total 21.87/4=5.47 -> matches GT 5.44; control WM-F 4.95; ExpID 101_5,gt-pdf-decode
gt__StudyID101__exp5_r2,gt,101_Liang_Feng_2014,crop_yield,wheat,90,none,0,pooled,documented_pooled,kg/ha,cofactor_matched_control,5230,4940,Table 3,0,Mean over 4 wheat seasons. Table 3 wheat: WM-F-90 total 20.92/4=5.23 -> exact match GT 5.23; control WM-F 4.95; ExpID 101_5,gt-pdf-decode
gt__StudyID101__exp6_r0,gt,101_Liang_Feng_2014,crop_yield,maize,30,none,0,y2009,single_cell,kg/ha,cofactor_matched_control,7810,7980,Fig 1,1,"Fig 1 maize panel, year 2009 (1st maize season, experiment start; biochar below WM-F per text): WM-F-30 ~7.81 vs WM-F ~7.98; ExpID 101_6 TrialDuration 1095 d",gt-pdf-decode
gt__StudyID101__exp6_r1,gt,101_Liang_Feng_2014,crop_yield,maize,60,none,0,y2009,single_cell,kg/ha,cofactor_matched_control,7870,7980,Fig 1,1,"Fig 1 maize panel, year 2009: WM-F-60 ~7.87 vs WM-F ~7.98; ExpID 101_6; text '2009 biochar even lower than WM-F'",gt-pdf-decode
gt__StudyID101__exp6_r2,gt,101_Liang_Feng_2014,crop_yield,maize,90,none,0,y2009,single_cell,kg/ha,cofactor_matched_control,7980,7980,Fig 1,1,"Fig 1 maize panel, year 2009: WM-F-90 ~7.98 = WM-F ~7.98; ExpID 101_6",gt-pdf-decode
gt__StudyID101__exp7_r0,gt,101_Liang_Feng_2014,crop_yield,maize,30,none,0,y2010,single_cell,kg/ha,cofactor_matched_control,8760,8960,Fig 1,1,"Fig 1 maize panel, year 2010: WM-F-30 ~8.76 vs WM-F ~8.96; ExpID 101_7 TrialDuration 1460 d",gt-pdf-decode
gt__StudyID101__exp7_r1,gt,101_Liang_Feng_2014,crop_yield,maize,60,none,0,y2010,single_cell,kg/ha,cofactor_matched_control,9100,8960,Fig 1,1,"Fig 1 maize panel, year 2010: WM-F-60 ~9.10 vs WM-F ~8.96; ExpID 101_7",gt-pdf-decode
gt__StudyID101__exp7_r2,gt,101_Liang_Feng_2014,crop_yield,maize,90,none,0,y2010,single_cell,kg/ha,cofactor_matched_control,8900,8960,Fig 1,1,"Fig 1 maize panel, year 2010: WM-F-90 ~8.90 vs WM-F ~8.96; ExpID 101_7",gt-pdf-decode
gt__StudyID101__exp8_r0,gt,101_Liang_Feng_2014,crop_yield,maize,30,none,0,y2011,single_cell,kg/ha,cofactor_matched_control,10400,9850,Fig 1,1,"Fig 1 maize panel, year 2011 (highest maize yields, WM-F 'b'): WM-F-30 ~10.40 vs WM-F ~9.85; ExpID 101_8 TrialDuration 1460 d",gt-pdf-decode
gt__StudyID101__exp8_r1,gt,101_Liang_Feng_2014,crop_yield,maize,60,none,0,y2011,single_cell,kg/ha,cofactor_matched_control,10100,9850,Fig 1,1,"Fig 1 maize panel, year 2011: WM-F-60 ~10.10 vs WM-F ~9.85; ExpID 101_8",gt-pdf-decode
