row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID116__r0,gt,116_Farrell_2014,crop_yield,wheat,0.035,phosphorus,0,y2010,single_cell,kg/ha,absolute_control,2330,2490,Fig 2,1,"Fig 2 2010 white bar (No DAP), Low-banded biochar 35 kg/ha (=0.035 t/ha); GT code B/4.00 = 2.33 t/ha; control = No Char/No DAP white bar 2.49 t/ha. Biochar suppressed yield in unfertilised plots (text p.173).",gt-pdf-decode
gt__StudyID116__r1,gt,116_Farrell_2014,crop_yield,wheat,0.175,phosphorus,0,y2010,single_cell,kg/ha,absolute_control,2360,2490,Fig 2,1,"Fig 2 2010 white bar (No DAP), High-banded biochar 175 kg/ha (=0.175 t/ha); GT code B/18.00 = 2.36 t/ha; control No Char/No DAP = 2.49.",gt-pdf-decode
gt__StudyID116__r2,gt,116_Farrell_2014,crop_yield,wheat,5,phosphorus,0,y2010,single_cell,kg/ha,absolute_control,2380,2490,Fig 2,1,"Fig 2 2010 white bar (No DAP), 5 t/ha surface-spread biochar; GT code B/50.00 = 2.38 t/ha; control No Char/No DAP = 2.49.",gt-pdf-decode
gt__StudyID116__r3,gt,116_Farrell_2014,crop_yield,wheat,0.175,phosphorus,17.6,y2010,single_cell,kg/ha,absolute_control,2730,2490,Fig 2,1,Fig 2 2010 High-banded biochar (175 kg/ha=0.175 t/ha) + DAP; GT code BP/18.00 = 2.73 t/ha. Both High DAP bars (35 & 70 kg DAP/ha) read ~2.73 so P level ambiguous; assigned 70 kg DAP=17.6 kg P/ha (dark-grey). control No Char/No DAP = 2.49.,gt-pdf-decode
gt__StudyID116__r4,gt,116_Farrell_2014,crop_yield,wheat,5,phosphorus,8.8,y2010,single_cell,kg/ha,absolute_control,2640,2490,Fig 2,1,"Fig 2 2010 5 t/ha surface-spread biochar + 35 kg DAP/ha (light-grey, =8.8 kg P/ha); GT code BP/50.00 = 2.64 t/ha (5t/35 bar ~2.65). control No Char/No DAP = 2.49.",gt-pdf-decode
gt__StudyID116__r5,gt,116_Farrell_2014,crop_yield,wheat,5,phosphorus,17.6,y2010,single_cell,kg/ha,absolute_control,2870,2490,Fig 2,1,"Fig 2 2010 5 t/ha surface-spread biochar + 70 kg DAP/ha (dark-grey, =17.6 kg P/ha); GT code BP/50.00 = 2.87 t/ha (tallest 2010 bar). control No Char/No DAP = 2.49.",gt-pdf-decode
gt__StudyID116__r6,gt,116_Farrell_2014,crop_yield,wheat,0.035,phosphorus,0,y2011,single_cell,kg/ha,absolute_control,1690,2070,Fig 2,1,"Fig 2 2011 white bar (No DAP), Low-banded biochar 35 kg/ha (=0.035 t/ha); GT code B/4.00 = 1.69 t/ha; control No Char/No DAP white bar 2.07 t/ha.",gt-pdf-decode
gt__StudyID116__r7,gt,116_Farrell_2014,crop_yield,wheat,5,phosphorus,0,y2011,single_cell,kg/ha,absolute_control,1860,2070,Fig 2,1,"Fig 2 2011 white bar (No DAP), 5 t/ha surface-spread biochar; GT code B/50.00 = 1.86 t/ha (5t/0 bar ~1.83-1.86); control No Char/No DAP = 2.07.",gt-pdf-decode
gt__StudyID116__r8,gt,116_Farrell_2014,crop_yield,wheat,0.035,phosphorus,8.8,y2011,single_cell,kg/ha,absolute_control,2060,2070,Fig 2,1,"Fig 2 2011 Low-banded biochar (35 kg/ha=0.035 t/ha) + 35 kg DAP/ha (light-grey, =8.8 kg P/ha); GT code BP/4.00 = 2.06 t/ha; control No Char/No DAP = 2.07.",gt-pdf-decode
gt__StudyID116__r9,gt,116_Farrell_2014,crop_yield,wheat,0.035,phosphorus,17.6,y2011,single_cell,kg/ha,absolute_control,2220,2070,Fig 2,1,"Fig 2 2011 Low-banded biochar (35 kg/ha=0.035 t/ha) + 70 kg DAP/ha (dark-grey, =17.6 kg P/ha); GT code BP/4.00 = 2.22 t/ha; control No Char/No DAP = 2.07.",gt-pdf-decode
gt__StudyID116__r10,gt,116_Farrell_2014,crop_yield,wheat,0.175,phosphorus,8.8,y2011,single_cell,kg/ha,absolute_control,1830,2070,Fig 2,1,"Fig 2 2011 High-banded biochar (175 kg/ha=0.175 t/ha) + 35 kg DAP/ha (light-grey, =8.8 kg P/ha); GT code BP/18.00 = 1.83 t/ha (lower of the two High+P bars); control No Char/No DAP = 2.07.",gt-pdf-decode
gt__StudyID116__r11,gt,116_Farrell_2014,crop_yield,wheat,0.175,phosphorus,17.6,y2011,single_cell,kg/ha,absolute_control,2040,2070,Fig 2,1,"Fig 2 2011 High-banded biochar (175 kg/ha=0.175 t/ha) + 70 kg DAP/ha (dark-grey, =17.6 kg P/ha); GT code BP/18.00 = 2.04 t/ha (higher of the two High+P bars); control No Char/No DAP = 2.07.",gt-pdf-decode
gt__StudyID116__r12,gt,116_Farrell_2014,crop_yield,wheat,5,phosphorus,8.8,y2011,single_cell,kg/ha,absolute_control,2040,2070,Fig 2,1,"Fig 2 2011 5 t/ha surface-spread biochar + 35 kg DAP/ha (light-grey, =8.8 kg P/ha); GT code BP/50.00 = 2.04 t/ha; control No Char/No DAP = 2.07.",gt-pdf-decode
gt__StudyID116__r13,gt,116_Farrell_2014,crop_yield,wheat,5,phosphorus,17.6,y2011,single_cell,kg/ha,absolute_control,2250,2070,Fig 2,1,"Fig 2 2011 5 t/ha surface-spread biochar + 70 kg DAP/ha (dark-grey, =17.6 kg P/ha); GT code BP/50.00 = 2.25 t/ha; control No Char/No DAP = 2.07.",gt-pdf-decode
