row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID126__r1,gt,126_Arif_2017,crop_yield,maize,10,none,0,pooled,single_cell,kg/ha,absolute_control,3320,2070,Fig 2e,1,"GT 126_1 Treatment=BNP (biochar+DAP chemical P, 100%-CF, no manure); maize grain T=3.32 t/ha vs Control CK=2.07; matches Fig 2e 100%-CF with-biochar bar (~3.3 kg/ha/1000); BNP=biochar+N+P chemical only",gt-pdf-decode
gt__StudyID126__r2,gt,126_Arif_2017,crop_yield,maize,10,farmyard_manure,100,pooled,single_cell,kg/ha,absolute_control,2930,2070,Fig 2e,1,"GT 126_1 Treatment=BNPKM (biochar+manure), row1 of 6 = figure x-order 100%-FYM; T=2.93 t/ha vs CK=2.07; matches Fig 2e 100%-FYM with-biochar bar (~2.9 kg/ha/1000)",gt-pdf-decode
gt__StudyID126__r3,gt,126_Arif_2017,crop_yield,maize,10,farmyard_manure,75,pooled,single_cell,kg/ha,absolute_control,3620,2070,Fig 2e,1,GT 126_1 BNPKM row2 = figure x-order 75%-FYM; T=3.62 t/ha vs CK=2.07; matches Fig 2e 75%-FYM with-biochar bar (~3.6 kg/ha/1000),gt-pdf-decode
gt__StudyID126__r4,gt,126_Arif_2017,crop_yield,maize,10,farmyard_manure,50,pooled,single_cell,kg/ha,absolute_control,3950,2070,Fig 2e,1,GT 126_1 BNPKM row3 = figure x-order 50%-FYM; T=3.95 t/ha vs CK=2.07; matches Fig 2e 50%-FYM with-biochar bar (~3.95 kg/ha/1000); text: highest maize yield at 50%-FYM and 50%-PM with biochar,gt-pdf-decode
gt__StudyID126__r5,gt,126_Arif_2017,crop_yield,maize,10,poultry_manure,100,pooled,single_cell,kg/ha,absolute_control,3030,2070,Fig 2e,1,GT 126_1 BNPKM row4 = figure x-order 100%-PM; T=3.03 t/ha vs CK=2.07; matches Fig 2e 100%-PM with-biochar bar (~3.0 kg/ha/1000),gt-pdf-decode
gt__StudyID126__r6,gt,126_Arif_2017,crop_yield,maize,10,poultry_manure,75,pooled,single_cell,kg/ha,absolute_control,3850,2070,Fig 2e,1,GT 126_1 BNPKM row5 = figure x-order 75%-PM; T=3.85 t/ha vs CK=2.07; matches Fig 2e 75%-PM with-biochar bar (~3.85 kg/ha/1000),gt-pdf-decode
gt__StudyID126__r7,gt,126_Arif_2017,crop_yield,maize,10,poultry_manure,50,pooled,single_cell,kg/ha,absolute_control,4080,2070,Fig 2e,1,"GT 126_1 BNPKM row6 = figure x-order 50%-PM; T=4.08 t/ha vs CK=2.07; matches Fig 2e 50%-PM with-biochar bar (~4.05 kg/ha/1000, tallest); text: highest maize yield at 50%-FYM and 50%-PM",gt-pdf-decode
gt__StudyID126__r8,gt,126_Arif_2017,crop_yield,wheat,10,none,0,pooled,single_cell,kg/ha,absolute_control,3180,1950,Fig 2g,1,"GT 126_2 Treatment=BNP (biochar+DAP chemical P, 100%-CF, no manure); wheat grain T=3.18 t/ha vs Control CK=1.95; matches Fig 2g 100%-CF with-biochar bar (~3.2 kg/ha/1000)",gt-pdf-decode
gt__StudyID126__r9,gt,126_Arif_2017,crop_yield,wheat,10,farmyard_manure,100,pooled,single_cell,kg/ha,absolute_control,3900,1950,Fig 2g,1,GT 126_2 BNPKM row1 = figure x-order 100%-FYM; T=3.90 t/ha vs CK=1.95; matches Fig 2g 100%-FYM with-biochar bar (~3.9 kg/ha/1000); text: highest wheat yield at 100%-FYM and 100%-PM with biochar,gt-pdf-decode
gt__StudyID126__r10,gt,126_Arif_2017,crop_yield,wheat,10,farmyard_manure,75,pooled,single_cell,kg/ha,absolute_control,3220,1950,Fig 2g,1,GT 126_2 BNPKM row2 = figure x-order 75%-FYM; T=3.22 t/ha vs CK=1.95; matches Fig 2g 75%-FYM with-biochar bar (~3.2 kg/ha/1000),gt-pdf-decode
gt__StudyID126__r11,gt,126_Arif_2017,crop_yield,wheat,10,farmyard_manure,50,pooled,single_cell,kg/ha,absolute_control,3010,1950,Fig 2g,1,GT 126_2 BNPKM row3 = figure x-order 50%-FYM; T=3.01 t/ha vs CK=1.95; matches Fig 2g 50%-FYM with-biochar bar (~3.0 kg/ha/1000),gt-pdf-decode
gt__StudyID126__r12,gt,126_Arif_2017,crop_yield,wheat,10,poultry_manure,100,pooled,single_cell,kg/ha,absolute_control,4010,1950,Fig 2g,1,"GT 126_2 BNPKM row4 = figure x-order 100%-PM; T=4.01 t/ha vs CK=1.95; matches Fig 2g 100%-PM with-biochar bar (~4.0 kg/ha/1000, tallest); text: highest wheat yield at 100%-FYM and 100%-PM",gt-pdf-decode
gt__StudyID126__r13,gt,126_Arif_2017,crop_yield,wheat,10,poultry_manure,75,pooled,single_cell,kg/ha,absolute_control,3250,1950,Fig 2g,1,GT 126_2 BNPKM row5 = figure x-order 75%-PM; T=3.25 t/ha vs CK=1.95; matches Fig 2g 75%-PM with-biochar bar (~3.25 kg/ha/1000),gt-pdf-decode
gt__StudyID126__r14,gt,126_Arif_2017,crop_yield,wheat,10,poultry_manure,50,pooled,single_cell,kg/ha,absolute_control,3150,1950,Fig 2g,1,GT 126_2 BNPKM row6 = figure x-order 50%-PM; T=3.15 t/ha vs CK=1.95; matches Fig 2g 50%-PM with-biochar bar (~3.15 kg/ha/1000),gt-pdf-decode
