row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID133__r0,gt,133_Pandit_2018,crop_yield,maize,5,none,0,y2014,single_cell,kg/ha,absolute_control,3760,3460,Table S1 (Fig. 1a first year),1,"ExpID 133_1 (first year maize, season 1, 2014); 5 t/ha BC; CK=3.46 T=3.76. Fig.1a first-year bars ~3.5 flat; text 3.3 'first year's harvest biochar did not show significant effect on maize'. N fertilizer+single initial manure background constant in CK and T (B code).",gt-pdf-decode
gt__StudyID133__r1,gt,133_Pandit_2018,crop_yield,maize,10,none,0,y2014,single_cell,kg/ha,absolute_control,4240,3460,Table S1 (Fig. 1a first year),1,"ExpID 133_1 (first year maize, 2014); 10 t/ha BC; CK=3.46 T=4.24. Fig.1a first-year panel.",gt-pdf-decode
gt__StudyID133__r2,gt,133_Pandit_2018,crop_yield,maize,15,none,0,y2014,single_cell,kg/ha,absolute_control,4930,3460,Table S1 (Fig. 1a first year),1,"ExpID 133_1 (first year maize, 2014); 15 t/ha BC; CK=3.46 T=4.93. Fig.1a first-year panel.",gt-pdf-decode
gt__StudyID133__r3,gt,133_Pandit_2018,crop_yield,maize,25,none,0,y2014,single_cell,kg/ha,absolute_control,3860,3460,Table S1 (Fig. 1a first year),1,"ExpID 133_1 (first year maize, 2014); 25 t/ha BC; CK=3.46 T=3.86 (non-monotonic dip consistent with first-year non-significant effect).",gt-pdf-decode
gt__StudyID133__r4,gt,133_Pandit_2018,crop_yield,maize,40,none,0,y2014,single_cell,kg/ha,absolute_control,5480,3460,Table S1 (Fig. 1a first year),1,"ExpID 133_1 (first year maize, 2014); 40 t/ha BC; CK=3.46 T=5.48. Fig.1a first-year tallest bar.",gt-pdf-decode
gt__StudyID133__r5,gt,133_Pandit_2018,crop_yield,maize,5,none,0,y2015,single_cell,kg/ha,absolute_control,4010,3550,Table S1 (Fig. 1a second year),1,"ExpID 133_2 (second year maize, season 3, 2015); 5 t/ha BC; CK=3.55 T=4.01. Text p.1337: second year control 3.5 (matches CK 3.55).",gt-pdf-decode
gt__StudyID133__r6,gt,133_Pandit_2018,crop_yield,maize,10,none,0,y2015,single_cell,kg/ha,absolute_control,4790,3550,Table S1 (Fig. 1a second year),1,"ExpID 133_2 (second year maize, 2015); 10 t/ha BC; CK=3.55 T=4.79.",gt-pdf-decode
gt__StudyID133__r7,gt,133_Pandit_2018,crop_yield,maize,15,none,0,y2015,single_cell,kg/ha,absolute_control,5330,3550,Table S1 (Fig. 1a second year),0,"ExpID 133_2 (second year maize, 2015); 15 t/ha BC; CK=3.55 T=5.33. Text: 15 t/ha +50% = 5.3 (matches T 5.33), control 3.5.",gt-pdf-decode
gt__StudyID133__r8,gt,133_Pandit_2018,crop_yield,maize,25,none,0,y2015,single_cell,kg/ha,absolute_control,5270,3550,Table S1 (Fig. 1a second year),0,"ExpID 133_2 (second year maize, 2015); 25 t/ha BC; CK=3.55 T=5.27. Text: 25 t/ha +47% = 5.2 (matches T 5.27).",gt-pdf-decode
gt__StudyID133__r9,gt,133_Pandit_2018,crop_yield,maize,40,none,0,y2015,single_cell,kg/ha,absolute_control,6820,3550,Table S1 (Fig. 1a second year),0,"ExpID 133_2 (second year maize, 2015); 40 t/ha BC; CK=3.55 T=6.82. Text: 40 t/ha +93% = 6.8 (matches T 6.82).",gt-pdf-decode
gt__StudyID133__r10,gt,133_Pandit_2018,crop_yield,maize,5,none,0,y2016,single_cell,kg/ha,absolute_control,3990,3510,Table S1 (Fig. 1a third year),1,"ExpID 133_3 (third year maize, season 5, 2016); 5 t/ha BC; CK=3.51 T=3.99. Text: third year's harvest (seasons 5 and 6) similar significant trends.",gt-pdf-decode
gt__StudyID133__r11,gt,133_Pandit_2018,crop_yield,maize,10,none,0,y2016,single_cell,kg/ha,absolute_control,4910,3510,Table S1 (Fig. 1a third year),1,"ExpID 133_3 (third year maize, 2016); 10 t/ha BC; CK=3.51 T=4.91.",gt-pdf-decode
gt__StudyID133__r12,gt,133_Pandit_2018,crop_yield,maize,15,none,0,y2016,single_cell,kg/ha,absolute_control,5690,3510,Table S1 (Fig. 1a third year),1,"ExpID 133_3 (third year maize, 2016); 15 t/ha BC; CK=3.51 T=5.69.",gt-pdf-decode
gt__StudyID133__r13,gt,133_Pandit_2018,crop_yield,maize,25,none,0,y2016,single_cell,kg/ha,absolute_control,5400,3510,Table S1 (Fig. 1a third year),1,"ExpID 133_3 (third year maize, 2016); 25 t/ha BC; CK=3.51 T=5.40.",gt-pdf-decode
gt__StudyID133__r14,gt,133_Pandit_2018,crop_yield,maize,40,none,0,y2016,single_cell,kg/ha,absolute_control,7060,3510,Table S1 (Fig. 1a third year),1,"ExpID 133_3 (third year maize, 2016); 40 t/ha BC; CK=3.51 T=7.06. Fig.1a third-year tallest bar ~7.",gt-pdf-decode
