row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID145__r1,gt,145_Omara_2020,crop_yield,maize,5,none,0,y2018_efaw,single_cell,kg/ha,absolute_control,3510,3480,Table 3 (Efaw 2018),0,"Table 3, Treatment T5 (biochar 5 Mg/ha only), Efaw 2018 column: mean=3.51 Mg/ha vs control T1 mean=3.48 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r2,gt,145_Omara_2020,crop_yield,maize,10,none,0,y2018_efaw,single_cell,kg/ha,absolute_control,3620,3480,Table 3 (Efaw 2018),0,"Table 3, Treatment T6 (biochar 10 Mg/ha only), Efaw 2018 column: mean=3.62 Mg/ha vs control T1 mean=3.48 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r3,gt,145_Omara_2020,crop_yield,maize,15,none,0,y2018_efaw,single_cell,kg/ha,absolute_control,3850,3480,Table 3 (Efaw 2018),0,"Table 3, Treatment T7 (biochar 15 Mg/ha only), Efaw 2018 column: mean=3.85 Mg/ha vs control T1 mean=3.48 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r4,gt,145_Omara_2020,crop_yield,maize,5,nitrogen,50,y2018_efaw,single_cell,kg/ha,absolute_control,5710,3480,Table 3 (Efaw 2018),0,"Table 3, Treatment T8 (N 50 kg/ha + biochar 5 Mg/ha), Efaw 2018 column: mean=5.71 Mg/ha vs control T1 mean=3.48 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r5,gt,145_Omara_2020,crop_yield,maize,10,nitrogen,100,y2018_efaw,single_cell,kg/ha,absolute_control,6680,3480,Table 3 (Efaw 2018),0,"Table 3, Treatment T9 (N 100 kg/ha + biochar 10 Mg/ha), Efaw 2018 column: mean=6.68 Mg/ha vs control T1 mean=3.48 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r6,gt,145_Omara_2020,crop_yield,maize,15,nitrogen,150,y2018_efaw,single_cell,kg/ha,absolute_control,6430,3480,Table 3 (Efaw 2018),0,"Table 3, Treatment T10 (N 150 kg/ha + biochar 15 Mg/ha), Efaw 2018 column: mean=6.43 Mg/ha vs control T1 mean=3.48 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r7,gt,145_Omara_2020,crop_yield,maize,5,none,0,y2019_efaw,single_cell,kg/ha,absolute_control,1400,1080,Table 3 (Efaw 2019),0,"Table 3, Treatment T5 (biochar 5 Mg/ha only), Efaw 2019 column: mean=1.40 Mg/ha vs control T1 mean=1.08 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r8,gt,145_Omara_2020,crop_yield,maize,10,none,0,y2019_efaw,single_cell,kg/ha,absolute_control,1650,1080,Table 3 (Efaw 2019),0,"Table 3, Treatment T6 (biochar 10 Mg/ha only), Efaw 2019 column: mean=1.65 Mg/ha vs control T1 mean=1.08 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r9,gt,145_Omara_2020,crop_yield,maize,15,none,0,y2019_efaw,single_cell,kg/ha,absolute_control,1130,1080,Table 3 (Efaw 2019),0,"Table 3, Treatment T7 (biochar 15 Mg/ha only), Efaw 2019 column: mean=1.13 Mg/ha vs control T1 mean=1.08 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
gt__StudyID145__r10,gt,145_Omara_2020,crop_yield,maize,5,nitrogen,50,y2019_efaw,single_cell,kg/ha,absolute_control,1390,1080,Table 3 (Efaw 2019),0,"Table 3, Treatment T8 (N 50 kg/ha + biochar 5 Mg/ha), Efaw 2019 column: mean=1.39 Mg/ha vs control T1 mean=1.08 Mg/ha; values converted Mg/ha->kg/ha",gt-pdf-decode
