row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID153__r1,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,100,y2019,single_cell,kg/ha,absolute_control,2897,1632,Table 2,0,Table 2: 100% N + B winter rapeseed 2019 = 2897±135; 0% N = 1632±90,gt-pdf-decode
gt__StudyID153__r2,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,85,y2019,single_cell,kg/ha,absolute_control,2618,1632,Table 2,0,Table 2: 85% N + B winter rapeseed 2019 = 2618±105; 0% N = 1632±90,gt-pdf-decode
gt__StudyID153__r3,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,70,y2019,single_cell,kg/ha,absolute_control,2403,1632,Table 2,0,Table 2: 70% N + B winter rapeseed 2019 = 2403±113; 0% N = 1632±90,gt-pdf-decode
gt__StudyID153__r4,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,100,y2019,single_cell,kg/ha,cofactor_matched_control,2897,2694,Table 2,0,Table 2: 100% N + B winter rapeseed 2019 = 2897±135; control 100% N = 2694±148,gt-pdf-decode
gt__StudyID153__r5,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,100,y2019,single_cell,kg/ha,absolute_control,11689,8332,Table 2,0,"Table 2: 100% N + B maize 2019 = 11,689±436; 0% N = 8332±365",gt-pdf-decode
gt__StudyID153__r6,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,85,y2019,single_cell,kg/ha,absolute_control,11132,8332,Table 2,0,"Table 2: 85% N + B maize 2019 = 11,132±459; 0% N = 8332±365",gt-pdf-decode
gt__StudyID153__r7,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,70,y2019,single_cell,kg/ha,absolute_control,10576,8332,Table 2,0,"Table 2: 70% N + B maize 2019 = 10,576±535; 0% N = 8332±365",gt-pdf-decode
gt__StudyID153__r8,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,100,y2019,single_cell,kg/ha,cofactor_matched_control,11689,11105,Table 2,0,"Table 2: 100% N + B maize 2019 = 11,689±436; control 100% N = 11,105±426",gt-pdf-decode
gt__StudyID153__r9,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,100,y2020,single_cell,kg/ha,absolute_control,3013,1509,Table 2,0,Table 2: 100% N + B winter rapeseed 2020 = 3013±118; 0% N = 1509±69,gt-pdf-decode
gt__StudyID153__r10,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,85,y2020,single_cell,kg/ha,absolute_control,2709,1509,Table 2,0,Table 2: 85% N + B winter rapeseed 2020 = 2709±163; 0% N = 1509±69,gt-pdf-decode
gt__StudyID153__r11,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,70,y2020,single_cell,kg/ha,absolute_control,2377,1509,Table 2,0,Table 2: 70% N + B winter rapeseed 2020 = 2377±137; 0% N = 1509±69,gt-pdf-decode
gt__StudyID153__r12,gt,153_Wei_2022,crop_yield,rapeseed,3,nitrogen_fertilizer,100,y2020,single_cell,kg/ha,cofactor_matched_control,3013,2705,Table 2,0,Table 2: 100% N + B winter rapeseed 2020 = 3013±118; control 100% N = 2705±133,gt-pdf-decode
gt__StudyID153__r13,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,100,y2020,single_cell,kg/ha,absolute_control,11809,7896,Table 2,0,"Table 2: 100% N + B maize 2020 = 11,809±494; 0% N = 7896±258",gt-pdf-decode
gt__StudyID153__r14,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,85,y2020,single_cell,kg/ha,absolute_control,11191,7896,Table 2,0,"Table 2: 85% N + B maize 2020 = 11,191±395; 0% N = 7896±258",gt-pdf-decode
gt__StudyID153__r15,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,70,y2020,single_cell,kg/ha,absolute_control,10537,7896,Table 2,0,"Table 2: 70% N + B maize 2020 = 10,537±298; 0% N = 7896±258",gt-pdf-decode
gt__StudyID153__r16,gt,153_Wei_2022,crop_yield,maize,3,nitrogen_fertilizer,100,y2020,single_cell,kg/ha,cofactor_matched_control,11809,10956,Table 2,0,"Table 2: 100% N + B maize 2020 = 11,809±494; control 100% N = 10,956±369",gt-pdf-decode
