row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID166__r0,gt,166_Haefele_2011,crop_yield,rice,41.3,none,0,irri_2005ws,single_cell,kg/ha,absolute_control,3810,3840,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) IRRI 2005 WS: control C=3.84, treatment CRH=3.81 [CRH (carbonized rice husk, 4.13 kg/m2 = 41.3 t/ha); GT Treatment=B, BiocharAddition=41.30].",gt-pdf-decode
gt__StudyID166__r1,gt,166_Haefele_2011,crop_yield,rice,49.5,none,0,irri_2005ws,single_cell,kg/ha,absolute_control,4140,3840,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) IRRI 2005 WS: control C=3.84, treatment RH=4.14 [RH (untreated rice husk, 4.95 kg/m2 = 49.5 t/ha); GT Treatment=B, BiocharAddition=49.50].",gt-pdf-decode
gt__StudyID166__r2,gt,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,irri_2005ws,single_cell,kg/ha,absolute_control,4720,3840,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) IRRI 2005 WS: control C=3.84, treatment CRH+F=4.72 [CRH (carbonized rice husk, 4.13 kg/m2 = 41.3 t/ha); GT Treatment=BNPK, BiocharAddition=41.30].",gt-pdf-decode
gt__StudyID166__r3,gt,166_Haefele_2011,crop_yield,rice,49.5,npk,medium,irri_2005ws,single_cell,kg/ha,absolute_control,5810,3840,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) IRRI 2005 WS: control C=3.84, treatment RH+F=5.81 [RH (untreated rice husk, 4.95 kg/m2 = 49.5 t/ha); GT Treatment=BNPK, BiocharAddition=49.50].",gt-pdf-decode
gt__StudyID166__r4,gt,166_Haefele_2011,crop_yield,rice,41.3,none,0,siniloan_2005ws,single_cell,kg/ha,absolute_control,3520,3010,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) Siniloan 2005 WS: control C=3.01, treatment CRH=3.52 [CRH (carbonized rice husk, 4.13 kg/m2 = 41.3 t/ha); GT Treatment=B, BiocharAddition=41.30].",gt-pdf-decode
gt__StudyID166__r5,gt,166_Haefele_2011,crop_yield,rice,49.5,none,0,siniloan_2005ws,single_cell,kg/ha,absolute_control,3420,3010,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) Siniloan 2005 WS: control C=3.01, treatment RH=3.42 [RH (untreated rice husk, 4.95 kg/m2 = 49.5 t/ha); GT Treatment=B, BiocharAddition=49.50].",gt-pdf-decode
gt__StudyID166__r6,gt,166_Haefele_2011,crop_yield,rice,41.3,npk,medium,siniloan_2005ws,single_cell,kg/ha,absolute_control,2830,3010,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) Siniloan 2005 WS: control C=3.01, treatment CRH+F=2.83 [CRH (carbonized rice husk, 4.13 kg/m2 = 41.3 t/ha); GT Treatment=BNPK, BiocharAddition=41.30].",gt-pdf-decode
gt__StudyID166__r7,gt,166_Haefele_2011,crop_yield,rice,49.5,npk,medium,siniloan_2005ws,single_cell,kg/ha,absolute_control,2740,3010,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) Siniloan 2005 WS: control C=3.01, treatment RH+F=2.74 [RH (untreated rice husk, 4.95 kg/m2 = 49.5 t/ha); GT Treatment=BNPK, BiocharAddition=49.50].",gt-pdf-decode
gt__StudyID166__r8,gt,166_Haefele_2011,crop_yield,rice,41.3,none,0,ubon_2005ws,single_cell,kg/ha,absolute_control,2730,2630,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) Ubon 2005 WS: control C=2.63, treatment CRH=2.73 [CRH (carbonized rice husk, 4.13 kg/m2 = 41.3 t/ha); GT Treatment=B, BiocharAddition=41.30].",gt-pdf-decode
gt__StudyID166__r9,gt,166_Haefele_2011,crop_yield,rice,49.5,none,0,ubon_2005ws,single_cell,kg/ha,absolute_control,2610,2630,Table 6,0,"Table 6 (Grain yield t/ha, 14% moisture) Ubon 2005 WS: control C=2.63, treatment RH=2.61 [RH (untreated rice husk, 4.95 kg/m2 = 49.5 t/ha); GT Treatment=B, BiocharAddition=49.50].",gt-pdf-decode
