row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID184__r0,gt,184_Yeboah_2018,crop_yield,wheat,15,nitrogen,0,y2014,single_cell,kg/ha,absolute_control,1600,1310,Table 5,0,"Table 5 Grain yield (kg/ha) 2014: Biochar N0 (BN0 = 15 t/ha biochar, 0 kg N/ha) = 1603 kg/ha = 1.60 t/ha; control = No carbon N0 (CN0 zero-amendment) 2014 = 1305 kg/ha = 1.31",gt-pdf-decode
gt__StudyID184__r1,gt,184_Yeboah_2018,crop_yield,wheat,0,straw_nitrogen,50,y2014,single_cell,kg/ha,absolute_control,1850,1310,Table 5,0,GT Treatment=BM. Table 5 Grain yield (kg/ha) 2014: Straw N50 (SN50 = 4.5 t/ha straw + 50 kg N/ha; 0 biochar) = 1852 kg/ha = 1.85 t/ha; control = No carbon N0 (CN0) 2014 = 1305 = 1.31. Dropped N-rate level recovered = 50,gt-pdf-decode
gt__StudyID184__r2,gt,184_Yeboah_2018,crop_yield,wheat,0,straw_nitrogen,100,y2014,single_cell,kg/ha,absolute_control,1980,1310,Table 5,0,GT Treatment=BM. Table 5 Grain yield (kg/ha) 2014: Straw N100 (SN100 = 4.5 t/ha straw + 100 kg N/ha; 0 biochar) = 1975 kg/ha = 1.98 t/ha; control = No carbon N0 (CN0) 2014 = 1305 = 1.31. Dropped N-rate level recovered = 100,gt-pdf-decode
gt__StudyID184__r3,gt,184_Yeboah_2018,crop_yield,wheat,15,nitrogen,50,y2014,single_cell,kg/ha,absolute_control,1910,1310,Table 5,0,GT Treatment=BN. Table 5 Grain yield (kg/ha) 2014: Biochar N50 (BN50 = 15 t/ha biochar + 50 kg N/ha) = 1905 kg/ha = 1.91 t/ha; control = No carbon N0 (CN0) 2014 = 1305 = 1.31. Dropped N-rate level recovered = 50,gt-pdf-decode
gt__StudyID184__r4,gt,184_Yeboah_2018,crop_yield,wheat,15,nitrogen,100,y2014,single_cell,kg/ha,absolute_control,2140,1310,Table 5,0,GT Treatment=BN. Table 5 Grain yield (kg/ha) 2014: Biochar N100 (BN100 = 15 t/ha biochar + 100 kg N/ha) = 2139 kg/ha = 2.14 t/ha; control = No carbon N0 (CN0) 2014 = 1305 = 1.31. Dropped N-rate level recovered = 100,gt-pdf-decode
gt__StudyID184__r5,gt,184_Yeboah_2018,crop_yield,wheat,15,nitrogen,0,y2015,single_cell,kg/ha,absolute_control,1790,1500,Table 5,0,"Table 5 Grain yield (kg/ha) 2015: Biochar N0 (BN0 = 15 t/ha biochar, 0 kg N/ha) = 1789 kg/ha = 1.79 t/ha; control = No carbon N0 (CN0) 2015 = 1500 = 1.50",gt-pdf-decode
gt__StudyID184__r6,gt,184_Yeboah_2018,crop_yield,wheat,0,straw_nitrogen,50,y2015,single_cell,kg/ha,absolute_control,1940,1500,Table 5,0,GT Treatment=BM. Table 5 Grain yield (kg/ha) 2015: Straw N50 (SN50 = 4.5 t/ha straw + 50 kg N/ha; 0 biochar) = 1944 kg/ha = 1.94 t/ha; control = No carbon N0 (CN0) 2015 = 1500 = 1.50. Dropped N-rate level recovered = 50,gt-pdf-decode
gt__StudyID184__r7,gt,184_Yeboah_2018,crop_yield,wheat,0,straw_nitrogen,100,y2015,single_cell,kg/ha,absolute_control,2180,1500,Table 5,0,GT Treatment=BM. Table 5 Grain yield (kg/ha) 2015: Straw N100 (SN100 = 4.5 t/ha straw + 100 kg N/ha; 0 biochar) = 2180 kg/ha = 2.18 t/ha; control = No carbon N0 (CN0) 2015 = 1500 = 1.50. Dropped N-rate level recovered = 100,gt-pdf-decode
gt__StudyID184__r8,gt,184_Yeboah_2018,crop_yield,wheat,15,nitrogen,50,y2015,single_cell,kg/ha,absolute_control,2130,1500,Table 5,0,GT Treatment=BN. Table 5 Grain yield (kg/ha) 2015: Biochar N50 (BN50 = 15 t/ha biochar + 50 kg N/ha) = 2133 kg/ha = 2.13 t/ha; control = No carbon N0 (CN0) 2015 = 1500 = 1.50. Dropped N-rate level recovered = 50,gt-pdf-decode
gt__StudyID184__r9,gt,184_Yeboah_2018,crop_yield,wheat,15,nitrogen,100,y2015,single_cell,kg/ha,absolute_control,2460,1500,Table 5,0,GT Treatment=BN. Table 5 Grain yield (kg/ha) 2015: Biochar N100 (BN100 = 15 t/ha biochar + 100 kg N/ha) = 2456 kg/ha = 2.46 t/ha; control = No carbon N0 (CN0) 2015 = 1500 = 1.50. Dropped N-rate level recovered = 100,gt-pdf-decode
gt__StudyID184__r10,gt,184_Yeboah_2018,crop_yield,wheat,15,nitrogen,0,y2016,single_cell,kg/ha,absolute_control,1120,1010,Table 5,0,"Table 5 Grain yield (kg/ha) 2016: Biochar N0 (BN0 = 15 t/ha biochar, 0 kg N/ha) = 1124 kg/ha = 1.12 t/ha; control = No carbon N0 (CN0) 2016 = 1009 = 1.01",gt-pdf-decode
gt__StudyID184__r11,gt,184_Yeboah_2018,crop_yield,wheat,0,straw_nitrogen,50,y2016,single_cell,kg/ha,absolute_control,1180,1010,Table 5,0,GT Treatment=BM. Table 5 Grain yield (kg/ha) 2016: Straw N50 (SN50 = 4.5 t/ha straw + 50 kg N/ha; 0 biochar) = 1182 kg/ha = 1.18 t/ha; control = No carbon N0 (CN0) 2016 = 1009 = 1.01. Dropped N-rate level recovered = 50,gt-pdf-decode
gt__StudyID184__r12,gt,184_Yeboah_2018,crop_yield,wheat,0,straw_nitrogen,100,y2016,single_cell,kg/ha,absolute_control,1380,1010,Table 5,0,GT Treatment=BM. Table 5 Grain yield (kg/ha) 2016: Straw N100 (SN100 = 4.5 t/ha straw + 100 kg N/ha; 0 biochar) = 1380 kg/ha = 1.38 t/ha; control = No carbon N0 (CN0) 2016 = 1009 = 1.01. Dropped N-rate level recovered = 100,gt-pdf-decode
