row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID193__r1354,gt,193_Islami_2011,crop_yield,maize,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,4060,3060,Table 2,0,Table 2 maize cassava+maize 2009-10: FYM Biochar 15 Mg/ha once=4.06c vs No organic amendments=3.06a; GT ExpID 193_1 CK3.06 T4.06; first row of pair=FYM biochar feedstock,gt-pdf-decode
gt__StudyID193__r1355,gt,193_Islami_2011,crop_yield,maize,15,cassava_stem_biochar,0,y2009,single_cell,kg/ha,absolute_control,3490,3060,Table 2,0,Table 2 maize cassava+maize 2009-10: Cassava stem biochar 15 Mg/ha once=3.49ab vs No organic amendments=3.06a; GT ExpID 193_1 CK3.06 T3.49,gt-pdf-decode
gt__StudyID193__r1356,gt,193_Islami_2011,crop_yield,maize,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,4130,2730,Table 2,0,Table 2 maize cassava+maize 2010-11: FYM Biochar 15 Mg/ha once=4.13b vs No organic amendments=2.73a; GT ExpID 193_2 CK2.73 T4.13,gt-pdf-decode
gt__StudyID193__r1357,gt,193_Islami_2011,crop_yield,maize,15,cassava_stem_biochar,0,y2010,single_cell,kg/ha,absolute_control,3600,2730,Table 2,0,Table 2 maize cassava+maize 2010-11: Cassava stem biochar 15 Mg/ha once=3.60b vs No organic amendments=2.73a; GT ExpID 193_2 CK2.73 T3.60,gt-pdf-decode
gt__StudyID193__r1358,gt,193_Islami_2011,crop_yield,peanut,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,1080,1010,Table 2,0,Table 2 peanut cassava+peanuts 2009-10: FYM Biochar 15 Mg/ha once=1.08 vs No organic amendments=1.01; GT ExpID 193_3 CK1.01 T1.08,gt-pdf-decode
gt__StudyID193__r1359,gt,193_Islami_2011,crop_yield,peanut,15,cassava_stem_biochar,0,y2009,single_cell,kg/ha,absolute_control,1060,1010,Table 2,0,Table 2 peanut cassava+peanuts 2009-10: Cassava stem biochar 15 Mg/ha once=1.06 vs No organic amendments=1.01; GT ExpID 193_3 CK1.01 T1.06,gt-pdf-decode
gt__StudyID193__r1360,gt,193_Islami_2011,crop_yield,peanut,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,1090,710,Table 2,0,Table 2 peanut cassava+peanuts 2010-11: FYM Biochar 15 Mg/ha once=1.09bc vs No organic amendments=0.71a; GT ExpID 193_4 CK0.71 T1.09,gt-pdf-decode
gt__StudyID193__r1361,gt,193_Islami_2011,crop_yield,peanut,15,cassava_stem_biochar,0,y2010,single_cell,kg/ha,absolute_control,980,710,Table 2,0,Table 2 peanut cassava+peanuts 2010-11: Cassava stem biochar 15 Mg/ha once=0.98ab vs No organic amendments=0.71a; GT ExpID 193_4 CK0.71 T0.98,gt-pdf-decode
gt__StudyID193__r1362,gt,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,18400,16500,Fig 1,1,"Fig 1 cassava+maize system, year 2009: FYM-biochar bar vs without-organic-amendment bar; GT ExpID 193_5 CK16.50 T18.40; CK 2009>2010 (text: yield decreased second year); first row of pair=FYM biochar",gt-pdf-decode
gt__StudyID193__r1363,gt,193_Islami_2011,crop_yield,cassava,15,cassava_stem_biochar,0,y2009,single_cell,kg/ha,absolute_control,18600,16500,Fig 1,1,"Fig 1 cassava+maize system, year 2009: cassava-stem-biochar bar vs without-organic-amendment bar; GT ExpID 193_5 CK16.50 T18.60",gt-pdf-decode
gt__StudyID193__r1364,gt,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,23200,14300,Fig 1,1,"Fig 1 cassava+maize system, year 2010: FYM-biochar bar vs without-organic-amendment bar; GT ExpID 193_6 CK14.30 T23.20",gt-pdf-decode
gt__StudyID193__r1365,gt,193_Islami_2011,crop_yield,cassava,15,cassava_stem_biochar,0,y2010,single_cell,kg/ha,absolute_control,21100,14300,Fig 1,1,"Fig 1 cassava+maize system, year 2010: cassava-stem-biochar bar vs without-organic-amendment bar; GT ExpID 193_6 CK14.30 T21.10",gt-pdf-decode
gt__StudyID193__r1366,gt,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2009,single_cell,kg/ha,absolute_control,21600,19000,Fig 1,1,"Fig 1 cassava+peanuts system, year 2009: FYM-biochar bar vs without-organic-amendment bar (~18.88); GT ExpID 193_7 CK19.00 T21.60; biochar applied at 15 Mg/ha (GT BiocharAddition 20.00 is a data-entry artifact, paper states 15 Mg/ha)",gt-pdf-decode
gt__StudyID193__r1367,gt,193_Islami_2011,crop_yield,cassava,15,cassava_stem_biochar,0,y2009,single_cell,kg/ha,absolute_control,20400,19000,Fig 1,1,"Fig 1 cassava+peanuts system, year 2009: cassava-stem-biochar bar (~20.44) vs without-organic-amendment bar; GT ExpID 193_7 CK19.00 T20.40",gt-pdf-decode
gt__StudyID193__r1368,gt,193_Islami_2011,crop_yield,cassava,15,fym_biochar,0,y2010,single_cell,kg/ha,absolute_control,20300,19200,Fig 1,1,"Fig 1 cassava+peanuts system, year 2010: FYM-biochar bar (~21.44) vs without-organic-amendment bar; GT ExpID 193_8 CK19.20 T20.30; biochar 15 Mg/ha (GT BiocharAddition 20.00 is data-entry artifact)",gt-pdf-decode
gt__StudyID193__r1369,gt,193_Islami_2011,crop_yield,cassava,15,cassava_stem_biochar,0,y2010,single_cell,kg/ha,absolute_control,21200,19200,Fig 1,1,"Fig 1 cassava+peanuts system, year 2010: cassava-stem-biochar bar (~20.44) vs without-organic-amendment bar; GT ExpID 193_8 CK19.20 T21.20",gt-pdf-decode
