row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
223_Dong_2019__gt__1,gt,223_Dong_2019,crop_yield,wheat,20,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,5370,2550,Table 3,0,"Table 3 cell: wheat, 2015-2016 cycle, treat N1Ba2 (biochar aged 20 t/ha; GT total=20 t/ha; N1=250 kg N/ha background), Yield col=5.37 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__2,gt,223_Dong_2019,crop_yield,wheat,40,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,5970,2550,Table 3,0,"Table 3 cell: wheat, 2015-2016 cycle, treat N1Ba4 (biochar aged 40 t/ha; GT total=40 t/ha; N1=250 kg N/ha background), Yield col=5.97 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__3,gt,223_Dong_2019,crop_yield,wheat,30,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,4390,2550,Table 3,0,"Table 3 cell: wheat, 2015-2016 cycle, treat N1Ba2f1 (biochar aged 20 + fresh 10 t/ha; GT total=30 t/ha; N1=250 kg N/ha background), Yield col=4.39 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__4,gt,223_Dong_2019,crop_yield,wheat,60,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,4110,2550,Table 3,0,"Table 3 cell: wheat, 2015-2016 cycle, treat N1Ba4f2 (biochar aged 40 + fresh 20 t/ha; GT total=60 t/ha; N1=250 kg N/ha background), Yield col=4.11 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__5,gt,223_Dong_2019,crop_yield,rice,20,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,8630,4560,Table 3,0,"Table 3 cell: rice, 2015-2016 cycle, treat N1Ba2 (biochar aged 20 t/ha; GT total=20 t/ha; N1=250 kg N/ha background), Yield col=8.63 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__6,gt,223_Dong_2019,crop_yield,rice,40,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,7350,4560,Table 3,0,"Table 3 cell: rice, 2015-2016 cycle, treat N1Ba4 (biochar aged 40 t/ha; GT total=40 t/ha; N1=250 kg N/ha background), Yield col=7.35 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__7,gt,223_Dong_2019,crop_yield,rice,30,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,7190,4560,Table 3,0,"Table 3 cell: rice, 2015-2016 cycle, treat N1Ba2f1 (biochar aged 20 + fresh 10 t/ha; GT total=30 t/ha; N1=250 kg N/ha background), Yield col=7.19 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__8,gt,223_Dong_2019,crop_yield,rice,60,nitrogen,250,y2015,single_cell,kg/ha,absolute_control,6590,4560,Table 3,0,"Table 3 cell: rice, 2015-2016 cycle, treat N1Ba4f2 (biochar aged 40 + fresh 20 t/ha; GT total=60 t/ha; N1=250 kg N/ha background), Yield col=6.59 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__9,gt,223_Dong_2019,crop_yield,wheat,20,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,4770,2590,Table 3,0,"Table 3 cell: wheat, 2016-2017 cycle, treat N1Ba2 (biochar aged 20 t/ha; GT total=20 t/ha; N1=250 kg N/ha background), Yield col=4.77 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__10,gt,223_Dong_2019,crop_yield,wheat,40,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,4700,2590,Table 3,0,"Table 3 cell: wheat, 2016-2017 cycle, treat N1Ba4 (biochar aged 40 t/ha; GT total=40 t/ha; N1=250 kg N/ha background), Yield col=4.70 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__11,gt,223_Dong_2019,crop_yield,wheat,30,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,4570,2590,Table 3,0,"Table 3 cell: wheat, 2016-2017 cycle, treat N1Ba2f1 (biochar aged 20 + fresh 10 t/ha; GT total=30 t/ha; N1=250 kg N/ha background), Yield col=4.57 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__12,gt,223_Dong_2019,crop_yield,wheat,60,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,4330,2590,Table 3,0,"Table 3 cell: wheat, 2016-2017 cycle, treat N1Ba4f2 (biochar aged 40 + fresh 20 t/ha; GT total=60 t/ha; N1=250 kg N/ha background), Yield col=4.33 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__13,gt,223_Dong_2019,crop_yield,rice,20,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,6300,4490,Table 3,0,"Table 3 cell: rice, 2016-2017 cycle, treat N1Ba2 (biochar aged 20 t/ha; GT total=20 t/ha; N1=250 kg N/ha background), Yield col=6.30 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__14,gt,223_Dong_2019,crop_yield,rice,40,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,7450,4490,Table 3,0,"Table 3 cell: rice, 2016-2017 cycle, treat N1Ba4 (biochar aged 40 t/ha; GT total=40 t/ha; N1=250 kg N/ha background), Yield col=7.45 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__15,gt,223_Dong_2019,crop_yield,rice,30,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,6750,4490,Table 3,0,"Table 3 cell: rice, 2016-2017 cycle, treat N1Ba2f1 (biochar aged 20 + fresh 10 t/ha; GT total=30 t/ha; N1=250 kg N/ha background), Yield col=6.75 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
223_Dong_2019__gt__16,gt,223_Dong_2019,crop_yield,rice,60,nitrogen,250,y2016,single_cell,kg/ha,absolute_control,6670,4490,Table 3,0,"Table 3 cell: rice, 2016-2017 cycle, treat N1Ba4f2 (biochar aged 40 + fresh 20 t/ha; GT total=60 t/ha; N1=250 kg N/ha background), Yield col=6.67 t/ha. Control=N0 (no N, no biochar=absolute control); GT CropYield_CK_SD matches N0 SD in Table 3",gt-pdf-decode
