row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID227__r0,gt,227_Niu_2017,crop_yield,maize,3,none,0,pooled,single_cell,kg/ha,absolute_control,1040,1110,Fig 2a,1,"GT 227_1 Treatment=B (biochar only, NO N fertilizer) biochar 3 t/ha = paper B3; maize grain T=1.04 vs CK=1.11 (=2.7% reduction); paper: 'biochar application alone slightly reduced yield' for maize; control=CK (no N, no biochar); Fig 2a B3 grain bar",gt-pdf-decode
gt__StudyID227__r1,gt,227_Niu_2017,crop_yield,maize,6,none,0,pooled,single_cell,kg/ha,absolute_control,1040,1110,Fig 2a,1,"GT 227_1 Treatment=B biochar 6 t/ha = paper B6; maize grain T=1.04 vs CK=1.11; Fig 2a B6 grain bar (text: highest grain 11904 kg/ha under FB6, but B6 alone slightly reduced); control=CK",gt-pdf-decode
gt__StudyID227__r2,gt,227_Niu_2017,crop_yield,maize,12,none,0,pooled,single_cell,kg/ha,absolute_control,1060,1110,Fig 2a,1,"GT 227_1 Treatment=B biochar 12 t/ha = paper B12; maize grain T=1.06 vs CK=1.11; Fig 2a B12 grain bar; control=CK (no N, no biochar)",gt-pdf-decode
gt__StudyID227__r3,gt,227_Niu_2017,crop_yield,wheat,3,none,0,pooled,single_cell,kg/ha,absolute_control,580,500,Fig 2b,1,"GT 227_2 Treatment=B (biochar only, NO N) biochar 3 t/ha = paper B3; wheat grain T=0.58 vs CK=0.50 = +16.0%; matches paper text 'wheat yield significantly increased by 16.6, 25.2, 25.9% under B3, B6, B12 vs CK'; Fig 2b B3 grain bar; control=CK",gt-pdf-decode
gt__StudyID227__r4,gt,227_Niu_2017,crop_yield,wheat,6,none,0,pooled,single_cell,kg/ha,absolute_control,620,500,Fig 2b,1,GT 227_2 Treatment=B biochar 6 t/ha = paper B6; wheat grain T=0.62 vs CK=0.50 = +24.0%; matches paper '25.2% under B6'; Fig 2b B6 grain bar; control=CK,gt-pdf-decode
gt__StudyID227__r5,gt,227_Niu_2017,crop_yield,wheat,12,none,0,pooled,single_cell,kg/ha,absolute_control,630,500,Fig 2b,1,GT 227_2 Treatment=B biochar 12 t/ha = paper B12; wheat grain T=0.63 vs CK=0.50 = +26.0%; matches paper '25.9% under B12'; Fig 2b B12 grain bar; control=CK,gt-pdf-decode
gt__StudyID227__r6,gt,227_Niu_2017,crop_yield,maize,3,npk_fertilizer,200,pooled,single_cell,kg/ha,absolute_control,1150,1110,Fig 2a,1,"GT 227_3 Treatment=BNPK (biochar + NPK fertilizer) biochar 3 t/ha = paper FB3; co-amendment = chemical NPK fertilizer applied at 200 kg N/ha (urea) + 120 kg P2O5/ha + 120 kg K2O/ha; maize grain T=1.15 vs CK=1.11; Fig 2a FB3 grain bar; GT control=CK (absolute, no N no biochar)",gt-pdf-decode
gt__StudyID227__r7,gt,227_Niu_2017,crop_yield,maize,6,npk_fertilizer,200,pooled,single_cell,kg/ha,absolute_control,1190,1110,Fig 2a,1,GT 227_3 Treatment=BNPK biochar 6 t/ha = paper FB6 (NPK fertilizer 200 kg N/ha + biochar); maize grain T=1.19 vs CK=1.11; paper: highest maize grain 11904 kg/ha under FB6; Fig 2a FB6 grain bar; GT control=CK,gt-pdf-decode
gt__StudyID227__r8,gt,227_Niu_2017,crop_yield,maize,12,npk_fertilizer,200,pooled,single_cell,kg/ha,absolute_control,1130,1110,Fig 2a,1,GT 227_3 Treatment=BNPK biochar 12 t/ha = paper FB12 (NPK 200 kg N/ha + biochar); maize grain T=1.13 vs CK=1.11; Fig 2a FB12 grain bar; GT control=CK,gt-pdf-decode
gt__StudyID227__r9,gt,227_Niu_2017,crop_yield,wheat,3,npk_fertilizer,200,pooled,single_cell,kg/ha,absolute_control,800,500,Fig 2b,1,GT 227_4 Treatment=BNPK biochar 3 t/ha = paper FB3 (NPK 150 kg N/ha basal for wheat + biochar); wheat grain T=0.80 vs CK=0.50; Fig 2b FB3 grain bar; co-amendment chemical NPK fertilizer; GT control=CK (absolute),gt-pdf-decode
gt__StudyID227__r10,gt,227_Niu_2017,crop_yield,wheat,6,npk_fertilizer,200,pooled,single_cell,kg/ha,absolute_control,790,500,Fig 2b,1,GT 227_4 Treatment=BNPK biochar 6 t/ha = paper FB6 (NPK fertilizer + biochar); wheat grain T=0.79 vs CK=0.50; Fig 2b FB6 grain bar; GT control=CK,gt-pdf-decode
gt__StudyID227__r11,gt,227_Niu_2017,crop_yield,wheat,12,npk_fertilizer,200,pooled,single_cell,kg/ha,absolute_control,760,500,Fig 2b,1,GT 227_4 Treatment=BNPK biochar 12 t/ha = paper FB12 (NPK fertilizer + biochar); wheat grain T=0.76 vs CK=0.50; paper: reduction in wheat yield at 12 t/ha biochar with N fertilization; Fig 2b FB12 grain bar; GT control=CK,gt-pdf-decode
