row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID229__r0,gt,229_Shi_2022,crop_yield,maize,5,none,0,y2016,single_cell,t/ha,absolute_control,9.96,9.47,Table 3,0,"Table 3, 2016 maize column, C1 (5 t/ha biochar) = 9.96 t/ha; control CK = 9.47 t/ha",gt-pdf-decode
gt__StudyID229__r1,gt,229_Shi_2022,crop_yield,maize,10,none,0,y2016,single_cell,t/ha,absolute_control,10.16,9.47,Table 3,0,"Table 3, 2016 maize column, C2 (10 t/ha biochar) = 10.16 t/ha; control CK = 9.47 t/ha",gt-pdf-decode
gt__StudyID229__r2,gt,229_Shi_2022,crop_yield,maize,20,none,0,y2016,single_cell,t/ha,absolute_control,9.56,9.47,Table 3,0,"Table 3, 2016 maize column, C3 (20 t/ha biochar) = 9.56 t/ha; control CK = 9.47 t/ha",gt-pdf-decode
gt__StudyID229__r3,gt,229_Shi_2022,crop_yield,wheat,5,none,0,season2016_2017,single_cell,t/ha,absolute_control,3.97,3.64,Table 3,0,"Table 3, 2016-2017 wheat column, C1 (5 t/ha biochar) = 3.97 t/ha; control CK = 3.64 t/ha",gt-pdf-decode
gt__StudyID229__r4,gt,229_Shi_2022,crop_yield,wheat,10,none,0,season2016_2017,single_cell,t/ha,absolute_control,3.43,3.64,Table 3,0,"Table 3, 2016-2017 wheat column, C2 (10 t/ha biochar) = 3.43 t/ha; control CK = 3.64 t/ha",gt-pdf-decode
gt__StudyID229__r5,gt,229_Shi_2022,crop_yield,wheat,20,none,0,season2016_2017,single_cell,t/ha,absolute_control,4.29,3.64,Table 3,0,"Table 3, 2016-2017 wheat column, C3 (20 t/ha biochar) = 4.29 t/ha; control CK = 3.64 t/ha",gt-pdf-decode
gt__StudyID229__r6,gt,229_Shi_2022,crop_yield,maize,5,none,0,y2017,single_cell,t/ha,absolute_control,9.1,9.17,Table 3,0,"Table 3, 2017 maize column, C1 (5 t/ha biochar) = 9.1 t/ha; control CK = 9.17 t/ha",gt-pdf-decode
gt__StudyID229__r7,gt,229_Shi_2022,crop_yield,maize,10,none,0,y2017,single_cell,t/ha,absolute_control,9.46,9.17,Table 3,0,"Table 3, 2017 maize column, C2 (10 t/ha biochar) = 9.46 t/ha; control CK = 9.17 t/ha",gt-pdf-decode
gt__StudyID229__r8,gt,229_Shi_2022,crop_yield,maize,20,none,0,y2017,single_cell,t/ha,absolute_control,10.44,9.17,Table 3,0,"Table 3, 2017 maize column, C3 (20 t/ha biochar) = 10.44 t/ha; control CK = 9.17 t/ha",gt-pdf-decode
gt__StudyID229__r9,gt,229_Shi_2022,crop_yield,wheat,5,none,0,season2017_2018,single_cell,t/ha,absolute_control,5.82,5.68,Table 3,0,"Table 3, 2017-2018 wheat column, C1 (5 t/ha biochar) = 5.82 t/ha; control CK = 5.68 t/ha",gt-pdf-decode
gt__StudyID229__r10,gt,229_Shi_2022,crop_yield,wheat,10,none,0,season2017_2018,single_cell,t/ha,absolute_control,5.19,5.68,Table 3,0,"Table 3, 2017-2018 wheat column, C2 (10 t/ha biochar) = 5.19 t/ha; control CK = 5.68 t/ha",gt-pdf-decode
gt__StudyID229__r11,gt,229_Shi_2022,crop_yield,wheat,20,none,0,season2017_2018,single_cell,t/ha,absolute_control,5.41,5.68,Table 3,0,"Table 3, 2017-2018 wheat column, C3 (20 t/ha biochar) = 5.41 t/ha; control CK = 5.68 t/ha",gt-pdf-decode
gt__StudyID229__r12,gt,229_Shi_2022,crop_yield,maize,5,none,0,y2018,single_cell,t/ha,absolute_control,8.13,5,Table 3,0,"Table 3, 2018 maize column, C1 (5 t/ha biochar) = 8.13 t/ha; control CK = 5 t/ha",gt-pdf-decode
gt__StudyID229__r13,gt,229_Shi_2022,crop_yield,maize,10,none,0,y2018,single_cell,t/ha,absolute_control,7.75,5,Table 3,0,"Table 3, 2018 maize column, C2 (10 t/ha biochar) = 7.75 t/ha; control CK = 5 t/ha",gt-pdf-decode
gt__StudyID229__r14,gt,229_Shi_2022,crop_yield,maize,20,none,0,y2018,single_cell,t/ha,absolute_control,8.04,5,Table 3,0,"Table 3, 2018 maize column, C3 (20 t/ha biochar) = 8.04 t/ha; control CK = 5 t/ha",gt-pdf-decode
gt__StudyID229__r15,gt,229_Shi_2022,crop_yield,wheat,5,none,0,season2018_2019,single_cell,t/ha,absolute_control,7.04,6.25,Table 3,0,"Table 3, 2018-2019 wheat column, C1 (5 t/ha biochar) = 7.04 t/ha; control CK = 6.25 t/ha",gt-pdf-decode
gt__StudyID229__r16,gt,229_Shi_2022,crop_yield,wheat,10,none,0,season2018_2019,single_cell,t/ha,absolute_control,7.38,6.25,Table 3,0,"Table 3, 2018-2019 wheat column, C2 (10 t/ha biochar) = 7.38 t/ha; control CK = 6.25 t/ha",gt-pdf-decode
gt__StudyID229__r17,gt,229_Shi_2022,crop_yield,wheat,20,none,0,season2018_2019,single_cell,t/ha,absolute_control,7.29,6.25,Table 3,0,"Table 3, 2018-2019 wheat column, C3 (20 t/ha biochar) = 7.29 t/ha; control CK = 6.25 t/ha",gt-pdf-decode
