row_id,side,paper_id,outcome_canonical,crop,treatment_level,co_amendment,co_amendment_level,timepoint,aggregation_level,unit_canonical,control_token,treatment_mean,control_mean,source_locator,is_figure,evidence,decoder
gt__StudyID231__r0,gt,231_Zhang_2021,crop_yield,maize,1.5,none,0,y2017,single_cell,t/ha,absolute_control,4.07,2.39,Fig 1a (2017),1,"Fig 1a (2017) grain yield (Mg/ha): treatment=CFB arm=4.07; control=CK (no fertilizer)=2.39. GT code BNPK. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r1,gt,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,1.5,y2017,single_cell,t/ha,absolute_control,5.90,2.39,Fig 1a (2017),1,"Fig 1a (2017) grain yield (Mg/ha): treatment=OFB arm=5.90; control=CK (no fertilizer)=2.39. GT code BNPKM. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r2,gt,231_Zhang_2021,crop_yield,maize,1.5,none,0,y2017,single_cell,t/ha,cofactor_matched_control,4.07,3.55,Fig 1a (2017),1,"Fig 1a (2017) grain yield (Mg/ha): treatment=CFB arm=4.07; control=CF (chemical fertilizer, no biochar)=3.55. GT code B. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r3,gt,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,1.5,y2017,single_cell,t/ha,cofactor_matched_control,5.90,3.55,Fig 1a (2017),1,"Fig 1a (2017) grain yield (Mg/ha): treatment=OFB arm=5.90; control=CF (chemical fertilizer, no biochar)=3.55. GT code BM. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r4,gt,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,1.5,y2017,single_cell,t/ha,cofactor_matched_control,5.90,4.27,Fig 1a (2017),1,"Fig 1a (2017) grain yield (Mg/ha): treatment=OFB arm=5.90; control=OF (organic fertilizer, no biochar)=4.27. GT code B. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r5,gt,231_Zhang_2021,crop_yield,maize,1.5,none,0,y2018,single_cell,t/ha,absolute_control,5.39,3.64,Fig 1b (2018),1,"Fig 1b (2018) grain yield (Mg/ha): treatment=CFB arm=5.39; control=CK (no fertilizer)=3.64. GT code BNPK. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r6,gt,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,1.5,y2018,single_cell,t/ha,absolute_control,6.19,3.64,Fig 1b (2018),1,"Fig 1b (2018) grain yield (Mg/ha): treatment=OFB arm=6.19; control=CK (no fertilizer)=3.64. GT code BNPKM. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r7,gt,231_Zhang_2021,crop_yield,maize,1.5,none,0,y2018,single_cell,t/ha,cofactor_matched_control,5.39,4.96,Fig 1b (2018),1,"Fig 1b (2018) grain yield (Mg/ha): treatment=CFB arm=5.39; control=CF (chemical fertilizer, no biochar)=4.96. GT code B. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r8,gt,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,1.5,y2018,single_cell,t/ha,cofactor_matched_control,6.19,4.96,Fig 1b (2018),1,"Fig 1b (2018) grain yield (Mg/ha): treatment=OFB arm=6.19; control=CF (chemical fertilizer, no biochar)=4.96. GT code BM. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r9,gt,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,1.5,y2018,single_cell,t/ha,cofactor_matched_control,6.19,5.45,Fig 1b (2018),1,"Fig 1b (2018) grain yield (Mg/ha): treatment=OFB arm=6.19; control=OF (organic fertilizer, no biochar)=5.45. GT code B. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r10,gt,231_Zhang_2021,crop_yield,maize,1.5,none,0,y2019,single_cell,t/ha,absolute_control,8.04,3.33,Fig 1c (2019),1,"Fig 1c (2019) grain yield (Mg/ha): treatment=CFB arm=8.04; control=CK (no fertilizer)=3.33. GT code BNPK. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
gt__StudyID231__r11,gt,231_Zhang_2021,crop_yield,maize,1.5,organic_fertilizer,1.5,y2019,single_cell,t/ha,absolute_control,8.77,3.33,Fig 1c (2019),1,"Fig 1c (2019) grain yield (Mg/ha): treatment=OFB arm=8.77; control=CK (no fertilizer)=3.33. GT code BNPKM. Biochar 1.5 Mg/ha (rice-straw, 500C); OF/OFB organic fert 1.5 Mg/ha.",gt-pdf-decode
